method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,20,42,0.0,22000,voxels,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,full,,0.0,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,21.473373413085938,0.14155299961566925,0.7106454968452454,1000000,0.003866052720695734,0.24089571833610535,2.9271609783172607,3.1008925437927246,0.632291578816624,0.2288642709977782,21503,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000,0.3444,0.021784,20,0.3097,0.0967,0.5315,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n20_s42_c0.0_p22000_voxels_farthestpose/eval_results.json,ship_1_n20_s42_c0.0_p22000_voxels_farthestpose,ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000_val_step14999.json,21503,vggt | 0.0,20.0
vggt,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,full,,0.0,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,21.824716567993164,0.13869693875312805,0.7198972105979919,1000000,0.003470777301117778,0.20615822076797485,2.934458017349243,3.0863044261932373,0.6459712929892958,0.22483791959961735,31283,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000,0.2946,0.019259,30,0.3235,0.1,0.543,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n30_s42_c0.0_p33000_voxels_farthestpose/eval_results.json,ship_1_n30_s42_c0.0_p33000_voxels_farthestpose,ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000_val_step14999.json,31283,vggt | 0.0,30.0
vggt,40,42,0.0,44000,voxels,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,full,,0.0,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,21.710453033447266,0.13885976374149323,0.7160540223121643,1000000,0.0032484233379364014,0.21854743361473083,2.8129045963287354,3.0932066440582275,0.6415073138270151,0.2261567187532524,43676,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,ship_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000,0.2898,0.018464,40,0.3376,0.1044,0.5549,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n40_s42_c0.0_p44000_voxels_farthestpose/eval_results.json,ship_1_n40_s42_c0.0_p44000_voxels_farthestpose,ship_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000_val_step14999.json,43676,vggt | 0.0,40.0
vggt,87,42,0.0,95700,voxels,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,full,,0.0,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,22.25750160217285,0.13206222653388977,0.7327657341957092,1000000,0.008257035166025162,0.38043150305747986,3.9588186740875244,3.2194464206695557,0.665606784425516,0.21831854359880454,94293,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000,0.4666,0.027353,87,0.3177,0.0933,0.4847,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p95700_voxels_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p95700_voxels_farthestpose,ship_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.0_confstandard_steps15000_val_step14999.json,94293,vggt | 0.0,87.0
vggt,20,42,0.0,22000,voxels,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,21.6666259765625,0.13797727227210999,0.7159122228622437,1000000,0.003659795271232724,0.23894231021404266,2.9250614643096924,3.101267099380493,0.6411575258281651,0.2259297032144465,21503,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,0.3444,0.021784,20,0.3097,0.0967,0.5315,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n20_s42_c0.0_p22000_voxels_farthestpose/eval_results.json,ship_1_n20_s42_c0.0_p22000_voxels_farthestpose,ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,21503,vggt | 0.01,20.0
vggt,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,21.95249366760254,0.13808968663215637,0.7225604057312012,1000000,0.003237280761823058,0.19969920814037323,2.9285452365875244,3.0808632373809814,0.6502698066174171,0.2237313358839671,31283,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,0.2946,0.019259,30,0.3235,0.1,0.543,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n30_s42_c0.0_p33000_voxels_farthestpose/eval_results.json,ship_1_n30_s42_c0.0_p33000_voxels_farthestpose,ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,31283,vggt | 0.01,30.0
vggt,40,42,0.0,44000,voxels,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,21.813602447509766,0.13824795186519623,0.7186192870140076,1000000,0.0030613671988248825,0.21235015988349915,2.804586887359619,3.084029197692871,0.6452953046099406,0.2250958447449999,43676,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,ship_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,0.2898,0.018464,40,0.3376,0.1044,0.5549,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n40_s42_c0.0_p44000_voxels_farthestpose/eval_results.json,ship_1_n40_s42_c0.0_p44000_voxels_farthestpose,ship_1_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,43676,vggt | 0.01,40.0
vggt,87,42,0.0,95700,voxels,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,full,,0.01,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,22.570667266845703,0.13055573403835297,0.7402952313423157,1000000,0.008644688874483109,0.38097789883613586,3.950208902359009,3.210202217102051,0.6767392969309626,0.21523358532969827,94293,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000,0.4666,0.027353,87,0.3177,0.0933,0.4847,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p95700_voxels_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p95700_voxels_farthestpose,ship_1_n87_s42_c0.0_p95700_voxels_farthestpose_i87_gteval_poseopt_depthfull_dl0.01_confstandard_steps15000_val_step14999.json,94293,vggt | 0.01,87.0
vggt,20,42,0.0,22000,voxels,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,full,,0.1,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,21.99629783630371,0.14480151236057281,0.723875105381012,1000000,0.0036415799986571074,0.2397424727678299,2.931626081466675,3.1044838428497314,0.6477067228297742,0.22553078038817465,21503,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000,0.3444,0.021784,20,0.3097,0.0967,0.5315,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n20_s42_c0.0_p22000_voxels_farthestpose/eval_results.json,ship_1_n20_s42_c0.0_p22000_voxels_farthestpose,ship_1_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000_val_step14999.json,21503,vggt | 0.1,20.0
vggt,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,full,,0.1,standard,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,22.240379333496094,0.14462582767009735,0.727674663066864,1000000,0.0031969889532774687,0.20267382264137268,2.9369056224823,3.0867276191711426,0.6545571614543364,0.22414788694406518,31283,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000/stats/val_step14999.json,ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000,0.2946,0.019259,30,0.3235,0.1,0.543,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n30_s42_c0.0_p33000_voxels_farthestpose/eval_results.json,ship_1_n30_s42_c0.0_p33000_voxels_farthestpose,ship_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_depthfull_dl0.1_confstandard_steps15000_val_step14999.json,31283,vggt | 0.1,30.0
