choice,num_images,depth_lambda,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
VGGT,20,0.0,0.3444,21.473373413085938,0.14155299961566925,0.7106454968452454,0.0967,3.1008925437927246
VGGT,20,0.01,0.3444,21.6666259765625,0.13797727227210999,0.7159122228622437,0.0967,3.101267099380493
VGGT,20,0.1,0.3444,21.99629783630371,0.14480151236057281,0.723875105381012,0.0967,3.1044838428497314
VGGT,20,1.0,0.3444,21.85799217224121,0.17964313924312592,0.7262458801269531,0.0967,3.100231647491455
VGGT,30,0.0,0.2946,21.824716567993164,0.13869693875312805,0.7198972105979919,0.1,3.0863044261932373
VGGT,30,0.01,0.2946,21.95249366760254,0.13808968663215637,0.7225604057312012,0.1,3.0808632373809814
VGGT,30,0.1,0.2946,22.240379333496094,0.14462582767009735,0.727674663066864,0.1,3.0867276191711426
VGGT,30,1.0,0.2946,22.307476043701172,0.17793162167072296,0.7352015972137451,0.1,3.0858371257781982
VGGT,40,0.0,0.2898,21.710453033447266,0.13885976374149323,0.7160540223121643,0.1044,3.0932066440582275
VGGT,40,0.01,0.2898,21.813602447509766,0.13824795186519623,0.7186192870140076,0.1044,3.084029197692871
VGGT,40,0.1,0.2898,22.092050552368164,0.14473798871040344,0.723523736000061,0.1044,3.091555595397949
VGGT,40,1.0,0.2898,22.337631225585938,0.17435835301876068,0.732919454574585,0.1044,3.0942366123199463
VGGT,87,0.0,0.4666,22.25750160217285,0.13206222653388977,0.7327657341957092,0.0933,3.2194464206695557
VGGT,87,0.01,0.4666,22.570667266845703,0.13055573403835297,0.7402952313423157,0.0933,3.210202217102051
VGGT,87,0.1,0.4666,23.173171997070312,0.13981740176677704,0.7553930282592773,0.0933,3.21866512298584
VGGT,87,1.0,0.4666,23.312387466430664,0.18469171226024628,0.7625175714492798,0.0933,3.2193074226379395
