choice,depth_lambda,depth_conf_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,0.0,,0.2557,21.722177505493164,0.14783209562301636,0.741204023361206,,0.03164475038647652
COLMAP,0.01,,0.2557,21.71074676513672,0.14832107722759247,0.7413162589073181,,0.031876496970653534
COLMAP,0.1,,0.2557,21.649499893188477,0.1500893235206604,0.7394728064537048,,0.033457428216934204
COLMAP,1.0,,0.2557,21.68071746826172,0.1572965532541275,0.7399840950965881,,0.034508801996707916
COLMAP,10.0,,0.2557,21.3704891204834,0.18128906190395355,0.7315011024475098,,0.036932576447725296
VGGT,0.0,,0.4671,21.09974479675293,0.14777399599552155,0.7105758190155029,0.026,0.029812391847372055
VGGT,0.0,sigmoid,0.4671,21.095232009887695,0.14808228611946106,0.7107189297676086,0.026,0.029848646372556686
VGGT,0.0,standard,0.4671,21.09576416015625,0.14842969179153442,0.7104798555374146,0.026,0.02981560304760933
VGGT,0.01,,0.4671,21.115375518798828,0.14760957658290863,0.7109269499778748,0.026,0.029660584405064583
VGGT,0.01,sigmoid,0.4671,21.096981048583984,0.14744660258293152,0.7108709812164307,0.026,0.029770318418741226
VGGT,0.01,standard,0.4671,21.216787338256836,0.14590485394001007,0.7127139568328857,0.026,0.02988450601696968
VGGT,0.1,,0.4671,21.12662124633789,0.14695797860622406,0.7113736271858215,0.026,0.030061187222599983
VGGT,0.1,sigmoid,0.4671,21.1386661529541,0.14667217433452606,0.7116931080818176,0.026,0.030040347948670387
VGGT,0.1,standard,0.4671,21.406856536865234,0.14763955771923065,0.7161463499069214,0.026,0.029956337064504623
VGGT,1.0,,0.4671,21.361371994018555,0.14603672921657562,0.7153065204620361,0.026,0.029281381517648697
VGGT,1.0,sigmoid,0.4671,21.353525161743164,0.14543038606643677,0.7152650356292725,0.026,0.029290609061717987
VGGT,1.0,standard,0.4671,21.53719711303711,0.17220699787139893,0.714314341545105,0.026,0.03215767443180084
VGGT,10.0,,0.4671,21.974708557128906,0.15367847681045532,0.7255210876464844,0.026,0.03043624572455883
VGGT,10.0,sigmoid,0.4671,21.94066047668457,0.15333065390586853,0.7247159481048584,0.026,0.03034975938498974
VGGT,10.0,standard,0.4671,21.546308517456055,0.2327916920185089,0.7010794878005981,0.026,0.03482871130108833
