choice,dataset,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,bicycle,,0.0986,22.163246154785156,0.3494715690612793,0.5586552619934082,,
COLMAP,bicycle,points,0.0986,21.65953826904297,0.39189550280570984,0.5051455497741699,,
VGGT,bicycle,,0.7161,17.384122848510742,0.337806761264801,0.26788055896759033,,
VGGT,bicycle,closer,0.7161,17.499969482421875,0.3285771608352661,0.26620882749557495,,
VGGT,bicycle,full,0.7161,18.11033821105957,0.35131216049194336,0.2933022975921631,,
VGGT,bicycle,points,0.7161,17.405841827392578,0.38280487060546875,0.26891157031059265,,
COLMAP,bonsai,,0.1581,24.653011322021484,0.17453931272029877,0.7761514782905579,,
COLMAP,bonsai,points,0.1581,24.098237991333008,0.185201495885849,0.7678359746932983,,
VGGT,bonsai,,0.7215,17.422657012939453,0.3988327085971832,0.5597713589668274,,
VGGT,bonsai,closer,0.7215,17.636842727661133,0.38944143056869507,0.5626346468925476,,
VGGT,bonsai,full,0.7215,17.47345733642578,0.39222973585128784,0.5574425458908081,,
VGGT,bonsai,points,0.7215,17.559188842773438,0.3961183428764343,0.5594277381896973,,
COLMAP,drums,,0.1528,22.8007869720459,0.08921363204717636,0.906125545501709,,0.016012171283364296
COLMAP,drums,points,0.1528,22.717933654785156,0.0920831486582756,0.903278648853302,,0.01665499247610569
VGGT,drums,,0.173,20.899389266967773,0.08484406024217606,0.8690087795257568,0.0172,0.017566045746207237
VGGT,drums,closer,0.173,20.029836654663086,0.09145382791757584,0.8509619832038879,0.0172,0.026046762242913246
VGGT,drums,full,0.173,20.72846031188965,0.0885021984577179,0.8661181926727295,0.0172,0.018041422590613365
VGGT,drums,points,0.173,20.909645080566406,0.08222229033708572,0.8684585690498352,0.0172,0.01657479628920555
