choice,dataset,depth_loss_mode,rre,rte,psnr,lpips,ssim,quality
COLMAP,bicycle,,0.0986,0.006893,22.163246154785156,0.3494715690612793,0.5586552619934082,0.42783902572919363
COLMAP,bicycle,points,0.0986,0.006893,21.65953826904297,0.39189550280570984,0.5051455497741699,0.36103125912868955
VGGT,bicycle,,0.7161,0.065623,17.437223434448242,0.33573752641677856,0.26764628291130066,0.17861720104353862
VGGT,bicycle,closer,0.7161,0.065623,17.351736068725586,0.33055251836776733,0.2659480571746826,0.1792416094649218
VGGT,bicycle,full,0.7161,0.065623,17.932289123535156,0.3511604964733124,0.28768253326416016,0.18998183775753696
VGGT,bicycle,points,0.7161,0.065623,17.372825622558594,0.38346022367477417,0.26658347249031067,0.1473446673119975
COLMAP,bonsai,,0.1581,0.013152,24.653011322021484,0.17453931272029877,0.7761514782905579,0.7091194321343928
COLMAP,bonsai,points,0.1581,0.013152,24.098237991333008,0.185201495885849,0.7678359746932983,0.6874013897890855
VGGT,bonsai,,0.7215,0.105749,17.447128295898438,0.39701172709465027,0.5599995255470276,0.3119438522972791
VGGT,bonsai,closer,0.7215,0.105749,17.62350845336914,0.3895871043205261,0.562463104724884,0.32123394156524776
VGGT,bonsai,full,0.7215,0.105749,17.446386337280273,0.390921950340271,0.5567886829376221,0.31381154803969474
VGGT,bonsai,points,0.7215,0.105749,17.59552574157715,0.3935660421848297,0.5599445104598999,0.31678674657132583
COLMAP,lego,,10.4269,0.396164,25.237646102905273,0.05288347229361534,0.9056525826454163,0.8707738399186097
COLMAP,lego,points,10.4269,0.396164,25.142532348632812,0.056012604385614395,0.9011270999908447,0.864434429994452
VGGT,lego,,0.3347,0.019021,20.279659271240234,0.07529760897159576,0.7724337577819824,0.6872176365894185
VGGT,lego,closer,0.3347,0.019021,20.273447036743164,0.07833631336688995,0.773818850517273,0.6860368475075895
VGGT,lego,full,0.3347,0.019021,21.83794593811035,0.06964277476072311,0.8098139762878418,0.7414252123927976
VGGT,lego,points,0.3347,0.019021,21.714982986450195,0.06643830984830856,0.8063398599624634,0.7390945384822315
