choice,dataset_collection,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,indoor,,0.0588,25.192577362060547,0.14506439367930093,0.7436904112497965,,
COLMAP,indoor,points,0.0588,25.189669291178387,0.14997491240501404,0.744446337223053,,
VGGT,indoor,,0.46693333333333337,20.091515223185223,0.23916504283746085,0.5788419246673584,,
VGGT,indoor,closer,0.46693333333333337,20.285959243774414,0.23509839177131653,0.5920725663503011,,
VGGT,indoor,full,0.46693333333333337,19.925203959147137,0.25168581306934357,0.5854317744572958,,
VGGT,indoor,points,0.46693333333333337,20.17206064860026,0.25333743294080097,0.5787999133268992,,
COLMAP,outdoor,,0.061099999999999995,23.042020161946613,0.3178586761156718,0.5890687306722006,,
COLMAP,outdoor,points,0.061099999999999995,22.84945805867513,0.34227513273557025,0.5708666841189066,,
VGGT,outdoor,,0.6484,18.34314473470052,0.3893701732158661,0.3440665105978648,,
VGGT,outdoor,closer,0.6484,18.449178059895832,0.3848531146844228,0.3416446050008138,,
VGGT,outdoor,full,0.6484,18.63928286234538,0.4040954609711965,0.35740381479263306,,
VGGT,outdoor,points,0.6484,18.382998784383137,0.4215256671110789,0.35003859798113507,,
COLMAP,synthetic,,3.625666666666667,22.964616139729817,0.09737447649240494,0.8436449964841207,,0.021952177708347637
COLMAP,synthetic,points,3.625666666666667,22.843461990356445,0.10178974270820618,0.8400351603825887,,0.023140665764609974
VGGT,synthetic,,0.31916666666666665,21.37028694152832,0.09677855173746745,0.7969885071118673,0.0197,0.0219665573288997
VGGT,synthetic,closer,0.31916666666666665,21.0057856241862,0.10304761429627736,0.789643128712972,0.0197,0.026930931955575943
VGGT,synthetic,full,0.31916666666666665,22.064048767089844,0.09663460652033488,0.8143574198087057,0.0197,0.021309954424699146
VGGT,synthetic,points,0.31916666666666665,22.13622983296712,0.09124937653541565,0.8147103985150655,0.0197,0.020775195211172104
