choice,dataset,depth_loss_mode,rre,psnr,lpips,ssim
COLMAP,bonsai,,0.1581,24.653011322021484,0.17453931272029877,0.7761514782905579
COLMAP,bonsai,points,0.1581,24.098237991333008,0.185201495885849,0.7678359746932983
VGGT,bonsai,,0.7215,17.422657012939453,0.3988327085971832,0.5597713589668274
VGGT,bonsai,closer,0.7215,17.636842727661133,0.38944143056869507,0.5626346468925476
VGGT,bonsai,full,0.7215,17.47345733642578,0.39222973585128784,0.5574425458908081
VGGT,bonsai,points,0.7215,17.559188842773438,0.3961183428764343,0.5594277381896973
COLMAP,kitchen,,0.1073,21.59664535522461,0.14201965928077698,0.49743717908859253
COLMAP,kitchen,points,0.1073,21.581188201904297,0.1484312117099762,0.5115190744400024
VGGT,kitchen,,0.3392,20.017711639404297,0.17643724381923676,0.4138493239879608
VGGT,kitchen,closer,0.3392,20.186323165893555,0.17462097108364105,0.42215994000434875
VGGT,kitchen,full,0.3392,19.043855667114258,0.2101958990097046,0.40033793449401855
VGGT,kitchen,points,0.3392,19.314071655273438,0.21601445972919464,0.4215587377548218
COLMAP,counter,,0.029,25.227703094482422,0.18847616016864777,0.8500107526779175
COLMAP,counter,points,0.029,24.922954559326172,0.19209472835063934,0.844700038433075
VGGT,counter,,0.3433,20.807443618774414,0.23748624324798584,0.6405438780784607
VGGT,counter,closer,0.3433,21.08145523071289,0.23355437815189362,0.6551297903060913
VGGT,counter,full,0.3433,20.77263832092285,0.24551290273666382,0.6547119617462158
VGGT,counter,points,0.3433,20.87384796142578,0.24748633801937103,0.6520636677742004
