choice,dataset,depth_loss_mode,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim
VGGT,bonsai,,,0.7215033769607544,0.024335382506251335,17.731338500976562,0.4183982312679291,0.5749688744544983
VGGT,bonsai,,Pose Opt,0.7885617017745972,0.021631203591823578,17.422657012939453,0.3988327085971832,0.5597713589668274
VGGT,bonsai,closer,Pose Opt,0.7460079193115234,0.020770035684108734,17.636842727661133,0.38944143056869507,0.5626346468925476
VGGT,bonsai,full,Pose Opt,0.7944438457489014,0.0172044038772583,17.47345733642578,0.39222973585128784,0.5574425458908081
VGGT,kitchen,,,0.3392021059989929,0.006767608691006899,19.821290969848633,0.23921124637126923,0.462830513715744
VGGT,kitchen,,Pose Opt,0.235776886343956,0.005308283492922783,20.017711639404297,0.17643724381923676,0.4138493239879608
VGGT,kitchen,closer,Pose Opt,0.2362496256828308,0.005342524033039808,20.186323165893555,0.17462097108364105,0.42215994000434875
VGGT,kitchen,full,Pose Opt,0.22192439436912537,0.005262298975139856,19.043855667114258,0.2101958990097046,0.40033793449401855
VGGT,counter,,,0.3432445526123047,0.007584553211927414,20.160112380981445,0.3072532117366791,0.6301777958869934
VGGT,counter,,Pose Opt,0.25385963916778564,0.006176562514156103,20.807443618774414,0.23748624324798584,0.6405438780784607
VGGT,counter,closer,Pose Opt,0.23355498909950256,0.006118447985500097,21.08145523071289,0.23355437815189362,0.6551297903060913
VGGT,counter,full,Pose Opt,0.24720412492752075,0.006287031341344118,20.77263832092285,0.24551290273666382,0.6547119617462158
