choice,dataset,num_images,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
VGGT,drums,10,,1.1533,,,,,
VGGT,drums,20,,0.8537,,,,,
VGGT,drums,30,,0.6952,,,,,
VGGT,drums,40,,0.3733,,,,,
VGGT,drums,87,,0.173,20.899389266967773,0.08484406024217606,0.8690087795257568,,0.017566045746207237
VGGT,drums,87,closer,0.173,20.029836654663086,0.09145382791757584,0.8509619832038879,,0.026046762242913246
VGGT,drums,87,full,0.173,20.72846031188965,0.0885021984577179,0.8661181926727295,,0.018041422590613365
VGGT,drums,87,points,0.173,20.909645080566406,0.08222229033708572,0.8684585690498352,,0.01657479628920555
VGGT,bonsai,10,,1.2121,,,,,
VGGT,bonsai,20,,0.8715,,,,,
VGGT,bonsai,30,,1.0012,,,,,
VGGT,bonsai,40,,0.891,,,,,
VGGT,bonsai,100,,0.7215,17.422657012939453,0.3988327085971832,0.5597713589668274,,
VGGT,bonsai,100,closer,0.7215,17.636842727661133,0.38944143056869507,0.5626346468925476,,
VGGT,bonsai,100,full,0.7215,17.47345733642578,0.39222973585128784,0.5574425458908081,,
VGGT,bonsai,100,points,0.7215,17.559188842773438,0.3961183428764343,0.5594277381896973,,
VGGT,lego,10,,2.5484,,,,0.0269,
VGGT,lego,20,,2.282,,,,0.0193,
VGGT,lego,30,,2.2232,,,,0.0185,
VGGT,lego,40,,1.3375,,,,0.0152,
VGGT,lego,87,,0.2976,20.352569580078125,0.07587305456399918,0.773491382598877,0.0135,0.02102166973054409
VGGT,lego,87,closer,0.2976,20.3682804107666,0.07864906638860703,0.7746673226356506,0.0135,0.022374851629137993
VGGT,lego,87,full,0.2976,21.97274398803711,0.06969247758388519,0.8122559189796448,0.0135,0.018137581646442413
VGGT,lego,87,points,0.2976,21.991958618164062,0.06529174000024796,0.8122676014900208,0.0135,0.017967958003282547
VGGT,ship,10,,0.3226,,,,0.0276,
VGGT,ship,20,,0.3689,,,,0.0269,
VGGT,ship,30,,0.274,,,,0.0278,
VGGT,ship,40,,0.2698,,,,0.0282,
VGGT,ship,87,,0.4869,22.858901977539062,0.1296185404062271,0.748465359210968,0.0284,0.027311956509947777
VGGT,ship,87,closer,0.4869,22.619239807128906,0.13903994858264923,0.7433000802993774,0.0284,0.03237118199467659
VGGT,ship,87,full,0.4869,23.490942001342773,0.13170914351940155,0.7646981477737427,0.0284,0.027750859037041664
VGGT,ship,87,points,0.4869,23.5070858001709,0.12623409926891327,0.7634050250053406,0.0284,0.027782831341028214
VGGT,bicycle,10,,1.7481,13.87645435333252,0.5635736584663391,0.14866521954536438,,
VGGT,bicycle,20,,1.1489,,,,,
VGGT,bicycle,30,,0.9302,,,,,
VGGT,bicycle,40,,0.9969,,,,,
VGGT,bicycle,100,,0.7161,17.384122848510742,0.337806761264801,0.26788055896759033,,
VGGT,bicycle,100,closer,0.7161,17.499969482421875,0.3285771608352661,0.26620882749557495,,
VGGT,bicycle,100,full,0.7161,18.11033821105957,0.35131216049194336,0.2933022975921631,,
VGGT,bicycle,100,points,0.7161,17.405841827392578,0.38280487060546875,0.26891157031059265,,
VGGT,stump,10,,2.3893,,,,,
VGGT,stump,20,,1.5109,,,,,
VGGT,stump,30,,1.2376,,,,,
VGGT,stump,40,,0.8703,,,,,
VGGT,stump,100,,0.8558,18.294498443603516,0.4924980700016022,0.39796870946884155,,
VGGT,stump,100,closer,0.8558,18.34939193725586,0.4938613772392273,0.3984053134918213,,
VGGT,stump,100,full,0.8558,18.40581512451172,0.5147808194160461,0.40761035680770874,,
VGGT,stump,100,points,0.8558,18.38129425048828,0.5212017297744751,0.40700381994247437,,
VGGT,kitchen,10,,0.3351,,,,,
VGGT,kitchen,20,,0.3053,,,,,
VGGT,kitchen,30,,0.2666,,,,,
VGGT,kitchen,40,,0.3356,,,,,
VGGT,kitchen,100,,0.3392,20.017711639404297,0.17643724381923676,0.4138493239879608,,
VGGT,kitchen,100,closer,0.3392,20.186323165893555,0.17462097108364105,0.42215994000434875,,
VGGT,kitchen,100,full,0.3392,19.043855667114258,0.2101958990097046,0.40033793449401855,,
VGGT,kitchen,100,points,0.3392,19.314071655273438,0.21601445972919464,0.4215587377548218,,
VGGT,garden,10,,0.7164,,,,,
VGGT,garden,20,,0.304,,,,,
VGGT,garden,30,,0.2764,,,,,
VGGT,garden,40,,0.2895,,,,,
VGGT,garden,100,,0.3733,19.350812911987305,0.33780568838119507,0.3663502633571625,,
VGGT,garden,100,closer,0.3733,19.498172760009766,0.332120805978775,0.36031967401504517,,
VGGT,garden,100,full,0.3733,19.401695251464844,0.3461934030056,0.37129878997802734,,
VGGT,garden,100,points,0.3733,19.361860275268555,0.36057040095329285,0.37420040369033813,,
VGGT,counter,10,,1.0595,,,,,
VGGT,counter,20,,0.4873,,,,,
VGGT,counter,30,,0.3534,,,,,
VGGT,counter,40,,0.3566,,,,,
VGGT,counter,100,,0.3433,20.807443618774414,0.23748624324798584,0.6405438780784607,,
VGGT,counter,100,closer,0.3433,21.08145523071289,0.23355437815189362,0.6551297903060913,,
VGGT,counter,100,full,0.3433,20.77263832092285,0.24551290273666382,0.6547119617462158,,
VGGT,counter,100,points,0.3433,20.87384796142578,0.24748633801937103,0.6520636677742004,,
