choice,dataset,num_images,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,bonsai,10,,10.9378,10.370388984680176,0.8212783932685852,0.30286675691604614,,
COLMAP,bonsai,10,points,10.9378,10.33604907989502,0.8320455551147461,0.26926952600479126,,
COLMAP,bonsai,20,,0.4539,12.160051345825195,0.5963965654373169,0.3498920500278473,,
COLMAP,bonsai,20,points,0.4539,13.300905227661133,0.5556906461715698,0.409559428691864,,
COLMAP,bonsai,30,,5.0799,12.844159126281738,0.6961448788642883,0.41023141145706177,,
COLMAP,bonsai,30,points,5.0799,12.019908905029297,0.7188583016395569,0.3525303602218628,,
COLMAP,bonsai,40,,1.264,16.20013999938965,0.4658905267715454,0.5211585760116577,,
COLMAP,bonsai,40,points,1.264,16.17671012878418,0.47270265221595764,0.5265456438064575,,
VGGT,bonsai,5,,1.3505,12.754597663879395,0.6457676291465759,0.3655993640422821,,
VGGT,bonsai,5,closer,1.3505,12.234193801879883,0.6429707407951355,0.3242850601673126,,
VGGT,bonsai,5,full,1.3505,12.188382148742676,0.6407015323638916,0.30855295062065125,,
VGGT,bonsai,5,points,1.3505,12.138049125671387,0.6417262554168701,0.3062572181224823,,
VGGT,bonsai,10,,1.2121,14.487955093383789,0.56114661693573,0.4374145269393921,,
VGGT,bonsai,10,closer,1.2121,14.286487579345703,0.5477766990661621,0.4252573549747467,,
VGGT,bonsai,10,full,1.2121,14.106234550476074,0.5348793268203735,0.41173121333122253,,
VGGT,bonsai,10,points,1.2121,14.111678123474121,0.5504880547523499,0.4026721715927124,,
VGGT,bonsai,20,,0.8715,16.24112892150879,0.46481478214263916,0.501432478427887,,
VGGT,bonsai,20,closer,0.8715,16.078779220581055,0.4644823968410492,0.4928486943244934,,
VGGT,bonsai,20,full,0.8715,16.299989700317383,0.43006521463394165,0.4996575117111206,,
VGGT,bonsai,20,points,0.8715,15.896809577941895,0.4695948660373688,0.48026415705680847,,
VGGT,bonsai,30,,1.0012,16.324657440185547,0.4496622383594513,0.5129817128181458,,
VGGT,bonsai,30,closer,1.0012,16.388559341430664,0.4520750343799591,0.5087530016899109,,
VGGT,bonsai,30,full,1.0012,16.212940216064453,0.43554720282554626,0.5049737691879272,,
VGGT,bonsai,30,points,1.0012,16.116254806518555,0.4545983076095581,0.49638697504997253,,
VGGT,bonsai,40,,0.891,16.5290584564209,0.4392838478088379,0.5240887999534607,,
VGGT,bonsai,40,closer,0.891,16.521207809448242,0.43564584851264954,0.5230790972709656,,
VGGT,bonsai,40,full,0.891,16.675907135009766,0.4228590130805969,0.5233073830604553,,
VGGT,bonsai,40,points,0.891,16.493196487426758,0.44106540083885193,0.5158811807632446,,
COLMAP,kitchen,10,,2.0241,13.383953094482422,0.7249969244003296,0.3768191337585449,,
COLMAP,kitchen,10,points,2.0241,14.054571151733398,0.7041211128234863,0.3949701189994812,,
COLMAP,kitchen,20,,0.239,17.50998878479004,0.406898558139801,0.5586329698562622,,
COLMAP,kitchen,20,points,0.239,16.55855369567871,0.4295579493045807,0.4321531057357788,,
COLMAP,kitchen,30,,0.1586,19.522228240966797,0.22792096436023712,0.48186859488487244,,
COLMAP,kitchen,30,points,0.1586,19.08669662475586,0.2421877235174179,0.4648869037628174,,
COLMAP,kitchen,40,,0.1295,21.044775009155273,0.1829119175672531,0.5391585230827332,,
COLMAP,kitchen,40,points,0.1295,20.683971405029297,0.19238655269145966,0.5093856453895569,,
VGGT,kitchen,5,,0.5008,14.838435173034668,0.46566805243492126,0.31779977679252625,,
VGGT,kitchen,5,closer,0.5008,13.884986877441406,0.4958028495311737,0.29930564761161804,,
VGGT,kitchen,5,full,0.5008,14.731163024902344,0.4541296362876892,0.32039424777030945,,
VGGT,kitchen,5,points,0.5008,14.681899070739746,0.4672650396823883,0.31946682929992676,,
VGGT,kitchen,10,,0.313,16.831378936767578,0.35423943400382996,0.37673231959342957,,
VGGT,kitchen,10,closer,0.313,15.177952766418457,0.35761213302612305,0.36470159888267517,,
VGGT,kitchen,10,full,0.313,16.152029037475586,0.3622223436832428,0.35156551003456116,,
VGGT,kitchen,10,points,0.313,16.411924362182617,0.3690672516822815,0.356589674949646,,
VGGT,kitchen,20,,0.3053,17.5094051361084,0.2899823486804962,0.4110972285270691,,
VGGT,kitchen,20,closer,0.3053,17.360851287841797,0.2895396947860718,0.40229520201683044,,
VGGT,kitchen,20,full,0.3053,16.413503646850586,0.3408755660057068,0.3989662230014801,,
VGGT,kitchen,20,points,0.3053,16.90940284729004,0.34420183300971985,0.4079149663448334,,
VGGT,kitchen,30,,0.2666,19.270221710205078,0.22625146806240082,0.49594083428382874,,
VGGT,kitchen,30,closer,0.2666,19.0994930267334,0.22278520464897156,0.48659247159957886,,
VGGT,kitchen,30,full,0.2666,17.627044677734375,0.26696205139160156,0.4371372163295746,,
VGGT,kitchen,30,points,0.2666,18.289684295654297,0.2969687879085541,0.47915878891944885,,
VGGT,kitchen,40,,0.3356,18.96849822998047,0.21142953634262085,0.44828301668167114,,
VGGT,kitchen,40,closer,0.3356,19.168502807617188,0.20929047465324402,0.45649170875549316,,
VGGT,kitchen,40,full,0.3356,17.673006057739258,0.26443731784820557,0.42666488885879517,,
VGGT,kitchen,40,points,0.3356,18.1439208984375,0.26396146416664124,0.4307113587856293,,
COLMAP,counter,10,,0.8205,8.503281593322754,0.7939874529838562,0.3814893364906311,,
COLMAP,counter,10,points,0.8205,9.947150230407715,0.7828008532524109,0.41915684938430786,,
COLMAP,counter,20,,0.116,9.180434226989746,0.8296937346458435,0.3853382170200348,,
