method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,20,42,,591,,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.925006866455078,0.5149495601654053,0.6524258852005005,654004,1.0109866857528687,90.69950103759766,1.5219767093658447,3.980346202850342,0.1724131970222776,0.39510669714319446,591,/home/ojab2/work/git/gsplat/results/colmap_outputs/legotest_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/legotest_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,legotest_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,94.3977,3.547171,11,,,,/home/ojab2/work/git/vggt/colmap_outputs/legotest_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,legotest_1_n20_s42_default_mpinhole_farthestpose_sharedcam,legotest_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,591,colmap | ,20.0
colmap,30,42,,2322,,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.853475570678711,0.5161879658699036,0.6685198545455933,1000000,0.9455585479736328,121.09101104736328,1.6974599361419678,10.387917518615723,0.17973577341063599,0.39136319310503975,2322,/home/ojab2/work/git/gsplat/results/colmap_outputs/legotest_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/legotest_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,legotest_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000,122.6817,3.833488,30,,,,/home/ojab2/work/git/vggt/colmap_outputs/legotest_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,legotest_1_n30_s42_default_mpinhole_farthestpose_sharedcam,legotest_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,2322,colmap | ,30.0
colmap,40,42,,3840,,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.877249717712402,0.4997788071632385,0.6551318168640137,1000000,1.2098982334136963,90.81745910644531,1.685969352722168,2.1695196628570557,0.18247588390340425,0.3895811861356946,3840,/home/ojab2/work/git/gsplat/results/colmap_outputs/legotest_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/legotest_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,legotest_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000,91.327,3.165785,40,,,,/home/ojab2/work/git/vggt/colmap_outputs/legotest_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,legotest_1_n40_s42_default_mpinhole_farthestpose_sharedcam,legotest_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,3840,colmap | ,40.0
colmap,100,42,,17846,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,25.886816024780273,0.048084452748298645,0.9055451154708862,1000000,0.001989190001040697,0.13622421026229858,0.05882880091667175,0.061553992331027985,0.8856950165816448,0.11933259909828473,17846,/home/ojab2/work/git/gsplat/results/colmap_outputs/legotest_1_n100_s42_default_mpinhole_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/legotest_1_n100_s42_default_mpinhole_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,legotest_1_n100_s42_default_mpinhole_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1736,0.010242,97,,,,/home/ojab2/work/git/vggt/colmap_outputs/legotest_1_n100_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,legotest_1_n100_s42_default_mpinhole_farthestpose_sharedcam,legotest_1_n100_s42_default_mpinhole_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,17846,colmap | ,100.0
vggt,10,42,0.0,11000,random,,,,0,10,farthestpose,10,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.71834945678711,0.33816999197006226,0.6179187297821045,1000000,0.021634887903928757,1.5066947937011719,0.3693019449710846,0.09729650616645813,0.3130853307022531,0.33292510578243373,11000,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_steps15000/stats/val_step14999.json,legotest_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_steps15000,1.6322,0.094312,10,0.129,0.0351,0.1521,/home/ojab2/work/git/vggt/vggt_outputs/legotest_1_n10_s42_c0.0_p11000_random_farthestpose/eval_results.json,legotest_1_n10_s42_c0.0_p11000_random_farthestpose,legotest_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_steps15000_val_step14999.json,11000,vggt | ,10.0
vggt,20,42,0.0,22000,random,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.58823013305664,0.31502094864845276,0.6271340250968933,1000000,0.028705323114991188,2.052886962890625,0.3860779404640198,0.10161066055297852,0.3303543080983028,0.3231395061685537,22000,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,legotest_1_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_poseopt_steps15000,2.2092,0.137401,20,0.1225,0.0337,0.1508,/home/ojab2/work/git/vggt/vggt_outputs/legotest_1_n20_s42_c0.0_p22000_random_farthestpose/eval_results.json,legotest_1_n20_s42_c0.0_p22000_random_farthestpose,legotest_1_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_poseopt_steps15000_val_step14999.json,22000,vggt | ,20.0
vggt,30,42,0.0,33000,random,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.73399829864502,0.31264519691467285,0.630107045173645,1000000,0.02815881185233593,2.071093797683716,0.36279967427253723,0.09550794214010239,0.3362588402200937,0.3210529217262962,33000,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,legotest_1_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_poseopt_steps15000,2.2327,0.138266,30,0.1217,0.0334,0.1493,/home/ojab2/work/git/vggt/vggt_outputs/legotest_1_n30_s42_c0.0_p33000_random_farthestpose/eval_results.json,legotest_1_n30_s42_c0.0_p33000_random_farthestpose,legotest_1_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_poseopt_steps15000_val_step14999.json,33000,vggt | ,30.0
vggt,40,42,0.0,44000,random,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.884369850158691,0.30222639441490173,0.6396225094795227,1000000,0.018534226343035698,1.477252721786499,0.3841833174228668,0.10120269656181335,0.35103945715850315,0.31447526483334887,44000,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,legotest_1_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_poseopt_steps15000,1.7233,0.100238,40,0.1194,0.0328,0.1478,/home/ojab2/work/git/vggt/vggt_outputs/legotest_1_n40_s42_c0.0_p44000_random_farthestpose/eval_results.json,legotest_1_n40_s42_c0.0_p44000_random_farthestpose,legotest_1_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_poseopt_steps15000_val_step14999.json,44000,vggt | ,40.0
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.963930130004883,0.27668794989585876,0.6599308848381042,1000000,0.01796283759176731,1.4411793947219849,0.3391123116016388,0.0895153284072876,0.3801535104992638,0.29999504658975185,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,legotest_1_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000,1.623,0.091981,100,0.1053,0.0289,0.1358,/home/ojab2/work/git/vggt/vggt_outputs/legotest_1_n100_s42_c0.0_p110000_random_farthestpose/eval_results.json,legotest_1_n100_s42_c0.0_p110000_random_farthestpose,legotest_1_n100_s42_c0.0_p110000_random_farthestpose_i100_gteval_poseopt_steps15000_val_step14999.json,110000,vggt | ,100.0
vggt,10,42,0.0,11000,random,,,,0,10,farthestpose,10,GT Eval,,,,Pose Opt,,,closer,,1.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,14.068902015686035,0.3266526460647583,0.6256402134895325,1000000,0.017812827602028847,1.3769762516021729,0.3376050889492035,0.08864225447177887,0.33120200508519226,0.3258954064426387,11000,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_depthcloser_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/legotest_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_depthcloser_dl1.0_confdisabled_steps15000/stats/val_step14999.json,legotest_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_depthcloser_dl1.0_confdisabled_steps15000,1.6322,0.094312,10,0.129,0.0351,0.1521,/home/ojab2/work/git/vggt/vggt_outputs/legotest_1_n10_s42_c0.0_p11000_random_farthestpose/eval_results.json,legotest_1_n10_s42_c0.0_p11000_random_farthestpose,legotest_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_depthcloser_dl1.0_confdisabled_steps15000_val_step14999.json,11000,vggt | closer,10.0
