choice,num_images,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,20,,94.3977,10.925006866455078,0.5149495601654053,0.6524258852005005,,3.980346202850342
COLMAP,20,points,94.3977,10.85300064086914,0.5290669202804565,0.5951026082038879,,4.331790924072266
COLMAP,30,,122.6817,10.853475570678711,0.5161879658699036,0.6685198545455933,,10.387917518615723
COLMAP,30,points,122.6817,10.8189697265625,0.5242447257041931,0.6525605916976929,,15.34881591796875
COLMAP,40,,91.327,10.877249717712402,0.4997788071632385,0.6551318168640137,,2.1695196628570557
COLMAP,40,points,91.327,10.866321563720703,0.501743495464325,0.6693069338798523,,1.3070086240768433
COLMAP,100,,0.1736,25.886816024780273,0.048084452748298645,0.9055451154708862,,0.061553992331027985
COLMAP,100,points,0.1736,25.08042335510254,0.05240289494395256,0.889411449432373,,0.06218649819493294
VGGT,10,,1.6322,13.71834945678711,0.33816999197006226,0.6179187297821045,0.0351,0.09729650616645813
VGGT,10,closer,1.6322,14.068902015686035,0.3266526460647583,0.6256402134895325,0.0351,0.08864225447177887
VGGT,10,full,1.6322,14.079535484313965,0.3146328032016754,0.6316096186637878,0.0351,0.09526420384645462
VGGT,10,points,1.6322,13.64761734008789,0.3386787474155426,0.6154159903526306,0.0351,0.10304496437311172
VGGT,20,,2.2092,13.58823013305664,0.31502094864845276,0.6271340250968933,0.0337,0.10161066055297852
VGGT,20,closer,2.2092,13.78471565246582,0.30433711409568787,0.6368936896324158,0.0337,0.0974758043885231
VGGT,20,full,2.2092,13.711610794067383,0.3002166748046875,0.6379387378692627,0.0337,0.10279062390327454
VGGT,20,points,2.2092,13.589719772338867,0.3161023259162903,0.6224815845489502,0.0337,0.10252026468515396
VGGT,30,,2.2327,13.73399829864502,0.31264519691467285,0.630107045173645,0.0334,0.09550794214010239
VGGT,30,closer,2.2327,13.865549087524414,0.30373841524124146,0.6381017565727234,0.0334,0.0938083603978157
VGGT,30,full,2.2327,13.78818130493164,0.30161595344543457,0.6380618810653687,0.0334,0.09863420575857162
VGGT,30,points,2.2327,13.678390502929688,0.31747034192085266,0.6235707402229309,0.0334,0.09786011278629303
VGGT,40,,1.7233,13.884369850158691,0.30222639441490173,0.6396225094795227,0.0328,0.10120269656181335
VGGT,40,closer,1.7233,13.98604679107666,0.2975699007511139,0.6448952555656433,0.0328,0.10020431876182556
VGGT,40,full,1.7233,13.941999435424805,0.2957494556903839,0.6449180245399475,0.0328,0.10632535815238953
VGGT,40,points,1.7233,13.884248733520508,0.3048880398273468,0.6369720101356506,0.0328,0.10401669889688492
VGGT,100,,1.623,13.963930130004883,0.27668794989585876,0.6599308848381042,0.0289,0.0895153284072876
VGGT,100,closer,1.623,14.049042701721191,0.2739320695400238,0.6623374819755554,0.0289,0.09102586656808853
VGGT,100,full,1.623,14.032475471496582,0.2753080725669861,0.6626949906349182,0.0289,0.0951261818408966
VGGT,100,points,1.623,14.01043701171875,0.2744632959365845,0.6601225137710571,0.0289,0.09092997014522552
