Choice,Use Gt Extrinsics,Use Gt Intrinsics,Use Gt Points,Composite Quality ↑
COLMAP,,,,0.3607255448142455
VGGT,,,,0.08655720252042627
COLMAP,,,GT Points,0.4242810188290978
VGGT,,,GT Points,0.10620053833843135
COLMAP,,GT Intrinsics,,0.32250526568733145
VGGT,,GT Intrinsics,,0.08404893883642557
COLMAP,,GT Intrinsics,GT Points,0.3661716320903523
VGGT,,GT Intrinsics,GT Points,0.10578675913764253
COLMAP,GT Extrinsics,,,0.37786336735985043
VGGT,GT Extrinsics,,,0.31869563531999545
COLMAP,GT Extrinsics,,GT Points,0.4351431867222727
VGGT,GT Extrinsics,,GT Points,0.3608682686202785
COLMAP,GT Extrinsics,GT Intrinsics,,0.46985586135708096
VGGT,GT Extrinsics,GT Intrinsics,,0.48371304479646093
COLMAP,GT Extrinsics,GT Intrinsics,GT Points,0.569396160228288
VGGT,GT Extrinsics,GT Intrinsics,GT Points,0.5691930877457507
