method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,rre,rte,plot_series
colmap,100,42,,80705,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.469179153442383,0.32536494731903076,0.5786079168319702,1000000,0.01467599906027317,0.5629000067710876,0.38597922746510843,80705,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.5629,0.063833,colmap |  |  | 
colmap,100,42,,80705,,farthestpose,100,GT Eval,,GT Intrinsics,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.368364334106445,0.334102600812912,0.5780842900276184,1000000,0.01467599906027317,0.5629000067710876,0.378412458592998,80705,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_gtint_steps15000/stats/val_step14999.json,0.5629,0.063833,colmap |  | GT Intrinsics | 
colmap,100,42,,80705,,farthestpose,100,GT Eval,GT Extrinsics,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,22.79171371459961,0.21877139806747437,0.6979492902755737,1000000,0.0,0.0,0.601614927842758,80705,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_gtext_steps15000/stats/val_step14999.json,0.5629,0.063833,colmap | GT Extrinsics |  | 
colmap,100,42,,80705,,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,28.503082275390625,0.16526290774345398,0.8899495005607605,1000000,0.0,0.0,0.8526917693288083,80705,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,0.5629,0.063833,colmap | GT Extrinsics | GT Intrinsics | 
colmap,100,42,,206613,,farthestpose,100,GT Eval,,,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.439254760742188,0.3202463686466217,0.5775210857391357,1000000,0.01467599906027317,0.5629000067710876,0.38794911477068483,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_gtpcd_steps15000/stats/val_step14999.json,0.5629,0.063833,colmap |  |  | GT Points
colmap,100,42,,206613,,farthestpose,100,GT Eval,,GT Intrinsics,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.428041458129883,0.32150840759277344,0.573866069316864,1000000,0.01467599906027317,0.5629000067710876,0.3848249881278392,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_gtint_gtpcd_steps15000/stats/val_step14999.json,0.5629,0.063833,colmap |  | GT Intrinsics | GT Points
colmap,100,42,,206613,,farthestpose,100,GT Eval,GT Extrinsics,,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,22.457658767700195,0.2100667953491211,0.6990824937820435,1000000,0.0,0.0,0.6014646287859842,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,0.5629,0.063833,colmap | GT Extrinsics |  | GT Points
colmap,100,42,,206613,,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,29.108600616455078,0.14372186362743378,0.9148322939872742,1000000,0.0,0.0,0.8917533539385667,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,0.5629,0.063833,colmap | GT Extrinsics | GT Intrinsics | GT Points
colmap,100,43,,80830,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.83687400817871,0.3060200810432434,0.5905328989028931,1000000,0.012391000054776669,0.4864000976085663,0.41170334064627406,80830,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.4864,0.053874,colmap |  |  | 
colmap,100,43,,80830,,farthestpose,100,GT Eval,,GT Intrinsics,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.819223403930664,0.31417199969291687,0.5869777202606201,1000000,0.012391000054776669,0.4864000976085663,0.4042653772178758,80830,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_gtint_steps15000/stats/val_step14999.json,0.4864,0.053874,colmap |  | GT Intrinsics | 
colmap,100,43,,80830,,farthestpose,100,GT Eval,GT Extrinsics,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,22.70868682861328,0.21745246648788452,0.7008762359619141,1000000,0.0,0.0,0.602603212357187,80830,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_gtext_steps15000/stats/val_step14999.json,0.4864,0.053874,colmap | GT Extrinsics |  | 
colmap,100,43,,80830,,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,28.558855056762695,0.1645684540271759,0.8892856240272522,1000000,0.0,0.0,0.8537650418560407,80830,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,0.4864,0.053874,colmap | GT Extrinsics | GT Intrinsics | 
