choice,dataset_collection,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,quality
COLMAP,indoor,,,,0.7343166284368027
COLMAP,indoor,,,GT Points,0.7475574822208441
COLMAP,indoor,,GT Intrinsics,,0.7390932993491748
COLMAP,indoor,,GT Intrinsics,GT Points,0.752170532302782
COLMAP,indoor,GT Extrinsics,,,0.8764358644351727
COLMAP,indoor,GT Extrinsics,,GT Points,0.8946138918238438
COLMAP,indoor,GT Extrinsics,GT Intrinsics,,0.9112520481029939
COLMAP,indoor,GT Extrinsics,GT Intrinsics,GT Points,0.9296672708426095
VGGT,indoor,,,,0.41873764414045755
VGGT,indoor,,,GT Points,0.42925317492840326
VGGT,indoor,,GT Intrinsics,,0.4339441010865242
VGGT,indoor,,GT Intrinsics,GT Points,0.4463601249532574
VGGT,indoor,GT Extrinsics,,,0.5858231172988702
VGGT,indoor,GT Extrinsics,,GT Points,0.605346927497974
VGGT,indoor,GT Extrinsics,GT Intrinsics,,0.8569620008434545
VGGT,indoor,GT Extrinsics,GT Intrinsics,GT Points,0.9292875981631671
COLMAP,outdoor,,,,0.45061284488275605
COLMAP,outdoor,,,GT Points,0.48663903841575756
COLMAP,outdoor,,GT Intrinsics,,0.43762845420620516
COLMAP,outdoor,,GT Intrinsics,GT Points,0.47012562882933806
COLMAP,outdoor,GT Extrinsics,,,0.5240217514282856
COLMAP,outdoor,GT Extrinsics,,GT Points,0.564445330682502
COLMAP,outdoor,GT Extrinsics,GT Intrinsics,,0.567230813561876
COLMAP,outdoor,GT Extrinsics,GT Intrinsics,GT Points,0.6218374935171421
VGGT,outdoor,,,,0.15011054441374777
VGGT,outdoor,,,GT Points,0.15315185945891757
VGGT,outdoor,,GT Intrinsics,,0.14986974550889173
VGGT,outdoor,,GT Intrinsics,GT Points,0.15242479610215903
VGGT,outdoor,GT Extrinsics,,,0.3440362899133543
VGGT,outdoor,GT Extrinsics,,GT Points,0.3651328427026817
VGGT,outdoor,GT Extrinsics,GT Intrinsics,,0.6029251259282629
VGGT,outdoor,GT Extrinsics,GT Intrinsics,GT Points,0.6216426590368399
COLMAP,synthetic,,,,0.7480174930568945
COLMAP,synthetic,,GT Intrinsics,,0.7896445907938007
COLMAP,synthetic,GT Extrinsics,,,0.7825885368714814
COLMAP,synthetic,GT Extrinsics,GT Intrinsics,,0.9377136847800265
VGGT,synthetic,,,,0.6564520223750834
VGGT,synthetic,,GT Intrinsics,,0.6705211099735039
VGGT,synthetic,GT Extrinsics,,,0.8064381403048523
VGGT,synthetic,GT Extrinsics,GT Intrinsics,,0.9585907792058087
