choice,dataset,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,eval_rre,eval_rte,quality
COLMAP,bonsai,,,,0.1581190675497055,0.003077009692788124,0.6035285908886177
COLMAP,bonsai,,,GT Points,0.1581190675497055,0.003077009692788124,0.6160128481439215
COLMAP,bonsai,,GT Intrinsics,,0.1581190675497055,0.003077009692788124,0.6045298188285753
COLMAP,bonsai,,GT Intrinsics,GT Points,0.1581190675497055,0.003077009692788124,0.6152609519132783
COLMAP,bonsai,GT Extrinsics,,,0.0,0.0,0.8661177225164037
COLMAP,bonsai,GT Extrinsics,,GT Points,0.0,0.0,0.8764181146767327
COLMAP,bonsai,GT Extrinsics,GT Intrinsics,,0.0,0.0,0.8755625190287151
COLMAP,bonsai,GT Extrinsics,GT Intrinsics,GT Points,0.0,0.0,0.8913670293575296
VGGT,bonsai,,,,0.7215033769607544,0.024335382506251335,0.31275946366624285
VGGT,bonsai,,,GT Points,0.7215033769607544,0.024335382506251335,0.3157532414962442
VGGT,bonsai,,GT Intrinsics,,0.7215033769607544,0.024335382506251335,0.3692004225562345
VGGT,bonsai,,GT Intrinsics,GT Points,0.7215033769607544,0.024335382506251335,0.3819916716948045
VGGT,bonsai,GT Extrinsics,,,0.0,0.0,0.3695476130280424
VGGT,bonsai,GT Extrinsics,,GT Points,0.0,0.0,0.37786367951932864
VGGT,bonsai,GT Extrinsics,GT Intrinsics,,0.0,0.0,0.7491229822916052
VGGT,bonsai,GT Extrinsics,GT Intrinsics,GT Points,0.0,0.0,0.8874214896720443
COLMAP,kitchen,,,,0.10734093934297562,0.0010659509571269155,0.4839732631063059
COLMAP,kitchen,,,GT Points,0.10734093934297562,0.0010659509571269155,0.48859500327305483
COLMAP,kitchen,,GT Intrinsics,,0.10734093934297562,0.0010659509571269155,0.49115559627205774
COLMAP,kitchen,,GT Intrinsics,GT Points,0.10734093934297562,0.0010659509571269155,0.4963824135905508
COLMAP,kitchen,GT Extrinsics,,,0.0,0.0,0.8317555153888878
COLMAP,kitchen,GT Extrinsics,,GT Points,0.0,0.0,0.8363173338714708
COLMAP,kitchen,GT Extrinsics,GT Intrinsics,,0.0,0.0,0.8764360954402869
COLMAP,kitchen,GT Extrinsics,GT Intrinsics,GT Points,0.0,0.0,0.8856253888678287
VGGT,kitchen,,,,0.3392021059989929,0.006767608691006899,0.39649354836397005
VGGT,kitchen,,,GT Points,0.3392021059989929,0.006767608691006899,0.41915373538050116
VGGT,kitchen,,GT Intrinsics,,0.3392021059989929,0.006767608691006899,0.38907989938976384
VGGT,kitchen,,GT Intrinsics,GT Points,0.3392021059989929,0.006767608691006899,0.41444478296784315
VGGT,kitchen,GT Extrinsics,,,0.0,0.0,0.5961048535087652
VGGT,kitchen,GT Extrinsics,,GT Points,0.0,0.0,0.6381740721306914
VGGT,kitchen,GT Extrinsics,GT Intrinsics,,0.0,0.0,0.8260839641907525
VGGT,kitchen,GT Extrinsics,GT Intrinsics,GT Points,0.0,0.0,0.8853914881387726
COLMAP,counter,,,,0.029024872928857803,0.00048380106454715133,0.7550067725779562
COLMAP,counter,,,GT Points,0.029024872928857803,0.00048380106454715133,0.7639872810722868
COLMAP,counter,,GT Intrinsics,,0.029024872928857803,0.00048380106454715133,0.7609115684086661
COLMAP,counter,,GT Intrinsics,GT Points,0.029024872928857803,0.00048380106454715133,0.7682390596821681
COLMAP,counter,GT Extrinsics,,,0.0,0.0,0.767389822773069
COLMAP,counter,GT Extrinsics,,GT Points,0.0,0.0,0.7756004325362906
COLMAP,counter,GT Extrinsics,GT Intrinsics,,0.0,0.0,0.7731847258803903
COLMAP,counter,GT Extrinsics,GT Intrinsics,GT Points,0.0,0.0,0.7808887110545002
VGGT,counter,,,,0.3432445526123047,0.007584553211927414,0.45863071345446405
VGGT,counter,,,GT Points,0.3432445526123047,0.007584553211927414,0.4679945042336274
VGGT,counter,,GT Intrinsics,,0.3432445526123047,0.007584553211927414,0.455418107066548
VGGT,counter,,GT Intrinsics,GT Points,0.3432445526123047,0.007584553211927414,0.4669304790242761
VGGT,counter,GT Extrinsics,,,0.0,0.0,0.600714395462963
VGGT,counter,GT Extrinsics,,GT Points,0.0,0.0,0.6193163979355587
VGGT,counter,GT Extrinsics,GT Intrinsics,,0.0,0.0,0.755027282055978
VGGT,counter,GT Extrinsics,GT Intrinsics,GT Points,0.0,0.0,0.7824117028535069
