method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series
vggt,100,42,0.0,80892,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,18.94931983947754,0.3593359887599945,0.5959122776985168,1000000,0.008138061501085758,0.5792253613471985,,,0.38402045226236525,0.33591732004224256,80892,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit80892_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit80892_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit80892_steps15000,0.5792,0.034349,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit80892_steps15000_val_step14999.json,80892,vggt | Random Init |  | Use BA
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,18.76170539855957,0.3593513071537018,0.5937286615371704,1000000,0.008138061501085758,0.5792253613471985,,,0.3792596864498924,0.33668160204792996,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit100000_steps15000,0.5792,0.034349,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init |  | Use BA
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,22.033676147460938,0.23486852645874023,0.6809399127960205,1000000,0.003077009692788124,0.1581190675497055,,,0.5676936917370058,0.2686611346355848,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit80892_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit80892_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit80892_steps15000,0.1581,0.013152,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit80892_steps15000_val_step14999.json,80892,colmap | Random Init |  | 
colmap,100,42,,100000,,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,21.991384506225586,0.2377212941646576,0.6817875504493713,1000000,0.003077009692788124,0.1581190675497055,,,0.5656452400100316,0.26938220762577636,100000,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit100000_steps15000,0.1581,0.013152,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_randinit100000_steps15000_val_step14999.json,100000,colmap | Random Init |  | 
vggt,100,42,0.0,80892,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,Random Init,,,,gsplat,17.703346252441406,0.4533112049102783,0.581811249256134,1000000,0.024335382506251335,0.7215033769607544,,,0.29469125916850963,0.3723185707725991,80892,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p80892_random_farthestpose_i100_gteval_randinit80892_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p80892_random_farthestpose_i100_gteval_randinit80892_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p80892_random_farthestpose_i100_gteval_randinit80892_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p80892_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p80892_random_farthestpose,bonsai_2_n100_s42_c0.0_p80892_random_farthestpose_i100_gteval_randinit80892_steps15000_val_step14999.json,80892,vggt | Random Init |  | 
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,Random Init,,,,gsplat,17.580062866210938,0.456859290599823,0.5803703665733337,1000000,0.024335382506251335,0.7215033769607544,,,0.2893754356940742,0.37403517407291753,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_randinit100000_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init |  | 
vggt,100,42,0.0,80892,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,19.774385452270508,0.2983410358428955,0.6175239086151123,1000000,0.006033285986632109,0.4063630700111389,,,0.4495890312492266,0.30910692589410593,80892,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit80892_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit80892_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit80892_steps15000,0.5792,0.034349,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit80892_steps15000_val_step14999.json,80892,vggt | Random Init | Pose Opt | Use BA
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,19.79239273071289,0.29960089921951294,0.6170207262039185,1000000,0.005962432827800512,0.40390488505363464,,,0.44885054720617723,0.3096479117075298,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit100000_steps15000,0.5792,0.034349,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,vggt | Random Init | Pose Opt | Use BA
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,25.105674743652344,0.20451538264751434,0.7958720922470093,1000000,0.0012046992778778076,0.09650631248950958,,,0.7105308640034187,0.219802269485822,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit80892_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit80892_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit80892_steps15000,0.1581,0.013152,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit80892_steps15000_val_step14999.json,80892,colmap | Random Init | Pose Opt | 
colmap,100,42,,100000,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,24.234676361083984,0.20729558169841766,0.7597798705101013,1000000,0.0011918197851628065,0.10975684970617294,,,0.6715785296533384,0.23372993532918654,100000,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit100000_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit100000_steps15000,0.1581,0.013152,100,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_randinit100000_steps15000_val_step14999.json,100000,colmap | Random Init | Pose Opt | 
vggt,100,42,0.0,80892,random,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,Random Init,,,,gsplat,17.536373138427734,0.41055941581726074,0.5700997114181519,1000000,0.021190719678997993,0.7170101404190063,,,0.3111403051950159,0.3612872385817039,80892,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p80892_random_farthestpose_i100_gteval_poseopt_randinit80892_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p80892_random_farthestpose_i100_gteval_poseopt_randinit80892_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p80892_random_farthestpose_i100_gteval_poseopt_randinit80892_steps15000,0.7215,0.105749,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p80892_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p80892_random_farthestpose,bonsai_2_n100_s42_c0.0_p80892_random_farthestpose_i100_gteval_poseopt_randinit80892_steps15000_val_step14999.json,80892,vggt | Random Init | Pose Opt | 
