method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,gsplat_cfg_file_path,used_cache,cache_load_time,plot_series
vggt,100,42,0.0,66763,random,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,,indoor,19.729663848876953,0.32293960452079773,0.616676926612854,1000000,0.006302780006080866,0.497849702835083,,,0.43308124064314735,0.31757092001889153,66763,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p66763_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit66763_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p66763_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit66763_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p66763_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit66763_steps15000,0.4978,0.026013,100,8.293748,,,,0.0,0,0,22.82658362388611,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p66763_random_minfarthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p66763_random_minfarthestpose_useba_maxba250_sharedcam,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p66763_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit66763_steps15000_val_step14999.json,66763,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p66763_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit66763_steps15000/stats/config.json,True,1.6143286228179932,vggt | Random Init | Use BA
colmap,100,42,,66763,,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,,indoor,27.221406936645508,0.17524686455726624,0.8507872819900513,1000000,0.0007070667925290763,0.05946106091141701,,,0.7998922223236127,0.1878078589761242,66763,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit66763_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit66763_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit66763_steps15000,0.0595,0.002889,100,1.016141,,,,187.39341807365417,7726,7726,0.0,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_minfarthestpose_sharedcam,bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit66763_steps15000_val_step14999.json,66763,,,,colmap | Random Init | 
colmap,100,42,,,,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat_cfg,,indoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit66763_steps15000/stats/config.json,,bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit66763_steps15000,,,,,,,,,,,,,bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit66763_steps15000,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit66763_steps15000/stats/config.json,,,colmap | Random Init | 
vggt,100,42,0.0,66763,random,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,Random Init,,,,gsplat,,indoor,18.66983413696289,0.42410242557525635,0.6040229201316833,1000000,0.023722030222415924,0.7308099269866943,,,0.34360857487034685,0.3556510587360373,66763,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p66763_random_minfarthestpose_i100_gteval_randinit66763_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p66763_random_minfarthestpose_i100_gteval_randinit66763_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p66763_random_minfarthestpose_i100_gteval_randinit66763_steps15000,0.7308,0.098078,100,7.817163,,,,0.0,0,0,3.5506362915039062,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p66763_random_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p66763_random_minfarthestpose,bonsai_2_n100_s42_c0.0_p66763_random_minfarthestpose_i100_gteval_randinit66763_steps15000_val_step14999.json,66763,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p66763_random_minfarthestpose_i100_gteval_randinit66763_steps15000/stats/config.json,True,0.9429464340209961,vggt | Random Init | 
vggt,100,42,0.0,70681,random,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,kitchen,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,,indoor,19.328310012817383,0.24683336913585663,0.4252212643623352,1000000,0.0043939994648098946,0.3458828330039978,,,0.36066554425752645,0.33888254653632643,70681,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p70681_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit70681_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p70681_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit70681_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p70681_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit70681_steps15000,0.3459,0.019721,100,4.160002,,,,0.0,0,0,27.57068657875061,/home/ojab2/work/git/vggt/vggt_outputs/kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p70681_random_minfarthestpose_useba_maxba250_sharedcam/eval_results.json,kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p70681_random_minfarthestpose_useba_maxba250_sharedcam,kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p70681_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit70681_steps15000_val_step14999.json,70681,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p70681_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit70681_steps15000/stats/config.json,True,1.9692811965942383,vggt | Random Init | Use BA
colmap,100,42,,70681,,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,,indoor,21.76453971862793,0.16833919286727905,0.4983972907066345,1000000,0.0009086028439924121,0.10134392976760864,,,0.49702710226962443,0.29441315169843235,70681,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit70681_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit70681_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit70681_steps15000,0.1013,0.003655,100,1.017479,,,,127.14479780197144,10130,10130,0.0,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,kitchen_2_n100_s42_default_minfarthestpose_sharedcam,kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit70681_steps15000_val_step14999.json,70681,,,,colmap | Random Init | 
colmap,100,42,,,,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat_cfg,,indoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit70681_steps15000/stats/config.json,,kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit70681_steps15000,,,,,,,,,,,,,kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit70681_steps15000,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit70681_steps15000/stats/config.json,,,colmap | Random Init | 
vggt,100,42,0.0,70681,random,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,kitchen,,,15000,15000,,MCMC,,,,,,,Random Init,,,,gsplat,,indoor,21.05690574645996,0.2688729763031006,0.5055651068687439,1000000,0.005697792861610651,0.28279656171798706,,,0.42605658379989136,0.32662450060276504,70681,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p70681_random_minfarthestpose_i100_gteval_randinit70681_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p70681_random_minfarthestpose_i100_gteval_randinit70681_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_c0.0_p70681_random_minfarthestpose_i100_gteval_randinit70681_steps15000,0.2827,0.025851,100,4.144792,,,,2.384185791015625e-07,0,0,3.54548978805542,/home/ojab2/work/git/vggt/vggt_outputs/kitchen_2_n100_s42_c0.0_p70681_random_minfarthestpose/eval_results.json,kitchen_2_n100_s42_c0.0_p70681_random_minfarthestpose,kitchen_2_n100_s42_c0.0_p70681_random_minfarthestpose_i100_gteval_randinit70681_steps15000_val_step14999.json,70681,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p70681_random_minfarthestpose_i100_gteval_randinit70681_steps15000/stats/config.json,True,1.152047872543335,vggt | Random Init | 
vggt,100,42,0.0,41914,random,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat_cfg,,indoor,19.24647331237793,0.36792296171188354,0.6189515590667725,1000000,0.004877032246440649,0.45121657848358154,,,0.3976959577235717,0.3323696171860563,41914,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_mradial_aliked-sp_c0.0_p41914_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit41914_steps15000/stats/config.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_mradial_aliked-sp_c0.0_p41914_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit41914_steps15000/stats/val_step14999.json,counter_2_n100_s42_mradial_aliked-sp_c0.0_p41914_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit41914_steps15000,0.4512,0.019227,100,4.516333,,,,0.0,0,0,21.28397226333618,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n100_s42_mradial_aliked-sp_c0.0_p41914_random_minfarthestpose_useba_maxba250_sharedcam/eval_results.json,counter_2_n100_s42_mradial_aliked-sp_c0.0_p41914_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit41914_steps15000,,41914,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_mradial_aliked-sp_c0.0_p41914_random_minfarthestpose_useba_maxba250_sharedcam_i100_gteval_randinit41914_steps15000/stats/config.json,True,1.6290128231048584,vggt | Random Init | Use BA
colmap,100,42,,41914,,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,,indoor,26.98029136657715,0.21395312249660492,0.8675370812416077,1000000,0.0001695939718047157,0.015633879229426384,,,0.7813295716004683,0.19330400531549174,41914,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit41914_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit41914_steps15000/stats/val_step14999.json,counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit41914_steps15000,0.0156,0.000691,100,0.993642,,,,292.9965500831604,7726,7726,0.0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n100_s42_default_minfarthestpose_sharedcam,counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit41914_steps15000_val_step14999.json,41914,,,,colmap | Random Init | 
colmap,100,42,,,,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat_cfg,,indoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit41914_steps15000/stats/config.json,,counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit41914_steps15000,,,,,,,,,,,,,counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit41914_steps15000,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_randinit41914_steps15000/stats/config.json,,,colmap | Random Init | 
