choice,dataset_collection,random_init,use_ba,eval_rre,eval_rte,quality
COLMAP,indoor,Random Init,,0.09816162660717964,0.0015422539048207302,0.5681090053410557
VGGT,indoor,Random Init,Use BA,0.4846534729003906,0.005721476394683123,0.3762386441747167
VGGT,indoor,Random Init,,0.46798335512479144,0.012895848136395216,0.3727356012775858
COLMAP,outdoor,Random Init,,0.06108738792439302,0.000953483763926973,0.3749983900161901
VGGT,outdoor,Random Init,Use BA,0.5380391875902811,0.007550766691565514,0.13618238954180537
VGGT,outdoor,Random Init,,0.6484001676241556,0.020474913374831278,0.11450587512870002
COLMAP,synthetic,Random Init,,5.360984966158867,0.06024410203099251,0.7106962124777739
VGGT,synthetic,Random Init,Use BA,0.31051522493362427,0.005159760747725765,0.6372823559420693
VGGT,synthetic,Random Init,,0.31868910789489746,0.005636522235969703,0.6477584949762552
VGGT,synthetic,,,,,
