method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
vggt,25,42,,663,ba,farthestpose,25,GT Eval,,,,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,Random Init,Use BA,50,gsplat,15.458803176879883,0.7628049254417419,0.27915844321250916,736987,0.03466600179672241,1.7644000053405762,-0.11490980489754372,663,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n25_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i25_gteval_randinit663_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i25_gteval_randinit663_steps15000,1.7644,0.146203,25,vggt | Random Init |  | ba,25.0
vggt,50,42,,3071,ba,farthestpose,50,GT Eval,,,,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,Random Init,Use BA,50,gsplat,16.703617095947266,0.6668674945831299,0.2899636924266815,1000000,0.016405999660491943,0.8397999405860901,-0.026318199763133727,3071,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i50_gteval_randinit3071_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i50_gteval_randinit3071_steps15000,0.8398,0.073226,50,vggt | Random Init |  | ba,50.0
vggt,75,42,,6068,ba,farthestpose,75,GT Eval,,,,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,Random Init,Use BA,50,gsplat,17.192075729370117,0.6192775368690491,0.2948407530784607,1000000,0.010812000371515751,0.7756999135017395,0.014955929845397248,6068,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n75_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i75_gteval_randinit6068_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i75_gteval_randinit6068_steps15000,0.7757,0.046518,75,vggt | Random Init |  | ba,75.0
vggt,100,42,,16687,ba,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,Random Init,Use BA,50,gsplat,17.22746467590332,0.5912530422210693,0.29324325919151306,1000000,0.011111999861896038,0.791700005531311,0.03197614452604976,16687,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_randinit16687_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_randinit16687_steps15000,0.7917,0.048267,100,vggt | Random Init |  | ba,100.0
vggt,25,42,0.0,663,random,farthestpose,25,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,Random Init,,,gsplat,15.06856632232666,0.7714064121246338,0.2737222909927368,736987,0.0202380008995533,1.0782999992370605,-0.1306250093818252,663,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n25_s42_c0.0_p663_random_farthestpose_i25_gteval_randinit663_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_c0.0_p663_random_farthestpose_i25_gteval_randinit663_steps15000,1.0783,0.091856,25,vggt | Random Init |  | random,25.0
vggt,50,42,0.0,3071,random,farthestpose,50,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,Random Init,,,gsplat,16.72885513305664,0.6497831344604492,0.2881312072277069,1000000,0.01934400014579296,0.9197998642921448,-0.01637655616658621,3071,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p3071_random_farthestpose_i50_gteval_randinit3071_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_c0.0_p3071_random_farthestpose_i50_gteval_randinit3071_steps15000,0.9199,0.086453,50,vggt | Random Init |  | random,50.0
vggt,75,42,0.0,6068,random,farthestpose,75,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,Random Init,,,gsplat,17.235986709594727,0.5953745245933533,0.29464709758758545,1000000,0.017280997708439827,0.8917999863624573,0.03041079316997467,6068,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n75_s42_c0.0_p6068_random_farthestpose_i75_gteval_randinit6068_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_c0.0_p6068_random_farthestpose_i75_gteval_randinit6068_steps15000,0.8919,0.075478,75,vggt | Random Init |  | random,75.0
vggt,100,42,0.0,16687,random,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,Random Init,,,gsplat,17.401893615722656,0.5880810022354126,0.29790836572647095,1000000,0.015425998717546463,0.8569999933242798,0.039892491928705434,16687,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p16687_random_farthestpose_i100_gteval_randinit16687_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p16687_random_farthestpose_i100_gteval_randinit16687_steps15000,0.857,0.067143,100,vggt | Random Init |  | random,100.0
colmap,25,42,,663,,farthestpose,25,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,Random Init,,,gsplat,10.744813919067383,0.8526755571365356,0.22529824078083038,736987,0.007789000403136015,0.8791000843048096,-0.28917879524596557,663,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n25_s42_default_farthestpose_sharedcam_i25_gteval_randinit663_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_default_farthestpose_sharedcam_i25_gteval_randinit663_steps15000,0.8791,0.011883,7,colmap | Random Init |  | ,25.0
colmap,50,42,,3071,,farthestpose,50,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,Random Init,,,gsplat,15.908191680908203,0.6200395822525024,0.2788950800895691,1000000,0.002750999992713332,0.189099982380867,-0.01861505403078704,3071,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_randinit3071_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_randinit3071_steps15000,0.1891,0.008857,29,colmap | Random Init |  | ,50.0
colmap,75,42,,6068,,farthestpose,75,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,Random Init,,,gsplat,16.99880027770996,0.5864610075950623,0.32733625173568726,1000000,0.002584999892860651,0.10120001435279846,0.05063708723946939,6068,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n75_s42_default_farthestpose_sharedcam_i75_gteval_randinit6068_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_default_farthestpose_sharedcam_i75_gteval_randinit6068_steps15000,0.1012,0.00827,44,colmap | Random Init |  | ,75.0
