Choice,Num Images,Num Points,Random Init,Pose Opt,Sampling Mode,Composite Quality ↑ ↑,Final Gaussian Count ↓
VGGT,25,667,Random Init,,random,-0.11376031193352112,739712.0
VGGT,25,667,Random Init,Pose Opt,random,-0.14445369091802318,739712.0
VGGT,50,3101,Random Init,,ba,-0.009627948030393647,1000000.0
VGGT,50,3101,Random Init,,random,0.003844808106921338,1000000.0
VGGT,50,3101,Random Init,Pose Opt,ba,-0.05378375284233361,1000000.0
VGGT,50,3101,Random Init,Pose Opt,random,-0.05804780878906042,1000000.0
VGGT,75,6098,Random Init,,random,0.0246985230529518,1000000.0
VGGT,75,6098,Random Init,Pose Opt,random,0.002366240803803506,1000000.0
VGGT,100,16592,Random Init,,ba,0.024161111309282113,1000000.0
VGGT,100,16592,Random Init,,random,0.041376244719730296,1000000.0
VGGT,100,16592,Random Init,Pose Opt,ba,0.017404421805715886,1000000.0
VGGT,100,16592,Random Init,Pose Opt,random,0.030444445743275834,1000000.0
