choice,num_images,random_init,pose_opt,use_ba,eval_rre,eval_rte,real_num_points,psnr,ssim,lpips
COLMAP,25,Random Init,,,0.4208633601665497,0.007613354362547398,100000,13.507730484008789,0.39736083149909973,0.642229437828064
COLMAP,25,Random Init,Pose Opt,,0.7081624269485474,0.010703012347221375,100000,13.114099502563477,0.3829549252986908,0.6688485145568848
COLMAP,50,Random Init,,,0.23929256200790405,0.008876856416463852,100000,18.993112564086914,0.5856236815452576,0.34916749596595764
COLMAP,50,Random Init,Pose Opt,,0.1732279360294342,0.004340458195656538,100000,20.26213836669922,0.6388946771621704,0.3125084638595581
COLMAP,75,Random Init,,,0.3392268717288971,0.004411950707435608,100000,19.46504783630371,0.5976711511611938,0.3094545006752014
COLMAP,75,Random Init,Pose Opt,,0.13259415328502655,0.0022090300917625427,100000,23.345914840698242,0.7461287379264832,0.2402135282754898
COLMAP,100,Random Init,,,0.1581190675497055,0.003077009692788124,100000,21.991384506225586,0.6817875504493713,0.2377212941646576
COLMAP,100,Random Init,Pose Opt,,0.10975684970617294,0.0011918197851628065,100000,24.234676361083984,0.7597798705101013,0.20729558169841766
VGGT,25,Random Init,,Use BA,0.7147504687309265,0.0073460363782942295,100000,14.619441032409668,0.438692569732666,0.5989694595336914
VGGT,25,Random Init,,,0.8913509845733643,0.02399303764104843,100000,14.810362815856934,0.44925856590270996,0.5957308411598206
VGGT,25,Random Init,Pose Opt,Use BA,0.6549689769744873,0.008990207687020302,100000,14.594086647033691,0.43941158056259155,0.6027173399925232
VGGT,25,Random Init,Pose Opt,,0.887438952922821,0.023379547521471977,100000,14.807066917419434,0.45317167043685913,0.589332103729248
VGGT,50,Random Init,,Use BA,0.6200998425483704,0.008917286060750484,100000,17.994258880615234,0.555052638053894,0.40270698070526123
VGGT,50,Random Init,,,0.8634902238845825,0.022979047149419785,100000,16.424081802368164,0.5214228630065918,0.5025207996368408
VGGT,50,Random Init,Pose Opt,Use BA,0.42616140842437744,0.006734215654432774,100000,18.991580963134766,0.5875824689865112,0.33927011489868164
VGGT,50,Random Init,Pose Opt,,0.7235584855079651,0.01973843201994896,100000,16.71047019958496,0.533528208732605,0.46345213055610657
VGGT,75,Random Init,,Use BA,0.743751585483551,0.010238785296678543,100000,18.223085403442383,0.5703210830688477,0.3900335729122162
VGGT,75,Random Init,,,0.8830412030220032,0.025345774367451668,100000,17.008522033691406,0.5506844520568848,0.47856655716896057
VGGT,75,Random Init,Pose Opt,Use BA,0.5341929197311401,0.007257708813995123,100000,19.138078689575195,0.5939244627952576,0.3194216191768646
VGGT,75,Random Init,Pose Opt,,0.7529216408729553,0.02274128422141075,100000,17.23672103881836,0.5564917922019958,0.43491849303245544
VGGT,100,Random Init,,Use BA,0.5792253613471985,0.008138061501085758,100000,18.76170539855957,0.5937286615371704,0.3593513071537018
VGGT,100,Random Init,,,0.7215033769607544,0.024335382506251335,100000,17.580062866210938,0.5803703665733337,0.456859290599823
VGGT,100,Random Init,Pose Opt,Use BA,0.40390488505363464,0.005962432827800512,100000,19.79239273071289,0.6170207262039185,0.29960089921951294
VGGT,100,Random Init,Pose Opt,,0.7075525522232056,0.021134180948138237,100000,17.437036514282227,0.5654631853103638,0.41535186767578125
