method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,rre,rte,num_aligned,file_path,sfm_file_path,folder,input_folder,output_folder,plot_series,num_images_jitter
vggt,25,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.7176,0.037698,25,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n25_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n25_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,,vggt |  |  | ba,25.0
vggt,50,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.4792,0.021011,50,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n50_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n50_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,,vggt |  |  | ba,50.0
vggt,75,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.2897,0.014361,75,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n75_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n75_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n75_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n75_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,,vggt |  |  | ba,75.0
vggt,87,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.2686,0.015146,87,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,lego_1_n87_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,lego_1_n87_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam,,vggt |  |  | ba,87.0
vggt,25,42,0.0,912,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,2.1388,0.131855,25,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s42_c0.0_p912_random_farthestpose/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s42_c0.0_p912_random_farthestpose/eval_results.json,lego_1_n25_s42_c0.0_p912_random_farthestpose,lego_1_n25_s42_c0.0_p912_random_farthestpose,,vggt |  |  | random,25.0
vggt,50,42,0.0,3745,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,0.8706,0.041593,50,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s42_c0.0_p3745_random_farthestpose/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s42_c0.0_p3745_random_farthestpose/eval_results.json,lego_1_n50_s42_c0.0_p3745_random_farthestpose,lego_1_n50_s42_c0.0_p3745_random_farthestpose,,vggt |  |  | random,50.0
vggt,75,42,0.0,7913,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,0.3684,0.019217,75,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n75_s42_c0.0_p7913_random_farthestpose/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n75_s42_c0.0_p7913_random_farthestpose/eval_results.json,lego_1_n75_s42_c0.0_p7913_random_farthestpose,lego_1_n75_s42_c0.0_p7913_random_farthestpose,,vggt |  |  | random,75.0
vggt,87,42,0.0,10092,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,0.3306,0.018825,87,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p10092_random_farthestpose/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p10092_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p10092_random_farthestpose,lego_1_n87_s42_c0.0_p10092_random_farthestpose,,vggt |  |  | random,87.0
colmap,25,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,sfm,131.9798,3.721507,16,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n25_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n25_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n25_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n25_s42_default_mpinhole_farthestpose_sharedcam,,colmap |  |  | ,25.0
colmap,50,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,sfm,158.6122,3.616413,41,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n50_s42_default_mpinhole_farthestpose_sharedcam,,colmap |  |  | ,50.0
colmap,75,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,sfm,96.5446,3.183331,75,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n75_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n75_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n75_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n75_s42_default_mpinhole_farthestpose_sharedcam,,colmap |  |  | ,75.0
colmap,87,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,sfm,12.9097,0.789921,87,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,,colmap |  |  | ,87.0
