choice,num_images,shared_camera,sampling_mode,rre,rte,num_aligned,quality
VGGT,10,Shared Cam,ba,7.2232,1.3413,10,-0.20015195931917346
VGGT,10,,ba,2.1053,0.41945,10,-0.19088230526547983
VGGT,10,,voxels,1.569,0.141985,10,-0.10696857799718398
VGGT,20,Shared Cam,ba,2.1172,0.160081,20,-0.05998114125150755
VGGT,20,,ba,3.864,0.456751,20,-0.08960808857142569
VGGT,20,,voxels,1.3446,0.119326,20,-0.003077579249492886
VGGT,30,Shared Cam,ba,1.1104,0.093747,30,0.000559719527519172
VGGT,30,,ba,1.1051,0.159952,30,-0.02427952176491262
VGGT,30,,voxels,0.9795,0.090795,30,0.040863610266709705
VGGT,40,Shared Cam,ba,1.092,0.094928,40,-0.003874681846440094
VGGT,40,,ba,1.1492,0.180873,40,-0.00948398147332652
VGGT,40,,voxels,0.8856,0.086546,40,0.07716109525700372
VGGT,50,Shared Cam,ba,0.8398,0.073226,50,0.061516621114372685
VGGT,50,,ba,0.9021,0.131738,50,0.02713850096032718
VGGT,50,,voxels,0.9199,0.086453,50,0.10157490438885164
VGGT,60,Shared Cam,ba,0.7716,0.047466,60,0.07196385338369944
VGGT,60,,ba,0.7233,0.084243,60,0.060468032888346825
VGGT,60,,voxels,0.8369,0.071063,60,0.11286137656316578
VGGT,70,Shared Cam,ba,0.793,0.050649,70,0.08115084419938323
VGGT,70,,ba,0.8817,0.099907,70,0.06600868035788043
VGGT,70,,voxels,0.9155,0.07769,70,0.11234430317138222
VGGT,80,Shared Cam,ba,0.7082,0.044108,80,0.09170193936315119
VGGT,80,,ba,0.7944,0.081237,80,0.0978058590139175
VGGT,80,,voxels,0.873,0.073069,80,0.13680517681238327
VGGT,90,Shared Cam,ba,0.7593,0.045281,90,0.08990170670609106
VGGT,90,,ba,0.7227,0.081549,90,0.07509122815048488
VGGT,90,,voxels,0.8907,0.071127,90,0.13824161958818396
VGGT,100,Shared Cam,ba,0.7917,0.048267,100,0.07595182840044896
VGGT,100,,ba,0.7685,0.080377,100,0.07272788314868912
VGGT,100,,voxels,0.857,0.067143,100,0.1550048620302697
