method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,10,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n10_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,,bonsai_2_n10_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,2.0518,0.131584,10,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n10_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n10_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,,,vggt | Shared Cam | ba,10.0
vggt,20,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,,bonsai_2_n20_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,1.0643,0.054252,20,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n20_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,,,vggt | Shared Cam | ba,20.0
vggt,30,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n30_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,,bonsai_2_n30_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,1.2472,0.069051,30,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n30_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n30_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,,,vggt | Shared Cam | ba,30.0
vggt,40,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,,bonsai_2_n40_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,0.8741,0.047269,40,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n40_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,,,vggt | Shared Cam | ba,40.0
vggt,50,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,,bonsai_2_n50_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,0.7787,0.051156,50,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n50_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,,,vggt | Shared Cam | ba,50.0
vggt,60,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n60_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,,bonsai_2_n60_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,0.7591,0.046576,60,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n60_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n60_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,,,vggt | Shared Cam | ba,60.0
vggt,70,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n70_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,,bonsai_2_n70_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,0.7861,0.049258,70,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n70_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n70_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,,,vggt | Shared Cam | ba,70.0
vggt,80,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n80_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,,bonsai_2_n80_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,0.9745,0.04996,80,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n80_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n80_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,,,vggt | Shared Cam | ba,80.0
vggt,90,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n90_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,,bonsai_2_n90_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,0.7329,0.040137,90,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n90_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n90_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,,,vggt | Shared Cam | ba,90.0
vggt,100,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,,bonsai_2_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,0.7099,0.037375,100,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam,,,vggt | Shared Cam | ba,100.0
vggt,10,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n10_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,,bonsai_2_n10_s42_mradial_ba_farthestpose_useba_maxba50,2.6331,0.287147,10,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n10_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bonsai_2_n10_s42_mradial_ba_farthestpose_useba_maxba50,,,vggt |  | ba,10.0
