method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
combined,25,42,0.0,25000,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,12.683277130126953,0.6812962293624878,0.15546736121177673,1000000,0.012969999574124813,1.7845999002456665,-0.18832839154980247,7706,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n25_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000,2.0248,0.019853,7,combined | default | bothpcd,25.0
combined,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,15.5274658203125,0.4673634171485901,0.2159794420003891,1000000,0.006173000205308199,0.3813000023365021,0.031786242617346305,31959,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000,0.4107,0.024175,29,combined | default | bothpcd,50.0
combined,75,42,0.0,75000,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,16.363862991333008,0.39426276087760925,0.2385704219341278,1000000,0.010120999999344349,0.28550001978874207,0.10561004038984859,50155,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n75_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000,0.3172,0.031599,44,combined | default | bothpcd,75.0
combined,100,42,0.0,100000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,21.35991859436035,0.24524331092834473,0.534141480922699,1000000,0.004101999569684267,0.08949999511241913,0.4629654758854916,116592,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000,0.1067,0.017644,100,combined | default | bothpcd,100.0
combined,25,42,,667,,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,default,MCMC,vggtcams,colmappcd,Global Alignment,,,,,,gsplat,11.315043449401855,0.7910694479942322,0.20678065717220306,739712,0.010518998838961124,4.652400016784668,-0.251419522957495,667,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n25_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_i25_gteval_poseopt_steps15000,2.2538,0.026684,7,combined | default | colmappcd,25.0
combined,50,42,,3101,,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,default,MCMC,vggtcams,colmappcd,Global Alignment,,,,,,gsplat,14.643424987792969,0.6157758831977844,0.23299595713615417,1000000,0.01068899966776371,0.9117000102996826,-0.06624633883252547,3101,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_i50_gteval_poseopt_steps15000,0.689,0.054909,29,combined | default | colmappcd,50.0
combined,75,42,,6098,,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,default,MCMC,vggtcams,colmappcd,Global Alignment,,,,,,gsplat,15.968478202819824,0.5150114893913269,0.25515884160995483,1000000,0.008790000341832638,0.47200000286102295,0.033452677912647055,6098,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n75_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_i75_gteval_poseopt_steps15000,0.5741,0.045375,44,combined | default | colmappcd,75.0
combined,100,42,,16592,,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,default,MCMC,vggtcams,colmappcd,Global Alignment,,,,,,gsplat,17.514883041381836,0.42121222615242004,0.28260278701782227,1000000,0.01333099976181984,0.6065000295639038,0.13603967521158114,16592,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_i100_gteval_poseopt_steps15000,0.857,0.067143,100,combined | default | colmappcd,100.0
combined,25,42,0.0,25000,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,vggtpcd,Global Alignment,,,,,,gsplat,12.708497047424316,0.6812545657157898,0.15443389117717743,1000000,0.015383999794721603,1.5360000133514404,-0.18844000618515103,7039,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n25_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000,2.0248,0.019853,7,combined | default | vggtpcd,25.0
combined,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,vggtpcd,Global Alignment,,,,,,gsplat,15.281283378601074,0.47754281759262085,0.21155701577663422,1000000,0.00671500014141202,0.414499968290329,0.01835751382463398,28858,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000,0.4107,0.024175,29,combined | default | vggtpcd,50.0
combined,75,42,0.0,75000,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,vggtpcd,Global Alignment,,,,,,gsplat,16.40816307067871,0.3990784287452698,0.24409916996955872,1000000,0.010317999869585037,0.2759000062942505,0.10669096372900577,44057,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n75_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000,0.3172,0.031599,44,combined | default | vggtpcd,75.0
