choice,num_images,colmap_mode,pcd_src,rre,rte,num_aligned,quality
COLMAP,25,default,bothpcd,0.8791,0.011883,7,-0.18394548072684805
COLMAP,25,default,vggtpcd,0.8791,0.011883,7,-0.1832187553750298
COLMAP,25,default,,0.8791,0.011883,7,-0.21751512959841546
COLMAP,25,relaxed,bothpcd,1.795,0.003818,3,-0.17833741451719498
COLMAP,25,relaxed,vggtpcd,1.795,0.003818,3,-0.17389381055788522
COLMAP,25,relaxed,,1.795,0.003818,3,-0.16314491434016723
COLMAP,50,default,bothpcd,0.1891,0.008857,29,0.08112628375500193
COLMAP,50,default,vggtpcd,0.1891,0.008857,29,0.05652976771931595
COLMAP,50,default,,0.1891,0.008857,29,-0.012624364769869204
COLMAP,50,relaxed,bothpcd,24.1505,1.641828,50,-0.12737705286948067
COLMAP,50,relaxed,vggtpcd,24.1505,1.641828,50,-0.1346061230093104
COLMAP,50,relaxed,,24.1505,1.641828,50,-0.13601058109616826
COLMAP,75,default,bothpcd,0.1012,0.00827,44,0.2025781010868799
COLMAP,75,default,vggtpcd,0.1012,0.00827,44,0.15937107398650954
COLMAP,75,default,,0.1012,0.00827,44,0.08370847156715522
COLMAP,75,relaxed,bothpcd,2.5877,0.181462,75,0.10689432009851263
COLMAP,75,relaxed,vggtpcd,2.5877,0.181462,75,0.09331032403341129
COLMAP,75,relaxed,,2.5877,0.181462,75,0.09545351596835996
COLMAP,100,default,bothpcd,0.1069,0.008457,100,0.5275909699272071
COLMAP,100,default,vggtpcd,0.1069,0.008457,100,0.5115200661079228
COLMAP,100,default,,0.1069,0.008457,100,0.44320724481417806
COLMAP,100,relaxed,bothpcd,0.1144,0.009765,100,0.45186367082936646
COLMAP,100,relaxed,vggtpcd,0.1144,0.009765,100,0.42610747884666084
COLMAP,100,relaxed,,0.1144,0.009765,100,0.45155591268365913
VGGT,25,,,1.0783,0.091856,25,0.035769927300285276
VGGT,50,,,0.9199,0.086453,50,0.11466371447641872
VGGT,75,,,0.8919,0.075478,75,0.1456334591686455
VGGT,100,,,0.857,0.067143,100,0.16508122017973817
