choice,num_images,colmap_mode,pcd_src,rre,rte,num_aligned,quality
COLMAP,25,default,bothpcd,31.5574,0.044614,5,0.03362507282564449
COLMAP,25,relaxed,bothpcd,129.0421,3.833276,25,0.10498672169938812
COLMAP,25,relaxed,vggtpcd,129.0421,3.833276,25,0.19637783631788908
COLMAP,50,default,bothpcd,170.7687,3.636532,43,0.19638324922520747
COLMAP,50,default,,158.6122,3.616413,41,0.15478331388940747
COLMAP,50,relaxed,bothpcd,114.6231,3.606327,50,0.1963788243839693
COLMAP,75,default,bothpcd,96.5689,3.184488,75,0.18194482967867487
COLMAP,75,relaxed,bothpcd,2.5941,0.201191,75,0.4470982507616766
COLMAP,75,relaxed,vggtpcd,2.5941,0.201191,75,0.4505425720070769
COLMAP,87,default,,12.9097,0.789921,87,0.1841184926776626
VGGT,25,default,vggtpcd,31.5574,0.044614,5,
VGGT,25,default,,131.9798,3.721507,16,
VGGT,25,relaxed,,121.9612,3.830271,25,
VGGT,25,,,2.1388,0.131855,25,0.32528806848135605
VGGT,50,default,vggtpcd,170.7687,3.636532,43,
VGGT,50,relaxed,vggtpcd,114.6231,3.606327,50,
VGGT,50,relaxed,,106.2732,3.60279,50,
VGGT,50,,,0.8706,0.041593,50,0.44926355278592667
VGGT,75,default,vggtpcd,96.5689,3.184488,75,
VGGT,75,default,,96.5446,3.183331,75,
VGGT,75,relaxed,,0.1842,0.009199,75,
VGGT,75,,,0.3684,0.019217,75,0.6742159442575508
VGGT,87,default,bothpcd,12.7941,0.784629,87,
VGGT,87,default,vggtpcd,12.7941,0.784629,87,
VGGT,87,relaxed,bothpcd,0.1352,0.007215,87,
VGGT,87,relaxed,vggtpcd,0.1352,0.007215,87,
VGGT,87,relaxed,,0.171,0.00751,87,
VGGT,87,,,0.3306,0.018825,87,0.6992689660321278
