Choice,Num Images,Camera Src,Pcd Src,RRE ↓ ↓,RTE ↓ ↓,Aligned Cameras ↑ ↑,Composite Quality ↑ ↑
COLMAP,25,colmapcams,bothpcd,2.0248,0.019853,7.0,-0.19631643605898375
COLMAP,25,colmapcams,vggtpcd,2.0248,0.019853,7.0,-0.1957400780827135
VGGT,25,vggtcams,bothpcd,2.2538,0.026684,7.0,-0.1972987061975216
VGGT,25,vggtcams,colmappcd,2.2538,0.026684,7.0,-0.20453368722811532
COLMAP,50,colmapcams,bothpcd,0.4107,0.024175,29.0,0.01226578369165417
COLMAP,50,colmapcams,vggtpcd,0.4107,0.024175,29.0,0.0056360562642415735
VGGT,50,vggtcams,bothpcd,0.689,0.054909,29.0,-0.045175627077299677
VGGT,50,vggtcams,colmappcd,0.689,0.054909,29.0,-0.04801019629229959
COLMAP,75,colmapcams,bothpcd,0.3172,0.031599,44.0,0.09178646889656224
COLMAP,75,colmapcams,vggtpcd,0.3172,0.031599,44.0,0.08671283617354278
VGGT,75,vggtcams,bothpcd,0.5741,0.045375,44.0,0.004362006594872958
VGGT,75,vggtcams,colmappcd,0.5741,0.045375,44.0,-0.007478931803762097
COLMAP,100,colmapcams,bothpcd,0.1067,0.017644,100.0,0.413588703646917
COLMAP,100,colmapcams,vggtpcd,0.1067,0.017644,100.0,0.3934695577760886
VGGT,100,vggtcams,bothpcd,0.857,0.067143,100.0,0.10964690178845751
VGGT,100,vggtcams,colmappcd,0.857,0.067143,100.0,0.07733435449544453
