choice,num_images,camera_src,pcd_src,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,50,,,0.25963860750198364,0.007013706024736166,50,21.167011260986328,0.25821489095687866,0.6724807024002075
COLMAP,100,,,0.10533700883388519,0.0009729048470035195,100,23.78042221069336,0.17764073610305786,0.7430458068847656
VGGT,25,colmapcams,bothpcd,,,13,,,
VGGT,25,colmapcams,vggtpcd,,,13,,,
VGGT,25,vggtcams,bothpcd,,,13,,,
VGGT,25,vggtcams,colmappcd,,,13,,,
VGGT,25,,,,,19,,,
VGGT,50,colmapcams,bothpcd,,,50,,,
VGGT,50,colmapcams,vggtpcd,,,50,,,
VGGT,50,vggtcams,bothpcd,,,50,,,
VGGT,50,vggtcams,colmappcd,,,50,,,
VGGT,50,,,,,50,,,
VGGT,75,colmapcams,bothpcd,,,75,,,
VGGT,75,colmapcams,vggtpcd,,,75,,,
VGGT,75,vggtcams,bothpcd,,,75,,,
VGGT,75,vggtcams,colmappcd,,,75,,,
VGGT,75,,,,,75,,,
VGGT,100,colmapcams,bothpcd,,,100,,,
VGGT,100,colmapcams,vggtpcd,,,100,,,
VGGT,100,vggtcams,bothpcd,,,100,,,
VGGT,100,vggtcams,colmappcd,,,100,,,
VGGT,100,,,0.8112999200820923,0.0220319963991642,100,17.40581512451172,0.3973557949066162,0.559679388999939
