method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
combined,30,42,0.0,30000,random,farthestpose,30,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,15.95897102355957,0.47390609979629517,0.22061975300312042,1000000,0.0212669987231493,1.0562999248504639,0.03845201888744365,30713,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000,1.1253,0.086719,30,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,30.0
combined,40,42,0.0,40000,random,farthestpose,40,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,17.3279972076416,0.43016883730888367,0.26167774200439453,1000000,0.01888200081884861,0.7898998856544495,0.11481318569090404,42136,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000,0.8223,0.081137,40,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,40.0
combined,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,17.62680435180664,0.38283485174179077,0.26051315665245056,1000000,0.015937000513076782,0.715399980545044,0.1488841168674422,53101,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000,0.7647,0.07365,50,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,50.0
combined,60,42,0.0,60000,random,farthestpose,60,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,17.65331268310547,0.36251169443130493,0.2603016197681427,1000000,0.01324700191617012,0.5745999217033386,0.1617964649448308,64134,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p60000_random_farthestpose_i60_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p60000_random_farthestpose_i60_gteval_poseopt_steps15000,0.6419,0.058389,60,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,60.0
combined,70,42,0.0,70000,random,farthestpose,70,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,18.356975555419922,0.3531973958015442,0.30008697509765625,1000000,0.017479998990893364,0.5656999349594116,0.20384311559836998,75448,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p70000_random_farthestpose_i70_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p70000_random_farthestpose_i70_gteval_poseopt_steps15000,0.6421,0.073629,70,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,70.0
combined,80,42,0.0,80000,random,farthestpose,80,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,18.060976028442383,0.3341936469078064,0.2760855555534363,1000000,0.014278999529778957,0.5396000146865845,0.19605643420811208,87102,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p80000_random_farthestpose_i80_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p80000_random_farthestpose_i80_gteval_poseopt_steps15000,0.6207,0.062369,80,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,80.0
combined,90,42,0.0,90000,random,farthestpose,90,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,21.197284698486328,0.25868067145347595,0.5172678232192993,1000000,0.004013000056147575,0.1064000055193901,0.4417914339983285,103401,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n90_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p90000_random_farthestpose_i90_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n90_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p90000_random_farthestpose_i90_gteval_poseopt_steps15000,0.1284,0.017995,90,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,90.0
combined,100,42,0.0,100000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,21.386695861816406,0.24505819380283356,0.5329620838165283,1000000,0.004093999974429607,0.08959999680519104,0.462885915129273,116592,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000,0.1067,0.017644,100,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,100.0
combined,30,42,0.0,30000,random,farthestpose,30,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,12.478681564331055,0.6739599704742432,0.15021219849586487,1000000,0.01097599882632494,1.689000129699707,-0.19066183802522252,8469,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p30000_random_farthestpose_i30_gteval_poseopt_steps15000,1.8188,0.022037,8,combined | colmapcams | bothpcd | Global Alignment | ,30.0
combined,40,42,0.0,40000,random,farthestpose,40,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,13.581058502197266,0.5806308388710022,0.1688399314880371,1000000,0.009333998896181583,0.559499979019165,-0.10174346411669688,22302,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p40000_random_farthestpose_i40_gteval_poseopt_steps15000,0.6138,0.042981,20,combined | colmapcams | bothpcd | Global Alignment | ,40.0
combined,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,15.5274658203125,0.4673634171485901,0.2159794420003891,1000000,0.006173000205308199,0.3813000023365021,0.031786242617346305,31959,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000,0.4107,0.024175,29,combined | colmapcams | bothpcd | Global Alignment | ,50.0
