choice,num_images,camera_src,pcd_src,align_mode,keep_backup_cams,rre,rte,num_aligned,quality
COLMAP,20,colmapcams,bothpcd,Global Alignment,Fallback Cams,2.1526,0.119325,20,0.006842826851937119
COLMAP,20,colmapcams,bothpcd,Global Alignment,,,,,-0.5196730158012782
COLMAP,20,colmapcams,bothpcd,Local Alignment,Fallback Cams,2.1526,0.119325,20,0.006966643863254148
COLMAP,20,colmapcams,bothpcd,Local Alignment,,,,,-0.4308686798621183
COLMAP,20,,,,,,,,-0.5034785143561451
COLMAP,30,colmapcams,bothpcd,Global Alignment,Fallback Cams,1.042,0.086272,30,0.049313826945170426
COLMAP,30,colmapcams,bothpcd,Global Alignment,,0.5918,0.009894,8,-0.17750836069356152
COLMAP,30,colmapcams,bothpcd,Local Alignment,Fallback Cams,1.042,0.086272,30,0.04479217629993485
COLMAP,30,colmapcams,bothpcd,Local Alignment,,0.5918,0.009894,8,-0.171689167396057
COLMAP,30,,,,,0.5918,0.009894,8,-0.20748379905941106
COLMAP,40,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.7283,0.076234,40,0.09703916222186273
COLMAP,40,colmapcams,bothpcd,Global Alignment,,0.3116,0.017061,18,-0.07855282885599157
COLMAP,40,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.7283,0.076234,40,0.09611268853738453
COLMAP,40,colmapcams,bothpcd,Local Alignment,,0.3116,0.017061,18,-0.0799532671343435
COLMAP,40,,,,,0.3116,0.017061,18,-0.0916190896427731
COLMAP,50,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.6604,0.06785,50,0.16467252127763282
COLMAP,50,colmapcams,bothpcd,Global Alignment,,0.1891,0.008857,29,0.08112628375500193
COLMAP,50,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.6604,0.06785,50,0.16315067352762158
COLMAP,50,colmapcams,bothpcd,Local Alignment,,0.1891,0.008857,29,0.07663098715434535
COLMAP,50,,,,,0.1891,0.008857,29,-0.012624364769869204
COLMAP,60,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.6176,0.052467,60,0.16286496216790725
COLMAP,60,colmapcams,bothpcd,Global Alignment,,0.1177,0.009469,35,0.14368458991704475
COLMAP,60,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.6176,0.052467,60,0.16129828905269183
COLMAP,60,colmapcams,bothpcd,Local Alignment,,0.1177,0.009469,35,0.13026719189371827
COLMAP,60,,,,,0.1177,0.009469,35,0.02446104528998468
COLMAP,70,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.7035,0.061651,70,0.17516394239342628
COLMAP,70,colmapcams,bothpcd,Global Alignment,,0.1038,0.008064,41,0.16805683032811036
COLMAP,70,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.7035,0.061651,70,0.1756817956804223
COLMAP,70,colmapcams,bothpcd,Local Alignment,,0.1038,0.008064,41,0.16921325710549456
COLMAP,70,,,,,0.1038,0.008064,41,0.06419766948469437
COLMAP,80,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.6906,0.057103,80,0.17773670357028104
COLMAP,80,colmapcams,bothpcd,Global Alignment,,0.1453,0.00542,48,0.1792597614998474
COLMAP,80,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.6906,0.057103,80,0.17985736281938414
COLMAP,80,colmapcams,bothpcd,Local Alignment,,0.1453,0.00542,48,0.1800536572971927
COLMAP,80,,,,,0.1453,0.00542,48,0.11009234739945573
COLMAP,90,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.1147,0.009408,90,0.483535853742856
COLMAP,90,colmapcams,bothpcd,Global Alignment,,0.1147,0.009408,90,0.4845143251793969
COLMAP,90,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.1147,0.009408,90,0.474361242529167
COLMAP,90,colmapcams,bothpcd,Local Alignment,,0.1147,0.009408,90,0.47630952107898594
COLMAP,90,,,,,0.1147,0.009408,90,0.3971009635940784
COLMAP,100,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.1069,0.008457,100,0.5282610689300156
COLMAP,100,colmapcams,bothpcd,Global Alignment,,0.1069,0.008457,100,0.5275909699272071
COLMAP,100,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.1069,0.008457,100,0.5178041207356605
COLMAP,100,colmapcams,bothpcd,Local Alignment,,0.1069,0.008457,100,0.520139776126683
COLMAP,100,,,,,0.1069,0.008457,100,0.44320724481417806
VGGT,10,,,,,1.569,0.141985,10,-0.09117954826107103
VGGT,20,,,,,1.3446,0.119326,20,0.020214514077058356
VGGT,30,,,,,0.9795,0.090795,30,0.05887029448292953
VGGT,40,,,,,0.8856,0.086546,40,0.08587543537587297
VGGT,50,,,,,0.9199,0.086453,50,0.11466371447641872
VGGT,60,,,,,0.8369,0.071063,60,0.12871355728486522
VGGT,70,,,,,0.9155,0.07769,70,0.12756020578182392
VGGT,80,,,,,0.873,0.073069,80,0.15484358781804664
VGGT,90,,,,,0.8907,0.071127,90,0.15395168575704524
VGGT,100,,,,,0.857,0.067143,100,0.16508122017973817
