choice,num_images,camera_src,pcd_src,align_mode,keep_backup_cams,rre,rte,num_aligned,quality
VGGT,10,colmapcams,bothpcd,Global Alignment,Fallback Cams,5.6749,0.150109,10.0,
VGGT,10,colmapcams,bothpcd,Global Alignment,,12.0827,0.17584,4.0,
VGGT,10,colmapcams,bothpcd,Local Alignment,Fallback Cams,5.6749,0.150109,10.0,
VGGT,10,colmapcams,bothpcd,Local Alignment,,12.0827,0.17584,4.0,
VGGT,10,,,,,6.642600000000001,0.1432395,7.0,
VGGT,20,colmapcams,bothpcd,Global Alignment,Fallback Cams,3.4244,0.103798,20.0,
VGGT,20,colmapcams,bothpcd,Global Alignment,,3.1093,0.003574,3.0,
VGGT,20,colmapcams,bothpcd,Local Alignment,Fallback Cams,3.4244,0.103798,20.0,
VGGT,20,colmapcams,bothpcd,Local Alignment,,3.1093,0.003574,3.0,
VGGT,20,,,,,1.9869,0.053821999999999995,11.5,
VGGT,30,colmapcams,bothpcd,Global Alignment,Fallback Cams,25.5571,1.157323,30.0,
VGGT,30,colmapcams,bothpcd,Global Alignment,,49.7519,1.662998,15.0,
VGGT,30,colmapcams,bothpcd,Local Alignment,Fallback Cams,25.5571,1.157323,30.0,
VGGT,30,colmapcams,bothpcd,Local Alignment,,49.7519,1.662998,15.0,
VGGT,30,,,,,25.3623,0.886718,22.5,
VGGT,40,colmapcams,bothpcd,Global Alignment,Fallback Cams,3.3121,0.210741,40.0,
VGGT,40,colmapcams,bothpcd,Global Alignment,,3.7929,0.22965,34.0,
VGGT,40,colmapcams,bothpcd,Local Alignment,Fallback Cams,3.3121,0.210741,40.0,
VGGT,40,colmapcams,bothpcd,Local Alignment,,3.7929,0.22965,34.0,
VGGT,40,,,,,2.3247,0.1669995,37.0,
VGGT,50,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.3632,0.039699,50.0,
VGGT,50,colmapcams,bothpcd,Global Alignment,,0.3632,0.039699,50.0,
VGGT,50,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.3632,0.039699,50.0,
VGGT,50,colmapcams,bothpcd,Local Alignment,,0.3632,0.039699,50.0,
VGGT,50,,,,,0.58225,0.071369,50.0,
VGGT,60,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.4211,0.015492,60.0,
VGGT,60,colmapcams,bothpcd,Global Alignment,,0.4211,0.015492,60.0,
VGGT,60,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.4211,0.015492,60.0,
VGGT,60,colmapcams,bothpcd,Local Alignment,,0.4211,0.015492,60.0,
VGGT,60,,,,,0.61175,0.060341500000000006,60.0,
VGGT,70,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.3248,0.010464,70.0,
VGGT,70,colmapcams,bothpcd,Global Alignment,,0.3248,0.010464,70.0,
VGGT,70,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.3248,0.010464,70.0,
VGGT,70,colmapcams,bothpcd,Local Alignment,,0.3248,0.010464,70.0,
VGGT,70,,,,,0.61575,0.061296,70.0,
VGGT,80,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.2951,0.011576,80.0,
VGGT,80,colmapcams,bothpcd,Global Alignment,,0.2951,0.011576,80.0,
VGGT,80,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.2951,0.011576,80.0,
VGGT,80,colmapcams,bothpcd,Local Alignment,,0.2951,0.011576,80.0,
VGGT,80,,,,,0.58775,0.062325,80.0,
VGGT,90,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.2621,0.012323,90.0,
VGGT,90,colmapcams,bothpcd,Global Alignment,,0.2621,0.012323,90.0,
VGGT,90,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.2621,0.012323,90.0,
VGGT,90,colmapcams,bothpcd,Local Alignment,,0.2621,0.012323,90.0,
VGGT,90,,,,,0.5527500000000001,0.061314,90.0,
VGGT,100,colmapcams,bothpcd,Global Alignment,Fallback Cams,0.1993,0.012003,100.0,
VGGT,100,colmapcams,bothpcd,Global Alignment,,0.1993,0.012003,100.0,
VGGT,100,colmapcams,bothpcd,Local Alignment,Fallback Cams,0.1993,0.012003,100.0,
VGGT,100,colmapcams,bothpcd,Local Alignment,,0.1993,0.012003,100.0,
VGGT,100,,,,,0.4945,0.059562,100.0,0.31077919167462226
