choice,num_images,camera_src,pcd_src,align_mode,keep_backup_cams,rre,rte,num_aligned,quality
COLMAP,20,colmapcams,bothpcd,Global Alignment,Fallback Cams,14.824,0.141192,20,0.32114658516827455
COLMAP,20,colmapcams,bothpcd,Global Alignment,,114.8832,0.023191,3,0.17030570815336094
COLMAP,20,colmapcams,bothpcd,Local Alignment,Fallback Cams,14.824,0.141192,20,0.3224349299989171
COLMAP,20,colmapcams,bothpcd,Local Alignment,,114.8832,0.023191,3,0.19577524490059
COLMAP,20,,,,,111.3582,0.022895,3,0.1820527684618855
COLMAP,30,colmapcams,bothpcd,Global Alignment,Fallback Cams,46.6839,2.815385,30,0.25309898088007793
COLMAP,30,colmapcams,bothpcd,Global Alignment,,75.8732,2.952918,18,0.18709706380973007
COLMAP,30,colmapcams,bothpcd,Local Alignment,Fallback Cams,46.6839,2.815385,30,0.15008265783137667
COLMAP,30,colmapcams,bothpcd,Local Alignment,,75.8732,2.952918,18,-0.01713972350387616
COLMAP,30,,,,,85.9851,3.013466,18,0.0332000762166104
COLMAP,40,colmapcams,bothpcd,Global Alignment,Fallback Cams,136.0307,3.676437,40,0.041725051643168344
COLMAP,40,colmapcams,bothpcd,Global Alignment,,154.9139,3.71729,35,0.19656538854875377
COLMAP,40,colmapcams,bothpcd,Local Alignment,Fallback Cams,136.0307,3.676437,40,-0.000551990133512259
COLMAP,40,colmapcams,bothpcd,Local Alignment,,154.9139,3.71729,35,0.11593951049603919
COLMAP,40,,,,,176.2496,3.722113,35,0.18881329342171
COLMAP,50,colmapcams,bothpcd,Global Alignment,Fallback Cams,147.0024,3.561043,50,0.1708505899972773
COLMAP,50,colmapcams,bothpcd,Global Alignment,,170.7687,3.636532,43,0.19638324922520747
COLMAP,50,colmapcams,bothpcd,Local Alignment,Fallback Cams,147.0024,3.561043,50,0.12042700469764969
COLMAP,50,colmapcams,bothpcd,Local Alignment,,170.7687,3.636532,43,0.12057593397074817
COLMAP,50,,,,,158.6122,3.616413,41,0.15478331388940747
COLMAP,60,colmapcams,bothpcd,Global Alignment,Fallback Cams,84.7757,3.412263,60,0.22198315821660664
COLMAP,60,colmapcams,bothpcd,Global Alignment,,90.7994,3.439075,56,0.170668562485693
COLMAP,60,colmapcams,bothpcd,Local Alignment,Fallback Cams,84.7757,3.412263,60,0.17518799803797652
COLMAP,60,colmapcams,bothpcd,Local Alignment,,90.7994,3.439075,56,0.04259634087657378
COLMAP,60,,,,,151.2284,3.589798,49,0.13269682492893808
COLMAP,70,colmapcams,bothpcd,Global Alignment,Fallback Cams,76.4292,3.071785,70,0.1191839932465879
COLMAP,70,colmapcams,bothpcd,Global Alignment,,76.4292,3.071785,70,0.1674974848497526
COLMAP,70,colmapcams,bothpcd,Local Alignment,Fallback Cams,76.4292,3.071785,70,-0.09412663830341331
COLMAP,70,colmapcams,bothpcd,Local Alignment,,76.4292,3.071785,70,-0.08423894167411161
COLMAP,70,,,,,0.1844,0.010395,70,0.8121771208210917
COLMAP,80,colmapcams,bothpcd,Global Alignment,Fallback Cams,13.712,0.865246,80,0.08472134038331527
COLMAP,80,colmapcams,bothpcd,Global Alignment,,13.712,0.865246,80,0.08403220271196672
COLMAP,80,colmapcams,bothpcd,Local Alignment,Fallback Cams,13.712,0.865246,80,0.08634975988265373
COLMAP,80,colmapcams,bothpcd,Local Alignment,,13.712,0.865246,80,0.08633385810703334
COLMAP,80,,,,,14.3444,0.883651,80,0.05883670713004544
COLMAP,87,,,,,12.9097,0.789921,87,0.1841184926776626
VGGT,10,,,,,2.5925,0.160213,10,0.2901307586883089
VGGT,20,,,,,2.2981,0.141203,20,0.32443680621494786
VGGT,30,,,,,2.2345,0.136023,30,0.3388991108027428
VGGT,40,,,,,1.3219,0.069077,40,0.39165789853294913
VGGT,50,,,,,0.8706,0.041593,50,0.44926355278592667
VGGT,60,,,,,0.6267,0.028956,60,0.5215905155548419
VGGT,70,,,,,0.4264,0.02124,70,0.6378775678957491
VGGT,80,,,,,0.3472,0.018759,80,0.6855663393440766
VGGT,87,colmapcams,bothpcd,Global Alignment,Fallback Cams,12.7941,0.784629,87,
VGGT,87,colmapcams,bothpcd,Global Alignment,,12.7941,0.784629,87,
VGGT,87,colmapcams,bothpcd,Local Alignment,Fallback Cams,12.7941,0.784629,87,
VGGT,87,colmapcams,bothpcd,Local Alignment,,12.7941,0.784629,87,
VGGT,87,,,,,0.3306,0.018825,87,0.6992689660321278
