Choice,Num Points,Sampling Mode,RRE ↓ ↓,RTE ↓ ↓,Aligned Cameras ↑ ↑,Composite Quality ↑ ↑
COLMAP,1000,random,0.1067,0.017644,100.0,0.3867090914139429
VGGT,1000,random,0.857,0.067143,100.0,0.012488054175745647
COLMAP,5000,random,0.1067,0.017644,100.0,0.40876388294190225
VGGT,5000,random,0.857,0.067143,100.0,0.09128337347174409
COLMAP,10000,random,0.1067,0.017644,100.0,0.4278906816937383
VGGT,10000,random,0.857,0.067143,100.0,0.11544723259775269
COLMAP,50000,random,0.1067,0.017644,100.0,0.4577996530573115
VGGT,50000,random,0.857,0.067143,100.0,0.15509765604395925
COLMAP,100000,random,0.1067,0.017644,100.0,0.4629654758854916
VGGT,100000,random,0.857,0.067143,100.0,0.16508122017973817
COLMAP,250000,random,0.1067,0.017644,100.0,0.4614671905022151
VGGT,250000,random,0.857,0.067143,100.0,0.16024718337279004
