choice,dataset,num_points,sampling_mode,pcd_src,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bicycle,1000,confidence,Both Pcds,0.10746901482343674,0.0025237789377570152,22.28526496887207,0.3328595757484436,0.5697954297065735,0.4468676682181603
COLMAP,bicycle,1000,confidence,VGGT Pcd,0.40531840920448303,0.0053417859598994255,18.31920623779297,0.6099112033843994,0.3212246596813202,0.057039589522487555
COLMAP,bicycle,5000,confidence,Both Pcds,0.10823880136013031,0.0024945680052042007,22.217044830322266,0.3153914213180542,0.5676057934761047,0.45510665467220757
COLMAP,bicycle,5000,confidence,VGGT Pcd,0.17798666656017303,0.0033494560047984123,20.654054641723633,0.42889636754989624,0.4594758450984955,0.2928637223556647
COLMAP,bicycle,10000,confidence,Both Pcds,0.10681691765785217,0.0024781825486570597,22.29121971130371,0.30420100688934326,0.5730538964271545,0.4665739519244436
COLMAP,bicycle,10000,confidence,VGGT Pcd,0.15329551696777344,0.0033599701710045338,21.195453643798828,0.38418784737586975,0.5085678696632385,0.3591962680559487
COLMAP,bicycle,17352,,,0.1106053814291954,0.002470657927915454,22.163246154785156,0.3494715690612793,0.5586552619934082,0.42783902572919363
COLMAP,bicycle,50000,confidence,Both Pcds,0.10339613258838654,0.0023474276531487703,22.225372314453125,0.26828786730766296,0.5713846683502197,0.48654700359638214
COLMAP,bicycle,50000,confidence,VGGT Pcd,0.11410322785377502,0.002860829932615161,21.661645889282227,0.3192509114742279,0.5421454906463623,0.42755002178411505
COLMAP,bicycle,100000,confidence,Both Pcds,0.10074357688426971,0.002315578516572714,22.227602005004883,0.25709494948387146,0.5663310885429382,0.4905421928665404
COLMAP,bicycle,100000,confidence,VGGT Pcd,0.1078501045703888,0.0028176670894026756,21.79796028137207,0.3021373748779297,0.5407339930534363,0.43981283666872223
COLMAP,bicycle,250000,confidence,Both Pcds,0.09919433295726776,0.0023070694878697395,22.058500289916992,0.252429336309433,0.555836021900177,0.4841532218835817
COLMAP,bicycle,250000,confidence,VGGT Pcd,0.10795102268457413,0.0027313122991472483,21.464765548706055,0.29661449790000916,0.5137274861335754,0.42125846826077434
VGGT,bicycle,1000,confidence,,0.7210006713867188,0.014401926659047604,17.5006103515625,0.6400820016860962,0.3132718503475189,0.01860569118291555
VGGT,bicycle,5000,confidence,,0.5853559970855713,0.012691893614828587,17.931608200073242,0.4821092486381531,0.31249263882637024,0.12364549866119248
VGGT,bicycle,10000,confidence,,0.5863234996795654,0.01282940711826086,18.21483039855957,0.4406379461288452,0.31021398305892944,0.15315737640648558
VGGT,bicycle,50000,confidence,,0.5596863627433777,0.013092707842588425,17.718881607055664,0.3880070745944977,0.28844526410102844,0.16373108682731596
VGGT,bicycle,100000,confidence,,0.7272999286651611,0.013411002233624458,17.05126953125,0.3936842381954193,0.2693771719932556,0.13671254720526754
VGGT,bicycle,250000,confidence,,0.547363817691803,0.013498630374670029,17.63153648376465,0.37095946073532104,0.2757703959941864,0.16522459940448686
COLMAP,bonsai,1000,confidence,Both Pcds,0.0994265004992485,0.0010706778848543763,24.82090950012207,0.1732361614704132,0.7785764336585999,0.7144511745609657
COLMAP,bonsai,1000,confidence,VGGT Pcd,0.3745889663696289,0.005699922330677509,20.830528259277344,0.39593827724456787,0.660419762134552,0.43398731509302246
COLMAP,bonsai,5000,confidence,Both Pcds,0.10126945376396179,0.0010444767540320754,24.535621643066406,0.1736452430486679,0.7678382992744446,0.7026359358532541
COLMAP,bonsai,5000,confidence,VGGT Pcd,0.2649555504322052,0.00418486725538969,21.722240447998047,0.2881317138671875,0.6720337867736816,0.5238395923914422
COLMAP,bonsai,10000,confidence,Both Pcds,0.10091706365346909,0.00101753743365407,24.510095596313477,0.17414343357086182,0.7664178013801575,0.7010250057470806
COLMAP,bonsai,10000,confidence,VGGT Pcd,0.20590569078922272,0.0032109140884131193,22.033466339111328,0.26412051916122437,0.679466724395752,0.5487715070940133
COLMAP,bonsai,50000,confidence,Both Pcds,0.09828557819128036,0.0010616469662636518,24.83086395263672,0.17048785090446472,0.7818436622619629,0.7182426642798385
COLMAP,bonsai,50000,confidence,VGGT Pcd,0.18845999240875244,0.00250469078309834,22.492952346801758,0.23407310247421265,0.6904928088188171,0.5822762979014187
COLMAP,bonsai,80892,,,0.09680686891078949,0.0010529047576710582,24.653011322021484,0.17453931272029877,0.7761514782905579,0.7091194321343928
COLMAP,bonsai,100000,confidence,Both Pcds,0.09638803452253342,0.0011855873744934797,25.20047378540039,0.1691034883260727,0.7971417307853699,0.7348880745165528
COLMAP,bonsai,100000,confidence,VGGT Pcd,0.17634589970111847,0.002376160817220807,22.52419662475586,0.22877410054206848,0.6952694058418274,0.5889192160807157
COLMAP,bonsai,250000,confidence,Both Pcds,0.09041032940149307,0.0013146160636097193,25.684492111206055,0.16772276163101196,0.8165251612663269,0.7560390167378852
COLMAP,bonsai,250000,confidence,VGGT Pcd,0.17835624516010284,0.002524083945900202,22.52239990234375,0.22801363468170166,0.6960955858230591,0.5898385130019062
VGGT,bonsai,1000,confidence,,0.7821407914161682,0.01487799547612667,17.229442596435547,0.5041226744651794,0.5875248312950134,0.2578914369213806
VGGT,bonsai,5000,confidence,,0.7283675670623779,0.016184480860829353,17.582796096801758,0.4163553714752197,0.5781157612800598,0.31310998766045817
VGGT,bonsai,10000,confidence,,0.7402846813201904,0.017036158591508865,17.556180953979492,0.4018256962299347,0.5730038285255432,0.31859661562246033
VGGT,bonsai,50000,confidence,,0.788819432258606,0.021284667775034904,17.422334671020508,0.4027103781700134,0.5615772604942322,0.30888967726275546
VGGT,bonsai,100000,confidence,,0.7770581245422363,0.021956823766231537,17.407270431518555,0.3998410701751709,0.5593662858009338,0.30908891998226573
VGGT,bonsai,250000,confidence,,0.7504193782806396,0.0229039303958416,17.461898803710938,0.3968178629875183,0.558695912361145,0.3115747025293371
COLMAP,lego,870,confidence,Both Pcds,10.389330863952637,0.11241882294416428,25.04442596435547,0.05368903651833534,0.901475191116333,0.8642555083147576
COLMAP,lego,870,confidence,VGGT Pcd,10.388858795166016,0.11232105642557144,25.13479995727539,0.06754050403833389,0.9003742933273315,0.856735012307037
COLMAP,lego,4350,confidence,Both Pcds,10.390055656433105,0.11241886764764786,25.278766632080078,0.05200645700097084,0.905403733253479,0.8719311727040228
COLMAP,lego,4350,confidence,VGGT Pcd,10.391592979431152,0.11247600615024567,25.280179977416992,0.054649658501148224,0.9049035906791687,0.8700332588639021
COLMAP,lego,8700,confidence,Both Pcds,10.391371726989746,0.11246266961097717,25.368465423583984,0.05142010375857353,0.9064612984657288,0.874572667069951
COLMAP,lego,8700,confidence,VGGT Pcd,10.385763168334961,0.1123952567577362,25.2939453125,0.05215822905302048,0.9059059023857117,0.8724122390857836
COLMAP,lego,10069,,,10.380709648132324,0.11235309392213821,25.237646102905273,0.05288347229361534,0.9056525826454163,0.8707738399186097
COLMAP,lego,43500,confidence,Both Pcds,10.388312339782715,0.11248074471950531,25.112327575683594,0.050839826464653015,0.9030593037605286,0.8681980988629225
COLMAP,lego,43500,confidence,VGGT Pcd,10.391264915466309,0.11245611310005188,25.315303802490234,0.05048687011003494,0.9059162735939026,0.8738455347634508
COLMAP,lego,87000,confidence,Both Pcds,10.389172554016113,0.11250514537096024,25.149423599243164,0.05014980956912041,0.9035831093788147,0.869617317692462
COLMAP,lego,87000,confidence,VGGT Pcd,10.394617080688477,0.11248759925365448,25.25286293029785,0.05039108917117119,0.904667317867279,0.8720179628859175
COLMAP,lego,217500,confidence,Both Pcds,10.393765449523926,0.11255612969398499,25.08860969543457,0.05059674382209778,0.9024502038955688,0.8675527311207955
