method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_points_jitter
combined,169,42,0.0,1690,ba,,,,0,10,farthestpose,169,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,Use BA,,0,gsplat,22.71705436706543,0.2503797709941864,0.6032077670097351,1000000,0.0021834452636539936,0.07881323248147964,,,0.5253166064494147,0.2952145021196996,67369,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000,0.0709,0.006334,100,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_ba_farthestpose_useba_maxba0_sharedcam/eval_results.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_ba_farthestpose_useba_maxba0_sharedcam,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000_val_step14999.json,67369,combined | ba,1478.75
combined,169,42,0.0,16900,ba,,,,0,10,farthestpose,169,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,Use BA,,0,gsplat,22.78563117980957,0.250631183385849,0.61302250623703,1000000,0.002163693541660905,0.07455195486545563,,,0.5321709681750117,0.29265726714770934,67369,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000,0.0709,0.006334,100,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_ba_farthestpose_useba_maxba0_sharedcam/eval_results.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_ba_farthestpose_useba_maxba0_sharedcam,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000_val_step14999.json,67369,combined | ba,14787.5
combined,169,42,0.0,169000,ba,,,,0,10,farthestpose,169,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,Use BA,,0,gsplat,22.820932388305664,0.24908271431922913,0.6179755330085754,1000000,0.0021827234886586666,0.0741514340043068,,,0.5366770462450693,0.29079561114141717,67369,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000,0.0709,0.006334,100,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_ba_farthestpose_useba_maxba0_sharedcam/eval_results.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_ba_farthestpose_useba_maxba0_sharedcam,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_ba_farthestpose_useba_maxba0_sharedcam_i169_gteval_poseopt_steps15000_val_step14999.json,67369,combined | ba,147875.0
combined,169,42,0.0,1690,confidence,,,,0,10,farthestpose,169,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,,gsplat,22.86920166015625,0.25942927598953247,0.6240978240966797,1000000,0.0023296743165701628,0.07665805518627167,,,0.5347644423725855,0.2925676685984179,45051,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000,0.0709,0.006334,100,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_confidence_farthestpose_sharedcam/eval_results.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_confidence_farthestpose_sharedcam,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000_val_step14999.json,45051,combined | confidence,1563.25
combined,169,42,0.0,16900,confidence,,,,0,10,farthestpose,169,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,,gsplat,22.87624168395996,0.2510640025138855,0.6280473470687866,1000000,0.0023362941574305296,0.07718366384506226,,,0.5423682247995942,0.2886999871174333,54051,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000,0.0709,0.006334,100,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_confidence_farthestpose_sharedcam/eval_results.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_confidence_farthestpose_sharedcam,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000_val_step14999.json,54051,combined | confidence,15632.5
combined,169,42,0.0,169000,confidence,,,,0,10,farthestpose,169,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,,gsplat,22.869691848754883,0.23103266954421997,0.6296435594558716,1000000,0.0023304163478314877,0.07524511218070984,,,0.5555454094430081,0.2815887914976026,144051,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000,0.0709,0.006334,100,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_confidence_farthestpose_sharedcam/eval_results.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_confidence_farthestpose_sharedcam,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_confidence_farthestpose_sharedcam_i169_gteval_poseopt_steps15000_val_step14999.json,144051,combined | confidence,156325.0
combined,169,42,0.0,1690,imagefps,,,,0,10,farthestpose,169,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,,gsplat,22.705995559692383,0.26277631521224976,0.6032687425613403,1000000,0.002301947446539998,0.07422458380460739,,,0.5174952841486692,0.2993350958360955,45051,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000,0.0709,0.006334,100,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_imagefps_farthestpose_sharedcam/eval_results.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_imagefps_farthestpose_sharedcam,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000_val_step14999.json,45051,combined | imagefps,1647.75
combined,169,42,0.0,16900,imagefps,,,,0,10,farthestpose,169,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,,gsplat,22.6323184967041,0.25625845789909363,0.6000306010246277,1000000,0.002210416831076145,0.07330077141523361,,,0.518260612783686,0.29804815435881254,54051,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000,0.0709,0.006334,100,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_imagefps_farthestpose_sharedcam/eval_results.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_imagefps_farthestpose_sharedcam,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p16900_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000_val_step14999.json,54051,combined | imagefps,16477.5
combined,169,42,0.0,169000,imagefps,,,,0,10,farthestpose,169,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,,gsplat,22.517385482788086,0.2322348803281784,0.5913876295089722,1000000,0.002183835254982114,0.07208892703056335,,,0.5259072232006277,0.29235459198443325,144051,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000,0.0709,0.006334,100,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_imagefps_farthestpose_sharedcam/eval_results.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_imagefps_farthestpose_sharedcam,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p169000_imagefps_farthestpose_sharedcam_i169_gteval_poseopt_steps15000_val_step14999.json,144051,combined | imagefps,164775.0
combined,169,42,0.0,1690,random,,,,0,10,farthestpose,169,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,,gsplat,22.777990341186523,0.26108428835868835,0.610482931137085,1000000,0.0023296589497476816,0.07596058398485184,,,0.5240918055922277,0.29682401765268646,45051,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_random_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_random_farthestpose_sharedcam_i169_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_random_farthestpose_sharedcam_i169_gteval_poseopt_steps15000,0.0709,0.006334,100,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_random_farthestpose_sharedcam/eval_results.json,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_random_farthestpose_sharedcam,bicycle_4_n169_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p1690_random_farthestpose_sharedcam_i169_gteval_poseopt_steps15000_val_step14999.json,45051,combined | random,1732.2499999999998
