choice,dataset_collection,camera_src,pcd_src,sampling_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,indoor,COLMAP Cams,Both Pcds,confidence,0.06888560143609841,0.0007877774575414757,24.11595916748047,0.16323035955429077,0.7288965185483297,0.678520377771354
COLMAP,indoor,COLMAP Cams,VGGT Pcd,confidence,0.09720820188522339,0.001222063961904496,22.96001688639323,0.19848201672236124,0.7055058479309082,0.6216750022831586
COLMAP,indoor,,,,0.07197215780615807,0.0007390545797534287,23.825786590576172,0.1683450440565745,0.7078664700190226,0.657691324882908
VGGT,indoor,,,confidence,0.4174390931924184,0.011186495733757814,19.46871821085612,0.2808534950017929,0.5437469085057577,0.4115788605671722
COLMAP,outdoor,COLMAP Cams,Both Pcds,confidence,0.059871623292565346,0.001268314760333548,23.44161097208659,0.256309707959493,0.6074936787287394,0.5375802475625827
COLMAP,outdoor,COLMAP Cams,VGGT Pcd,confidence,0.12166256954272588,0.0024575639011648795,22.70549710591634,0.31089718143145245,0.5735406478246053,0.47039696439303486
COLMAP,outdoor,,,,0.06447636460264523,0.0013713106357802947,23.042020161946613,0.3178586761156718,0.5890687306722006,0.4814124041004359
VGGT,outdoor,,,confidence,0.5236749053001404,0.017668867483735085,18.432100296020508,0.42589524388313293,0.3493846853574117,0.189188169960545
COLMAP,synthetic,COLMAP Cams,Both Pcds,confidence,3.564432722826799,0.039318425580859184,23.26476542154948,0.0891419065495332,0.846393088499705,0.7772025880063924
COLMAP,synthetic,COLMAP Cams,VGGT Pcd,confidence,3.5650558744867644,0.03931004026283821,23.331350962320965,0.08939288929104805,0.8474564949671427,0.7789026010851723
COLMAP,synthetic,,,,3.5510158017277718,0.040107661935811244,22.964616139729817,0.09737447649240494,0.8436449964841207,0.7649553633204832
VGGT,synthetic,,,confidence,0.2485407143831253,0.005857481465985377,21.36053975423177,0.09656932950019836,0.7968130310376486,0.7083601350905138
