method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,gsplat_cfg_file_path,used_cache,cache_load_time,plot_series
combined,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat_cfg,,indoor,25.39617156982422,0.13465535640716553,0.788544774055481,1000000,0.0010190802859142423,0.0797601193189621,,,0.7547489264477686,0.19912818045268948,166763,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/config.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.0595,0.002889,100,1.016141,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,,166763,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/config.json,,,combined | COLMAP Cams | Both Pcds | confidence
combined,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,COLMAP Cams,VGGT Pcd,Global Alignment,,Shared Cam,,,,,,gsplat_cfg,,indoor,23.40567398071289,0.18802410364151,0.7119700908660889,1000000,0.0016368268989026546,0.1429203450679779,,,0.6401636723654079,0.24309106590907792,100000,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/config.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.0595,0.002889,100,1.016141,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,,100000,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/config.json,,,combined | COLMAP Cams | VGGT Pcd | confidence
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat_cfg,,indoor,18.248064041137695,0.33832642436027527,0.5832527279853821,1000000,0.01943030394613743,0.6938503980636597,,,0.3765998552417197,0.3329517033917719,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/config.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000,0.7308,0.098078,100,7.817163,,,,2.384185791015625e-07,0,0,3.221172571182251,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000,,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/config.json,True,0.7660601139068604,vggt |  |  | confidence
colmap,100,42,,66763,,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,25.54378890991211,0.14396746456623077,0.7954827547073364,1000000,0.001035260153003037,0.0776166319847107,,,0.7557916646076535,0.1996644674877759,66763,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.0595,0.002889,100,1.016141,,,,187.39341807365417,7726,7726,0.0,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_minfarthestpose_sharedcam,bonsai_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,66763,,,,colmap |  |  | 
combined,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,,indoor,22.612037658691406,0.12492873519659042,0.5724918842315674,1000000,0.0008649858646094799,0.07397471368312836,,,0.5828482590281707,0.2614166602609856,170681,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1013,0.003655,100,1.017479,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam/eval_results.json,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,170681,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/config.json,,,combined | COLMAP Cams | Both Pcds | confidence
combined,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,COLMAP Cams,VGGT Pcd,Global Alignment,,Shared Cam,,,,,,gsplat,,indoor,21.97003746032715,0.16659487783908844,0.6032410860061646,1000000,0.0008774031884968281,0.06711013615131378,,,0.5632215146703949,0.26761204979456765,100000,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1013,0.003655,100,1.017479,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam/eval_results.json,kitchen_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam,kitchen_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,100000,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/config.json,,,combined | COLMAP Cams | VGGT Pcd | confidence
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,vggt,kitchen,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,21.09030532836914,0.18208658695220947,0.5569835305213928,1000000,0.0046828752383589745,0.1603059023618698,,,0.5103161934523555,0.285153743098143,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000,0.2827,0.025851,100,4.144792,,,,0.0,0,0,3.2319090366363525,/home/ojab2/work/git/vggt/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000_val_step14999.json,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/config.json,True,0.72882080078125,vggt |  |  | confidence
colmap,100,42,,70681,,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,22.442726135253906,0.12718938291072845,0.5514160990715027,1000000,0.0008918195962905884,0.08556358516216278,,,0.5659923783326164,0.2675505037913011,70681,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1013,0.003655,100,1.017479,,,,127.14479780197144,10130,10130,0.0,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,kitchen_2_n100_s42_default_minfarthestpose_sharedcam,kitchen_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,70681,,,,colmap |  |  | 
combined,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat_cfg,,indoor,27.870466232299805,0.1494976133108139,0.8943262100219727,1000000,0.00020236543787177652,0.0145331509411335,,,0.8532677998668269,0.1587351809307158,141914,/home/ojab2/work/git/gsplat/results/combined_outputs/counter_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/config.json,/home/ojab2/work/git/gsplat/results/combined_outputs/counter_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,counter_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.0156,0.000691,100,0.993642,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/counter_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam/eval_results.json,counter_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,,141914,/home/ojab2/work/git/gsplat/results/combined_outputs/counter_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/config.json,,,combined | COLMAP Cams | Both Pcds | confidence
combined,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,COLMAP Cams,VGGT Pcd,Global Alignment,,Shared Cam,,,,,,gsplat_cfg,,indoor,27.493589401245117,0.16041651368141174,0.8902921676635742,1000000,0.0002309134288225323,0.016959624364972115,,,0.8371894482361022,0.16447304892909576,100000,/home/ojab2/work/git/gsplat/results/combined_outputs/counter_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/config.json,/home/ojab2/work/git/gsplat/results/combined_outputs/counter_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,counter_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.0156,0.000691,100,0.993642,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/counter_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam/eval_results.json,counter_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,,100000,/home/ojab2/work/git/gsplat/results/combined_outputs/counter_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/config.json,,,combined | COLMAP Cams | VGGT Pcd | confidence
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat_cfg,,indoor,20.925552368164062,0.22578011453151703,0.6313325762748718,1000000,0.006061864551156759,0.24919423460960388,,,0.5237728735120982,0.2803468766808037,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/config.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000,0.3873,0.030482,100,4.485239,,,,0.0,0,0,3.2635350227355957,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000,,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/config.json,True,0.8075981140136719,vggt |  |  | confidence
