choice,dataset,camera_src,pcd_src,sampling_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bonsai,COLMAP Cams,Both Pcds,confidence,0.09638803452253342,0.0011855873744934797,25.20047378540039,0.1691034883260727,0.7971417307853699,0.7348880745165528
COLMAP,bonsai,COLMAP Cams,VGGT Pcd,confidence,0.17634589970111847,0.002376160817220807,22.52419662475586,0.22877410054206848,0.6952694058418274,0.5889192160807157
COLMAP,bonsai,,,,0.09680686891078949,0.0010529047576710582,24.653011322021484,0.17453931272029877,0.7761514782905579,0.7091194321343928
VGGT,bonsai,,,confidence,0.7770581245422363,0.021956823766231537,17.407270431518555,0.3998410701751709,0.5593662858009338,0.30908891998226573
COLMAP,kitchen,COLMAP Cams,Both Pcds,confidence,0.08178713172674179,0.0008952112984843552,22.16900062561035,0.1359124332666397,0.5457472801208496,0.5522236896266094
COLMAP,kitchen,COLMAP Cams,VGGT Pcd,confidence,0.07714039087295532,0.0009020167635753751,21.75140953063965,0.16803665459156036,0.5859130024909973,0.548149481483525
COLMAP,kitchen,,,,0.09359873086214066,0.0009081275202333927,21.59664535522461,0.14201965928077698,0.49743717908859253,0.5096031042799847
VGGT,kitchen,,,confidence,0.22247520089149475,0.005346193909645081,20.04349136352539,0.19931328296661377,0.4245116114616394,0.4028280281726225
COLMAP,counter,COLMAP Cams,Both Pcds,confidence,0.028481638059020042,0.00028253369964659214,24.978403091430664,0.1846751570701599,0.8438005447387695,0.7484493691708997
COLMAP,counter,COLMAP Cams,VGGT Pcd,confidence,0.038138315081596375,0.0003880143049173057,24.60444450378418,0.1986352950334549,0.8353351354598999,0.727956309285235
COLMAP,counter,,,,0.025510873645544052,0.0002561314613558352,25.227703094482422,0.18847616016864777,0.8500107526779175,0.7543514382343466
VGGT,counter,,,confidence,0.25278395414352417,0.006256469525396824,20.955392837524414,0.24340613186359406,0.6473628282546997,0.5228196335466284
