choice,dataset,camera_src,pcd_src,sampling_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bicycle,COLMAP Cams,Both Pcds,confidence,0.10160551220178604,0.002320894505828619,22.175365447998047,0.25710925459861755,0.563628077507019,0.4879853106923813
COLMAP,bicycle,COLMAP Cams,COLMAP Pcd,SfM,0.1106053814291954,0.002470657927915454,22.163246154785156,0.3494715690612793,0.5586552619934082,0.42783902572919363
COLMAP,bicycle,COLMAP Cams,VGGT Pcd,confidence,0.1078501045703888,0.0028176670894026756,21.79796028137207,0.3021373748779297,0.5407339930534363,0.43981283666872223
VGGT,bicycle,VGGT Cams,VGGT Pcd,confidence,0.5662876963615417,0.013141747564077377,17.474592208862305,0.37867602705955505,0.2788749039173126,0.1593704131069394
COLMAP,garden,COLMAP Cams,Both Pcds,confidence,0.05069055035710335,0.0005741074564866722,22.130218505859375,0.24657723307609558,0.5141083002090454,0.4646915699693582
COLMAP,garden,COLMAP Cams,COLMAP Pcd,SfM,0.04868227615952492,0.0005747699178755283,22.12991714477539,0.2636813521385193,0.5120896697044373,0.45294740534665295
COLMAP,garden,COLMAP Cams,VGGT Pcd,confidence,0.053986452519893646,0.0005805426626466215,21.21573829650879,0.32344773411750793,0.4667033553123474,0.37258363471083866
VGGT,garden,VGGT Cams,VGGT Pcd,confidence,0.13780391216278076,0.004173023626208305,19.474353790283203,0.38323974609375,0.36665821075439453,0.2449211916263573
COLMAP,stump,COLMAP Cams,Both Pcds,confidence,0.027318807318806648,0.0009099423186853528,26.019248962402344,0.26524263620376587,0.7447446584701538,0.6600638620260089
COLMAP,stump,COLMAP Cams,COLMAP Pcd,SfM,0.03414143621921539,0.001068504061549902,24.832897186279297,0.3404231071472168,0.6964612603187561,0.563450781225461
COLMAP,stump,COLMAP Cams,VGGT Pcd,confidence,0.2031511515378952,0.003974481951445341,25.102792739868164,0.3071064352989197,0.7131845951080322,0.5987944217995438
VGGT,stump,VGGT Cams,VGGT Pcd,confidence,0.8669331073760986,0.03569183126091957,18.347354888916016,0.5157699584960938,0.40262094140052795,0.16327290514833825
