choice,dataset,camera_src,pcd_src,sampling_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bonsai,,,,0.09680686891078949,0.0010529047576710582,24.653011322021484,0.17453931272029877,0.7761514782905579,0.7091194321343928
VGGT,bonsai,COLMAP,Both,random,,,,,,
VGGT,bonsai,COLMAP,VGGT,random,,,,,,
VGGT,bonsai,,,confidence,,,,,,
VGGT,bonsai,,,random,0.7885617017745972,0.021631203591823578,17.422657012939453,0.3988327085971832,0.5597713589668274,0.3102331869860916
VGGT,bonsai,,,voxels,0.7836700677871704,0.022466693073511124,17.39032745361328,0.4035985469818115,0.5606101751327515,0.30718315166649374
COLMAP,kitchen,,,,0.09359873086214066,0.0009081275202333927,21.59664535522461,0.14201965928077698,0.49743717908859253,0.5096031042799847
VGGT,kitchen,,,confidence,,,,,,
VGGT,kitchen,,,random,0.235776886343956,0.005308283492922783,20.017711639404297,0.17643724381923676,0.4138493239879608,0.41023638186089173
VGGT,kitchen,,,voxels,,,,,,
COLMAP,counter,,,,0.025510873645544052,0.0002561314613558352,25.227703094482422,0.18847616016864777,0.8500107526779175,0.7543514382343466
VGGT,counter,,,confidence,,,,,,
VGGT,counter,,,random,0.25385963916778564,0.006176562514156103,20.807443618774414,0.23748624324798584,0.6405438780784607,0.5197463952697198
VGGT,counter,,,voxels,,,,,,
