choice,dataset,camera_src,pcd_src,sampling_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bicycle,COLMAP,Both,confidence,0.10074357688426971,0.002315578516572714,22.227602005004883,0.25709494948387146,0.5663310885429382,0.4905421928665404
COLMAP,bicycle,COLMAP,Both,random,0.09525962173938751,0.0022379732690751553,21.907724380493164,0.24226100742816925,0.542457640171051,0.4798142065894999
COLMAP,bicycle,COLMAP,Both,voxels,0.09226328879594803,0.0021598602179437876,21.884368896484375,0.2773078680038452,0.5323728919029236,0.45185031946639564
COLMAP,bicycle,COLMAP,VGGT,random,0.0940999984741211,0.0026499999221414328,22.363393783569336,0.25172755122184753,0.5922375917434692,0.5115200661079228
COLMAP,bicycle,,,,0.1106053814291954,0.002470657927915454,22.163246154785156,0.3494715690612793,0.5586552619934082,0.42783902572919363
VGGT,bicycle,,,confidence,0.7272999286651611,0.013411002233624458,17.05126953125,0.3936842381954193,0.2693771719932556,0.13671254720526754
VGGT,bicycle,,,random,0.4889967441558838,0.013628819026052952,17.384122848510742,0.337806761264801,0.26788055896759033,0.17649355493945842
VGGT,bicycle,,,voxels,0.4734974205493927,0.01320565864443779,17.940832138061523,0.3630050718784332,0.285719096660614,0.1816803668907047
COLMAP,garden,,,,0.04868227615952492,0.0005747699178755283,22.12991714477539,0.2636813521385193,0.5120896697044373,0.45294740534665295
VGGT,garden,,,confidence,,,,,,
VGGT,garden,,,random,0.13491961359977722,0.004315244033932686,19.350812911987305,0.33780568838119507,0.3663502633571625,0.2704990260240085
VGGT,garden,,,voxels,,,,,,
COLMAP,stump,,,,0.03414143621921539,0.001068504061549902,24.832897186279297,0.3404231071472168,0.6964612603187561,0.563450781225461
VGGT,stump,,,confidence,,,,,,
VGGT,stump,,,random,0.7774907946586609,0.03541010245680809,18.294498443603516,0.4924980700016022,0.39796870946884155,0.17393884188637787
VGGT,stump,,,voxels,,,,,,
