method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,plot_series,num_images_jitter
colmap,10,42,,122,,farthestpose,10,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,8.872466087341309,0.8363047242164612,0.2726007103919983,127314,,,-0.28608418789058626,122,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n10_s42_default_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,bonsai_2_n10_s42_default_farthestpose_i10_gteval_steps15000,14.2489,0.037351,colmap | default,10.0
colmap,10,42,,3132,,farthestpose,10,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,relaxed,MCMC,gsplat,11.554558753967285,0.7358831763267517,0.3639586567878723,1000000,0.06190400570631027,6.886600494384766,-0.12100149572011783,3132,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n10_s42_relaxed_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,bonsai_2_n10_s42_relaxed_farthestpose_i10_gteval_steps15000,6.8866,0.20486,colmap | relaxed,10.0
colmap,20,42,,2441,,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,11.907597541809082,0.6418958902359009,0.3517458140850067,1000000,,,-0.06358891040028643,2441,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n20_s42_default_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,bonsai_2_n20_s42_default_farthestpose_i20_gteval_steps15000,1.218,0.030791,colmap | default,20.0
colmap,20,42,,10177,,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,relaxed,MCMC,gsplat,11.017362594604492,0.8353659510612488,0.35486945509910583,1000000,0.9125620126724243,59.38800048828125,-0.197674015576844,10177,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n20_s42_relaxed_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,bonsai_2_n20_s42_relaxed_farthestpose_i20_gteval_steps15000,59.388,3.272325,colmap | relaxed,20.0
colmap,30,42,,6185,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,11.095721244812012,0.7624769806861877,0.3720586895942688,1000000,,,-0.14117755395704612,6185,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s42_default_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bonsai_2_n30_s42_default_farthestpose_i30_gteval_steps15000,12.2005,0.72579,colmap | default,30.0
colmap,30,42,,28620,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,relaxed,MCMC,gsplat,11.01742172241211,0.8056495189666748,0.39686188101768494,1000000,0.6129570007324219,22.854598999023438,-0.15477246979446352,28620,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n30_s42_relaxed_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bonsai_2_n30_s42_relaxed_farthestpose_i30_gteval_steps15000,22.8546,2.401994,colmap | relaxed,30.0
colmap,40,42,,19178,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,13.950407028198242,0.6090746521949768,0.4684901535511017,1000000,,,0.06277246193269237,19178,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s42_default_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bonsai_2_n40_s42_default_farthestpose_i40_gteval_steps15000,4.181,0.493855,colmap | default,40.0
colmap,40,42,,62356,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,relaxed,MCMC,gsplat,10.285603523254395,0.8859884142875671,0.356554239988327,1000000,0.9392290115356445,95.2362060546875,-0.2414882892598727,62356,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s42_relaxed_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bonsai_2_n40_s42_relaxed_farthestpose_i40_gteval_steps15000,95.2362,4.059286,colmap | relaxed,40.0
colmap,50,42,,36535,,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.347726821899414,0.3547690808773041,0.5755265951156616,1000000,,,0.3637774679628265,36535,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s42_default_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_default_farthestpose_i50_gteval_steps15000,0.5257,0.081737,colmap | default,50.0
colmap,50,42,,81202,,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,relaxed,MCMC,gsplat,17.164365768432617,0.4083399474620819,0.5488628149032593,1000000,0.03421800211071968,0.9098000526428223,0.29320208429128336,81202,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s42_relaxed_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_relaxed_farthestpose_i50_gteval_steps15000,0.9098,0.153019,colmap | relaxed,50.0
colmap,60,42,,47649,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.323095321655273,0.34385454654693604,0.5799478888511658,1000000,,,0.3726442478321217,47649,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n60_s42_default_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,bonsai_2_n60_s42_default_farthestpose_i60_gteval_steps15000,0.4776,0.067621,colmap | default,60.0
colmap,60,42,,91871,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,relaxed,MCMC,gsplat,12.325819969177246,0.7188488245010376,0.38064977526664734,1000000,0.2680540084838867,14.213101387023926,-0.08644296063317183,91871,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n60_s42_relaxed_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,bonsai_2_n60_s42_relaxed_farthestpose_i60_gteval_steps15000,14.2131,1.261283,colmap | relaxed,60.0
colmap,70,42,,57052,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.19729232788086,0.3510153591632843,0.5703105330467224,1000000,,,0.36025842747338177,57052,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n70_s42_default_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,bonsai_2_n70_s42_default_farthestpose_i70_gteval_steps15000,0.5947,0.077723,colmap | default,70.0
colmap,70,42,,112006,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,relaxed,MCMC,gsplat,18.195554733276367,0.3378424644470215,0.5745882391929626,1000000,0.011234000325202942,0.5673999786376953,0.370859248828702,112006,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n70_s42_relaxed_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,bonsai_2_n70_s42_relaxed_farthestpose_i70_gteval_steps15000,0.5674,0.049535,colmap | relaxed,70.0
colmap,80,42,,65029,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.076444625854492,0.3599914312362671,0.5719637870788574,1000000,,,0.3534465370587206,65029,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n80_s42_default_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,bonsai_2_n80_s42_default_farthestpose_i80_gteval_steps15000,0.6256,0.087851,colmap | default,80.0
colmap,80,42,,124061,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,relaxed,MCMC,gsplat,17.85088348388672,0.3604098856449127,0.5661534667015076,1000000,0.01845499873161316,0.7177000045776367,0.3456133255097214,124061,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n80_s42_relaxed_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,bonsai_2_n80_s42_relaxed_farthestpose_i80_gteval_steps15000,0.7177,0.082263,colmap | relaxed,80.0
