choice,num_images,splatting_strategy,rre,rte,psnr,lpips,ssim,num_GS
VGGT,10,Default,1.569,0.141985,12.962343215942383,0.6077470183372498,0.15941156446933746,3441509
VGGT,10,MCMC,1.569,0.141985,13.667380332946777,0.6051518321037292,0.17540910840034485,1000000
VGGT,20,Default,1.3446,0.119326,14.942588806152344,0.5509588718414307,0.20480452477931976,4255620
VGGT,20,MCMC,1.3446,0.119326,15.348417282104492,0.5425384640693665,0.21487757563591003,1000000
VGGT,30,Default,0.9795,0.090795,15.69647216796875,0.5448185801506042,0.2255057543516159,4781639
VGGT,30,MCMC,0.9795,0.090795,15.931918144226074,0.5182397365570068,0.22469671070575714,1000000
VGGT,40,Default,0.8856,0.086546,16.14591407775879,0.5447712540626526,0.2411091923713684,4920378
VGGT,40,MCMC,0.8856,0.086546,16.378982543945312,0.5115588903427124,0.237630233168602,1000000
VGGT,50,Default,0.9199,0.086453,16.65947723388672,0.552075207233429,0.25568512082099915,4754681
VGGT,50,MCMC,0.9199,0.086453,16.75465202331543,0.4973156154155731,0.24442508816719055,1000000
VGGT,60,Default,0.8369,0.071063,16.801389694213867,0.5439756512641907,0.26272067427635193,4649649
VGGT,60,MCMC,0.8369,0.071063,16.862531661987305,0.48669061064720154,0.25064411759376526,1000000
VGGT,70,Default,0.9155,0.07769,16.904678344726562,0.5489957332611084,0.2663138806819916,4546283
VGGT,70,MCMC,0.9155,0.07769,16.925048828125,0.49140915274620056,0.254442036151886,1000000
VGGT,80,Default,0.873,0.073069,17.115934371948242,0.5449864864349365,0.2735174298286438,4419242
VGGT,80,MCMC,0.873,0.073069,17.10127067565918,0.4840233027935028,0.26105615496635437,1000000
VGGT,90,Default,0.8907,0.071127,17.13808822631836,0.5482982993125916,0.27790367603302,4201626
VGGT,90,MCMC,0.8907,0.071127,17.14659881591797,0.4818718731403351,0.26362621784210205,1000000
VGGT,100,Default,0.857,0.067143,17.39750862121582,0.5670915246009827,0.28935492038726807,3564663
VGGT,100,MCMC,0.857,0.067143,17.303186416625977,0.48491042852401733,0.27097687125205994,1000000
