Choice,Num Images,Splatting Strategy,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Final Gaussian Count ↓
VGGT,10,Default,1.2025,0.110639,13.9813814163208,0.576675295829773,0.4162091612815857,609719.0
VGGT,10,MCMC,1.2025,0.110639,14.447961807250977,0.5479719042778015,0.43752041459083557,1000000.0
VGGT,20,Default,0.8645,0.10407,15.605889320373535,0.5032763481140137,0.4873046875,1070317.0
VGGT,20,MCMC,0.8645,0.10407,16.046724319458008,0.47933661937713623,0.5015428066253662,1000000.0
VGGT,30,Default,0.9727,0.110438,15.824832916259766,0.5027934312820435,0.5003951787948608,1448273.0
VGGT,30,MCMC,0.9727,0.110438,16.09495735168457,0.48240914940834045,0.5073312520980835,1000000.0
VGGT,40,Default,0.8565,0.104349,16.20579719543457,0.48621198534965515,0.5210711359977722,1447429.0
VGGT,40,MCMC,0.8565,0.104349,16.42217254638672,0.46908044815063477,0.5240175127983093,1000000.0
VGGT,50,Default,0.8013,0.103039,16.472379684448242,0.48586130142211914,0.5347355008125305,1463453.0
VGGT,50,MCMC,0.8013,0.103039,16.606491088867188,0.4628184735774994,0.5345847010612488,1000000.0
VGGT,60,Default,0.8024,0.105191,16.621566772460938,0.47871169447898865,0.5429059863090515,1593368.0
VGGT,60,MCMC,0.8024,0.105191,16.7257137298584,0.45854508876800537,0.5448368787765503,1000000.0
VGGT,70,Default,0.9067,0.112128,16.859764099121094,0.47982439398765564,0.5495190024375916,1601843.0
VGGT,70,MCMC,0.9067,0.112128,16.96445655822754,0.4538440406322479,0.55082768201828,1000000.0
VGGT,80,Default,0.8804,0.113074,17.219234466552734,0.4716912508010864,0.5645963549613953,1599288.0
VGGT,80,MCMC,0.8804,0.113074,17.259347915649414,0.44228750467300415,0.5634449124336243,1000000.0
VGGT,90,Default,0.8434,0.110305,17.30160903930664,0.47361427545547485,0.5693572759628296,1635608.0
VGGT,90,MCMC,0.8434,0.110305,17.355134963989258,0.4449962377548218,0.5671852827072144,1000000.0
VGGT,100,Default,0.7897,0.107121,17.499374389648438,0.4715547561645508,0.5764002799987793,1514988.0
VGGT,100,MCMC,0.7897,0.107121,17.5345401763916,0.4374907314777374,0.5742523074150085,1000000.0
