method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series
vggt,100,42,,23318,ba,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,17.028812408447266,0.5352761745452881,0.2820628583431244,1000000,0.010738001205027103,0.8704999685287476,0.05631277474433745,23318,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_steps15000,0.8705,0.046584,100,vggt | pinhole |  | ba
vggt,100,43,,23164,ba,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,17.14032745361328,0.5350357890129089,0.2852866053581238,1000000,0.010680001229047775,0.8487000465393066,0.06041148647695023,23164,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_steps15000,0.8487,0.046357,100,vggt | pinhole |  | ba
vggt,100,42,,23318,ba,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,16.74129867553711,0.48968350887298584,0.2718425989151001,1000000,0.0067910002544522285,0.7391000390052795,0.0731553072430547,23318,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000,0.8705,0.046584,100,vggt | pinhole | Pose Opt | ba
vggt,100,43,,23164,ba,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,16.94777488708496,0.48437097668647766,0.2765214443206787,1000000,0.006864000577479601,0.6967999339103699,0.08299444854995355,23164,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_mpinhole_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000,0.8487,0.046357,100,vggt | pinhole | Pose Opt | ba
vggt,100,42,,23318,ba,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,17.199951171875,0.5485123991966248,0.28757360577583313,1000000,0.011111999861896038,0.791700005531311,0.05453416137744889,23318,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_steps15000,0.7917,0.048267,100,vggt | radial |  | ba
vggt,100,43,,23164,ba,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,17.33929443359375,0.5476865172386169,0.2905394434928894,1000000,0.011028001084923744,0.7610999941825867,0.059358803849471266,23164,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_steps15000,0.7611,0.047949,100,vggt | radial |  | ba
vggt,100,42,,23318,ba,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,17.0190372467041,0.49889102578163147,0.2775486409664154,1000000,0.007075000554323196,0.6416000127792358,0.07595182840044896,23318,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000,0.7917,0.048267,100,vggt | radial | Pose Opt | ba
vggt,100,43,,23164,ba,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,,Shared Cam,,,Use BA,50,gsplat,17.240419387817383,0.49206969141960144,0.2823510766029358,1000000,0.007180999498814344,0.5988999009132385,0.08707063979650187,23164,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_mradial_ba_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000,0.7611,0.047949,100,vggt | radial | Pose Opt | ba
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.31154441833496,0.4846026599407196,0.27133893966674805,1000000,0.015425998717546463,0.8569999933242798,0.08655720252042627,107546,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt |  |  | voxels
vggt,100,43,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.294458389282227,0.4864136278629303,0.27170222997665405,1000000,0.015527000650763512,0.8603999614715576,0.08533536361517113,112120,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000,0.8604,0.06754,100,vggt |  |  | voxels
vggt,100,44,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.28801727294922,0.48047006130218506,0.27036672830581665,1000000,0.015425998717546463,0.8569999933242798,0.0881039568013073,107578,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt |  |  | voxels
colmap,100,42,,16687,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.16598129272461,0.37304171919822693,0.47317782044410706,1000000,0.0021039999555796385,0.10689998418092728,0.3448348745965122,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1069,0.008457,100,colmap |  |  | 
colmap,100,43,,16511,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.266855239868164,0.3772125244140625,0.4722321927547455,1000000,0.001961000030860305,0.10180000215768814,0.34357534088509045,16511,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1018,0.00789,100,colmap |  |  | 
colmap,100,44,,16663,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.374887466430664,0.37176376581192017,0.4811028838157654,1000000,0.0022849999368190765,0.10419999063014984,0.35412690754135057,16663,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1042,0.00919,100,colmap |  |  | 
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.48876953125,0.3744533360004425,0.2683219611644745,1000000,0.013775000348687172,0.7002000212669373,0.1560682439819569,107546,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000,0.857,0.067143,100,vggt |  | Pose Opt | voxels
vggt,100,43,0.0,110000,voxels,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.410348892211914,0.3744347393512726,0.2642180919647217,1000000,0.014132998883724213,0.718000054359436,0.15222756583013652,112120,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000,0.8604,0.06754,100,vggt |  | Pose Opt | voxels
vggt,100,44,0.0,110000,voxels,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.385772705078125,0.37803733348846436,0.26525890827178955,1000000,0.014105000533163548,0.7205000519752502,0.15015729221916568,107578,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000,0.857,0.067143,100,vggt |  | Pose Opt | voxels
colmap,100,42,,16687,,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,22.471338272094727,0.35102325677871704,0.5768165588378906,1000000,0.0024700001813471317,0.09790000319480896,0.44320724481417806,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1069,0.008457,100,colmap |  | Pose Opt | 
colmap,100,43,,16511,,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,22.551279067993164,0.35535064339637756,0.5751231908798218,1000000,0.0024160000029951334,0.09600000083446503,0.44102612995652113,16511,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1018,0.00789,100,colmap |  | Pose Opt | 
colmap,100,44,,16663,,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,22.454687118530273,0.3499717116355896,0.5743020176887512,1000000,0.002487999852746725,0.10130000114440918,0.44207750015866065,16663,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1042,0.00919,100,colmap |  | Pose Opt | 
