Choice,Camera Type,Pose Opt,Eval Opt,Sampling Mode,Num Images,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Final Gaussian Count ↓
VGGT,pinhole,,,ba,100,0.6282,0.034836,18.97408103942871,0.35447147488594055,0.6023039817810059,1000000
VGGT,pinhole,,,ba,100,0.6282,0.034835,19.042280197143555,0.353414386510849,0.6020101308822632,1000000
VGGT,pinhole,,,ba,100,0.6282,0.034835,18.97728157043457,0.35283544659614563,0.6013027429580688,1000000
VGGT,pinhole,Pose Opt,,ba,100,0.6282,0.034836,19.569751739501953,0.3095305860042572,0.6179758906364441,1000000
VGGT,pinhole,Pose Opt,,ba,100,0.6282,0.034835,19.581478118896484,0.30600813031196594,0.6186167597770691,1000000
VGGT,pinhole,Pose Opt,,ba,100,0.6282,0.034835,19.710947036743164,0.30227863788604736,0.6199308037757874,1000000
VGGT,,,,voxels,100,0.7897,0.107121,17.5345401763916,0.4374907314777374,0.5742523074150085,1000000
VGGT,,,,voxels,100,0.7897,0.107121,17.552377700805664,0.43710771203041077,0.5750956535339355,1000000
VGGT,,,,voxels,100,0.7897,0.107121,17.539352416992188,0.4376832842826843,0.5747129917144775,1000000
COLMAP,,,,,100,0.5629,0.063833,18.469179153442383,0.32536494731903076,0.5786079168319702,1000000
COLMAP,,,,,100,0.4864,0.053874,18.83687400817871,0.3060200810432434,0.5905328989028931,1000000
COLMAP,,,,,100,0.4887,0.052377,18.633634567260742,0.31010448932647705,0.5858246088027954,1000000
VGGT,,Pose Opt,,voxels,100,0.7897,0.107121,17.387935638427734,0.40260279178619385,0.5599585771560669,1000000
VGGT,,Pose Opt,,voxels,100,0.7897,0.107121,17.37470245361328,0.4042733311653137,0.5605700612068176,1000000
VGGT,,Pose Opt,,voxels,100,0.7897,0.107121,17.381086349487305,0.40394851565361023,0.5603554248809814,1000000
COLMAP,,Pose Opt,,,100,0.5629,0.063833,19.147842407226562,0.28176411986351013,0.5982948541641235,1000000
COLMAP,,Pose Opt,,,100,0.4864,0.053874,19.410736083984375,0.2674916982650757,0.6074023246765137,1000000
COLMAP,,Pose Opt,,,100,0.4887,0.052377,19.190818786621094,0.27816179394721985,0.6011653542518616,1000000
