choice,camera_type,pose_opt,sampling_mode,rre,rte,psnr,lpips,ssim,num_GS
COLMAP,pinhole,,,12.9097,0.789921,10.16973876953125,0.5301704406738281,0.5224648714065552,1000000
COLMAP,pinhole,Pose Opt,,12.9097,0.789921,11.221860885620117,0.4955378472805023,0.6425514221191406,1000000
COLMAP,,,,13.7802,0.814052,10.700383186340332,0.5189155340194702,0.5321635603904724,1000000
COLMAP,,Pose Opt,,13.7802,0.814052,10.687294006347656,0.5188292860984802,0.53187096118927,1000000
VGGT,pinhole,,ba,0.2686,0.015146,22.317975997924805,0.08522806316614151,0.8213533759117126,1000000
VGGT,pinhole,Pose Opt,ba,0.2686,0.015146,23.536802291870117,0.053199123591184616,0.8556931018829346,1000000
VGGT,radial,,ba,0.2664,0.014903,22.56336784362793,0.09609424322843552,0.8259966969490051,1000000
VGGT,radial,Pose Opt,ba,0.2664,0.014903,24.06446647644043,0.06552044302225113,0.8641827702522278,1000000
VGGT,,,voxels,0.3306,0.018825,20.393997192382812,0.10216377675533295,0.7668149471282959,1000000
VGGT,,Pose Opt,voxels,0.3306,0.018825,20.690345764160156,0.07090169191360474,0.7779577970504761,1000000
