Choice,Num Images,Sampling Mode,Camera Src,Pcd Src,Validation Step RRE ↓,Validation Step RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Composite Quality ↑
COLMAP,30,ba,colmapcams,bothpcd,52.68779754638672,1.143592119216919,12.829646110534668,0.7299111485481262,0.18740421533584595,-0.19695054136986379
COLMAP,30,ba,colmapcams,vggtpcd,52.68779754638672,1.143592119216919,12.730856895446777,0.7254855036735535,0.18153905868530273,-0.1994780078966017
VGGT,30,ba,vggtcams,bothpcd,1.4942001104354858,0.01581300050020218,12.33376693725586,0.6552843451499939,0.13507094979286194,-0.19067180985518284
VGGT,30,ba,vggtcams,colmappcd,1.4942001104354858,0.01581300050020218,11.3491792678833,0.772479772567749,0.1924537569284439,-0.24769057411896545
COLMAP,40,ba,colmapcams,bothpcd,20.915000915527344,1.1568889617919922,13.25619125366211,0.7219575047492981,0.18538504838943481,-0.18532269995579703
COLMAP,40,ba,colmapcams,vggtpcd,20.915000915527344,1.1568889617919922,13.364761352539062,0.7222591042518616,0.19189585745334625,-0.17969082442098339
VGGT,40,ba,vggtcams,bothpcd,0.7889999151229858,0.015452999621629715,13.131498336791992,0.5858792662620544,0.13587689399719238,-0.13258505247102442
VGGT,40,ba,vggtcams,colmappcd,0.7889999151229858,0.015452999621629715,13.7657470703125,0.6695560812950134,0.22196704149246216,-0.1221469450182849
COLMAP,50,ba,colmapcams,bothpcd,31.913999557495117,0.6495300531387329,13.062373161315918,0.7163679599761963,0.17287631332874298,-0.19277663735153608
COLMAP,50,ba,colmapcams,vggtpcd,31.913999557495117,0.6495300531387329,13.023412704467773,0.7176612019538879,0.17030605673789978,-0.19579949883999484
VGGT,50,ba,vggtcams,bothpcd,0.6889999508857727,0.014287998899817467,14.557526588439941,0.52093505859375,0.17067931592464447,-0.04573581128092533
VGGT,50,ba,vggtcams,colmappcd,0.6889999508857727,0.014287998899817467,15.264091491699219,0.6235049366950989,0.24999476969242096,-0.04958270930717164
COLMAP,60,ba,colmapcams,bothpcd,12.727900505065918,0.7315490245819092,13.6015625,0.682054877281189,0.19357886910438538,-0.1495039765907619
COLMAP,60,ba,colmapcams,vggtpcd,12.727900505065918,0.7315490245819092,13.539389610290527,0.6823858022689819,0.1929650902748108,-0.15121853607207472
VGGT,60,ba,vggtcams,bothpcd,0.5567999482154846,0.012748999521136284,14.815425872802734,0.5013481974601746,0.1777539849281311,-0.02473201025144241
VGGT,60,ba,vggtcams,colmappcd,0.5567999482154846,0.012748999521136284,15.4401216506958,0.5991743803024292,0.2463245391845703,-0.03345036320751397
COLMAP,70,ba,colmapcams,bothpcd,32.010902404785156,0.6792899966239929,12.995728492736816,0.7280099987983704,0.17156915366649628,-0.20196166245328512
COLMAP,70,ba,colmapcams,vggtpcd,32.010902404785156,0.6792899966239929,13.037639617919922,0.7280840277671814,0.17252130806446075,-0.2006744119623715
VGGT,70,ba,vggtcams,bothpcd,0.6201000213623047,0.012632999569177628,14.780950546264648,0.5036052465438843,0.17748092114925385,-0.026923368819895432
VGGT,70,ba,vggtcams,colmappcd,0.6201000213623047,0.012632999569177628,15.363953590393066,0.581244170665741,0.24177977442741394,-0.026450609370746503
COLMAP,80,ba,colmapcams,bothpcd,37.029598236083984,0.7417770624160767,13.339539527893066,0.7285958528518677,0.19078201055526733,-0.1847208409126583
COLMAP,80,ba,colmapcams,vggtpcd,37.029598236083984,0.7417770624160767,13.489493370056152,0.7327293157577515,0.197677344083786,-0.18046307943330478
VGGT,80,ba,vggtcams,bothpcd,0.5703999996185303,0.012134999968111515,15.350337028503418,0.4792388081550598,0.1965024173259735,0.009785518621453418
VGGT,80,ba,vggtcams,colmappcd,0.5703999996185303,0.012134999968111515,15.849132537841797,0.5603545308113098,0.2546018660068512,0.002927324537955226
COLMAP,90,ba,colmapcams,bothpcd,0.132999986410141,0.004443000070750713,20.130271911621094,0.2807469069957733,0.4205055236816406,0.3518246648139656
COLMAP,90,ba,colmapcams,vggtpcd,0.132999986410141,0.004443000070750713,19.945444107055664,0.29294300079345703,0.41179847717285156,0.3357816346672311
VGGT,90,ba,vggtcams,bothpcd,0.8906999826431274,0.01613599993288517,17.10480499267578,0.438873291015625,0.2504847049713135,0.0987612412609475
VGGT,90,ba,vggtcams,colmappcd,0.8906999826431274,0.01613599993288517,17.252744674682617,0.5293269753456116,0.28442925214767456,0.06551586977454893
COLMAP,100,ba,colmapcams,bothpcd,0.10489999502897263,0.004348000045865774,20.981658935546875,0.25976696610450745,0.4971108138561249,0.4253400872867552
COLMAP,100,ba,colmapcams,vggtpcd,0.10489999502897263,0.004348000045865774,20.757118225097656,0.27496856451034546,0.48568570613861084,0.4051168737200811
VGGT,100,ba,vggtcams,bothpcd,0.8569999933242798,0.015425998717546463,17.223913192749023,0.4326729476451874,0.2566661536693573,0.10840920340015647
VGGT,100,ba,vggtcams,colmappcd,0.8569999933242798,0.015425998717546463,17.384267807006836,0.5173649191856384,0.2869378328323364,0.07680247486838279
