choice,num_images,align_glue,rre,rte,num_aligned,psnr,ssim,lpips
COLMAP,20,Align Glued,,,,9.333880424499512,0.007177155930548906,0.9716436266899109
COLMAP,20,,,,,9.340230464935303,0.010971072129905224,0.9799579977989197
COLMAP,30,Align Glued,0.5918,0.009894,8,12.86757755279541,0.16152846813201904,0.6692207455635071
COLMAP,30,,0.5918,0.009894,8,12.30378007888794,0.17815778404474258,0.7100343704223633
COLMAP,40,Align Glued,0.9983,0.056167,29,14.193305015563965,0.18446533381938934,0.5800976753234863
COLMAP,40,,0.3116,0.017061,18,13.901960849761963,0.20097781717777252,0.6241646111011505
COLMAP,50,Align Glued,1.258,0.053239,47,16.695817947387695,0.2511524558067322,0.4866754710674286
COLMAP,50,,0.1891,0.008857,29,16.41421127319336,0.2712181732058525,0.5416465699672699
COLMAP,60,Align Glued,4.2413,0.039531,57,16.814865112304688,0.24629561603069305,0.4675779640674591
COLMAP,60,,0.1177,0.009469,35,17.156042098999023,0.31875263154506683,0.4977968633174896
COLMAP,70,Align Glued,0.9682,0.044977,68,17.12568473815918,0.2507060170173645,0.4617304801940918
COLMAP,70,,0.1038,0.008064,41,17.847213745117188,0.3487796038389206,0.4690251052379608
COLMAP,80,Align Glued,0.8772,0.040422,79,17.502182006835938,0.2595940828323364,0.4276750087738037
COLMAP,80,,0.1453,0.00542,48,17.824917793273926,0.3267678767442703,0.44364364445209503
COLMAP,100,Align Glued,0.1069,0.008457,100,21.13423728942871,0.47783219814300537,0.30048811435699463
COLMAP,100,,0.1069,0.008457,100,21.150142669677734,0.47586654126644135,0.3356865346431732
VGGT,20,,1.3446,0.119326,20,15.348417282104492,0.21487757563591003,0.5425384640693665
VGGT,30,,0.9795,0.090795,30,15.931918144226074,0.22469671070575714,0.5182397365570068
VGGT,40,,0.8856,0.086546,40,16.378982543945312,0.237630233168602,0.5115588903427124
VGGT,50,,0.9199,0.086453,50,16.75465202331543,0.24442508816719055,0.4973156154155731
VGGT,60,,0.8369,0.071063,60,16.862531661987305,0.25064411759376526,0.48669061064720154
VGGT,70,,0.9155,0.07769,70,16.925048828125,0.254442036151886,0.49140915274620056
VGGT,80,,0.873,0.073069,80,17.10127067565918,0.26105615496635437,0.4840233027935028
VGGT,100,,0.857,0.067143,100,17.303186416625977,0.27097687125205994,0.48491042852401733
