method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
combined,20,42,0.0,22000,voxels,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,gsplat,9.375836372375488,0.9731200933456421,0.009077652357518673,1000000,,,,-0.5153234989888833,2930,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam,bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,2930,combined | Align Glued,20.0
combined,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,gsplat,12.65936279296875,0.6774293184280396,0.16172070801258087,1000000,0.003074000123888254,0.9300000071525574,,-0.1827273396333368,11193,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p33000_voxels_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p33000_voxels_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p33000_voxels_farthestpose_sharedcam_i30_gteval_poseopt_steps15000,0.5918,0.009894,8,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p33000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p33000_voxels_farthestpose_sharedcam,bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p33000_voxels_farthestpose_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,11193,combined | Align Glued,30.0
combined,40,42,0.0,44000,voxels,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,gsplat,14.50416374206543,0.575856626033783,0.19103172421455383,1000000,0.011822999455034733,0.9916999340057373,,-0.06872422111119592,40252,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p44000_voxels_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p44000_voxels_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p44000_voxels_farthestpose_sharedcam_i40_gteval_poseopt_steps15000,0.9983,0.056167,29,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p44000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p44000_voxels_farthestpose_sharedcam,bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p44000_voxels_farthestpose_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,40252,combined | Align Glued,40.0
combined,50,42,0.0,55000,voxels,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,gsplat,16.92493438720703,0.47075673937797546,0.25794193148612976,1000000,0.012095999903976917,1.2274998426437378,,0.08011011433647859,58795,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p55000_voxels_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p55000_voxels_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p55000_voxels_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,1.258,0.053239,47,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p55000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p55000_voxels_farthestpose_sharedcam,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p55000_voxels_farthestpose_sharedcam_i50_gteval_poseopt_steps15000_val_step14999.json,58795,combined | Align Glued,50.0
combined,60,42,0.0,66000,voxels,,,,0,10,farthestpose,60,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,gsplat,17.152666091918945,0.44658172130584717,0.2601645290851593,1000000,0.008629999123513699,4.186200141906738,,0.10054998346704261,71646,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p66000_voxels_farthestpose_sharedcam_i60_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p66000_voxels_farthestpose_sharedcam_i60_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p66000_voxels_farthestpose_sharedcam_i60_gteval_poseopt_steps15000,4.2413,0.039531,57,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p66000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p66000_voxels_farthestpose_sharedcam,bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p66000_voxels_farthestpose_sharedcam_i60_gteval_poseopt_steps15000_val_step14999.json,71646,combined | Align Glued,60.0
combined,70,42,0.0,77000,voxels,,,,0,10,farthestpose,70,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,gsplat,17.29132080078125,0.4476092457771301,0.25715887546539307,1000000,0.00963599979877472,0.922700047492981,,0.10072569672049765,84169,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p77000_voxels_farthestpose_sharedcam_i70_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p77000_voxels_farthestpose_sharedcam_i70_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p77000_voxels_farthestpose_sharedcam_i70_gteval_poseopt_steps15000,0.9682,0.044977,68,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p77000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p77000_voxels_farthestpose_sharedcam,bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p77000_voxels_farthestpose_sharedcam_i70_gteval_poseopt_steps15000_val_step14999.json,84169,combined | Align Glued,70.0
combined,80,42,0.0,88000,voxels,,,,0,10,farthestpose,80,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,gsplat,17.833290100097656,0.4098835289478302,0.27487990260124207,1000000,0.008790000341832638,0.8145999908447266,,0.14441281851427057,100718,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p88000_voxels_farthestpose_sharedcam_i80_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p88000_voxels_farthestpose_sharedcam_i80_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p88000_voxels_farthestpose_sharedcam_i80_gteval_poseopt_steps15000,0.8772,0.040422,79,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p88000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p88000_voxels_farthestpose_sharedcam,bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p88000_voxels_farthestpose_sharedcam_i80_gteval_poseopt_steps15000_val_step14999.json,100718,combined | Align Glued,80.0
combined,100,42,0.0,110000,voxels,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,gsplat,22.545421600341797,0.2745361030101776,0.5923447608947754,1000000,0.002047999994829297,0.08709999173879623,,0.5008742706662576,124233,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p110000_voxels_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p110000_voxels_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p110000_voxels_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1069,0.008457,100,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p110000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p110000_voxels_farthestpose_sharedcam,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p110000_voxels_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,124233,combined | Align Glued,100.0
colmap,20,42,,44,,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,9.540895462036133,0.9753441214561462,0.02645329013466835,38969,,,,-0.5034785143561451,44,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n20_s42_default_farthestpose_sharedcam,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,44,colmap | ,20.0
combined,20,42,0.0,22000,voxels,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,9.343415260314941,0.9753651022911072,0.011667652986943722,1000000,,,,-0.5157950776928697,2930,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p22000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p22000_voxels_farthestpose_sharedcam,bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,2930,combined | ,20.0
colmap,30,42,,729,,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,12.6875581741333,0.7585842609405518,0.20415785908699036,811220,0.011501001194119453,1.7167000770568848,,-0.20748379905941106,729,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_poseopt_steps15000,0.5918,0.009894,8,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n30_s42_default_farthestpose_sharedcam,bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,729,colmap | ,30.0
