method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
combined,20,42,0.0,22000,voxels,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam/eval_results.json,,lego_1_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam,114.8832,0.023191,3,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam/eval_results.json,lego_1_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam,,,combined | Align Glued,20.0
combined,30,42,0.0,33000,voxels,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n30_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p33000_voxels_farthestpose_sharedcam/eval_results.json,,lego_1_n30_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p33000_voxels_farthestpose_sharedcam,75.8732,2.952918,18,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n30_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p33000_voxels_farthestpose_sharedcam/eval_results.json,lego_1_n30_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p33000_voxels_farthestpose_sharedcam,,,combined | Align Glued,30.0
combined,40,42,0.0,44000,voxels,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n40_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p44000_voxels_farthestpose_sharedcam/eval_results.json,,lego_1_n40_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p44000_voxels_farthestpose_sharedcam,154.9139,3.71729,35,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n40_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p44000_voxels_farthestpose_sharedcam/eval_results.json,lego_1_n40_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p44000_voxels_farthestpose_sharedcam,,,combined | Align Glued,40.0
combined,50,42,0.0,55000,voxels,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n50_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p55000_voxels_farthestpose_sharedcam/eval_results.json,,lego_1_n50_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p55000_voxels_farthestpose_sharedcam,170.7687,3.636532,43,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n50_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p55000_voxels_farthestpose_sharedcam/eval_results.json,lego_1_n50_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p55000_voxels_farthestpose_sharedcam,,,combined | Align Glued,50.0
combined,60,42,0.0,66000,voxels,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n60_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p66000_voxels_farthestpose_sharedcam/eval_results.json,,lego_1_n60_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p66000_voxels_farthestpose_sharedcam,90.7994,3.439075,56,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n60_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p66000_voxels_farthestpose_sharedcam/eval_results.json,lego_1_n60_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p66000_voxels_farthestpose_sharedcam,,,combined | Align Glued,60.0
combined,70,42,0.0,77000,voxels,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n70_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p77000_voxels_farthestpose_sharedcam/eval_results.json,,lego_1_n70_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p77000_voxels_farthestpose_sharedcam,76.4292,3.071785,70,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n70_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p77000_voxels_farthestpose_sharedcam/eval_results.json,lego_1_n70_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p77000_voxels_farthestpose_sharedcam,,,combined | Align Glued,70.0
combined,80,42,0.0,88000,voxels,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n80_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p88000_voxels_farthestpose_sharedcam/eval_results.json,,lego_1_n80_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p88000_voxels_farthestpose_sharedcam,13.712,0.865246,80,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n80_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p88000_voxels_farthestpose_sharedcam/eval_results.json,lego_1_n80_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p88000_voxels_farthestpose_sharedcam,,,combined | Align Glued,80.0
combined,87,42,0.0,95700,voxels,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p95700_voxels_farthestpose_sharedcam/eval_results.json,,lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p95700_voxels_farthestpose_sharedcam,12.7941,0.784629,87,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p95700_voxels_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p95700_voxels_farthestpose_sharedcam,,,combined | Align Glued,87.0
colmap,20,42,,90,,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.80545425415039,0.5123920440673828,0.6699957847595215,90482,0.4304473400115967,124.84488677978516,4.417562007904053,0.1820527684618855,90,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,111.3582,0.022895,3,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,90,colmap | ,20.0
colmap,30,42,,908,,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.468676567077637,0.585471510887146,0.5032617449760437,1000000,1.0138425827026367,84.46773529052734,3.094365358352661,0.0332000762166104,908,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000,85.9851,3.013466,18,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,908,colmap | ,30.0
colmap,40,42,,2626,,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.940346717834473,0.5101352334022522,0.6749024987220764,1000000,0.9176013469696045,175.0265655517578,2.8629777431488037,0.18881329342171,2626,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000,176.2496,3.722113,35,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,2626,colmap | ,40.0
