choice,dataset,depth_loss_mode,depth_lambda,depth_conf_mode,eval_rre,eval_rte,psnr,ssim,lpips,quality
COLMAP,bonsai,,0.0,,0.09659745171666145,0.001119246066082269,24.926742553710938,0.7866466045379639,0.17182140052318573,0.7220037533254728
COLMAP,bonsai,closer,0.1,,0.10161086171865463,0.0010381900938227773,24.524866104125977,0.7662366032600403,0.17115898430347443,0.70303482249079
COLMAP,bonsai,points,0.1,,0.08547118306159973,0.0015117803122848272,26.851804733276367,0.8498984575271606,0.16934701800346375,0.7961698372771477
VGGT,bonsai,,0.0,,0.7770581245422363,0.021956823766231537,17.407270431518555,0.5593662858009338,0.3998410701751709,0.30908891998226573
VGGT,bonsai,closer,0.1,,0.7957643270492554,0.021176114678382874,17.475147247314453,0.5604385137557983,0.3961784839630127,0.31323378763081117
VGGT,bonsai,closer,0.1,Standard Shifted,0.7873354554176331,0.022064225748181343,17.41385269165039,0.5600647926330566,0.4002562463283539,0.30936301563992913
COLMAP,kitchen,,0.0,,0.08769293129444122,0.000901669409358874,21.88282299041748,0.5215922296047211,0.13896604627370834,0.5309133969532971
COLMAP,kitchen,closer,0.1,,0.0648857057094574,0.0008562493603676558,23.0887451171875,0.6298490166664124,0.13168403506278992,0.6210484194476702
COLMAP,kitchen,points,0.1,,0.09147634357213974,0.000900054001249373,21.633296966552734,0.5155308842658997,0.14501571655273438,0.5190135338927647
VGGT,kitchen,,0.0,,0.22247520089149475,0.005346193909645081,20.04349136352539,0.4245116114616394,0.19931328296661377,0.4028280281726225
VGGT,kitchen,closer,0.1,,0.21809017658233643,0.005204332992434502,20.03325843811035,0.4218375086784363,0.19704242050647736,0.4024764937073322
VGGT,kitchen,closer,0.1,Standard Shifted,0.23673468828201294,0.005278203636407852,19.864513397216797,0.4151424467563629,0.19981932640075684,0.3937222052116221
COLMAP,counter,,0.0,,0.026996255852282047,0.00026933258050121367,25.103053092956543,0.8469056487083435,0.18657565861940384,0.7514004037026232
COLMAP,counter,closer,0.1,,0.025914372876286507,0.00034613138996064663,24.967798233032227,0.8449070453643799,0.18800917267799377,0.7468420249676844
COLMAP,counter,points,0.1,,0.028589118272066116,0.00027839443646371365,25.11798858642578,0.8469642996788025,0.18778613209724426,0.7509640798776315
VGGT,counter,,0.0,,0.25278395414352417,0.006256469525396824,20.955392837524414,0.6473628282546997,0.24340613186359406,0.5228196335466284
VGGT,counter,closer,0.1,,0.24363738298416138,0.006190733518451452,21.03084945678711,0.652429461479187,0.2414713352918625,0.5283742406253615
VGGT,counter,closer,0.1,Standard Shifted,0.24265199899673462,0.0061781262047588825,20.506921768188477,0.6338947415351868,0.25877654552459717,0.4971506299718469
