method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series
combined,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,10.0,Scaled Shifted,True,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,1. All Improvements,indoor,24.785051345825195,0.14253661036491394,0.752477765083313,1000000,0.000905573891941458,0.10066341608762741,,,0.7174750955713655,0.21445846797210477,166763,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000,0.0595,0.002889,100,1.016141,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000_val_step14999.json,166763,1. All Improvements
combined,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,10.0,Scaled Shifted,True,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,2. No random Sampling,indoor,25.03082847595215,0.1414889693260193,0.7632717490196228,1000000,0.0009450580109842122,0.0904063731431961,,,0.728985487214151,0.21039205138577877,166763,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000,0.0595,0.002889,100,1.016141,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000_val_step14999.json,166763,2. No random Sampling
combined,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,10.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,3. No Depth Conf,indoor,24.239112854003906,0.14791837334632874,0.7316281795501709,1000000,0.0009500238229520619,0.11780090630054474,,,0.6918503075082865,0.223244112532515,166763,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confdisabled_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confdisabled_steps15000,0.0595,0.002889,100,1.016141,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confdisabled_steps15000_val_step14999.json,166763,3. No Depth Conf
combined,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,4. No Depth Loss,indoor,25.418886184692383,0.13420610129833221,0.7905167937278748,1000000,0.0010346395429223776,0.07841360569000244,,,0.7566001133108542,0.19825699073499603,166763,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.0595,0.002889,100,1.016141,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,166763,4. No Depth Loss
combined,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,10.0,Scaled Shifted,True,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,COLMAP Cams,VGGT Pcd,Global Alignment,,Shared Cam,,,,,,gsplat,5. No Combined Points,indoor,20.657154083251953,0.21865437924861908,0.6224336624145508,1000000,0.0016810569213703275,0.2891375422477722,,,0.5179970937359247,0.2805714713855255,100000,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000,0.0595,0.002889,100,1.016141,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam,bonsai_2_n100_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000_val_step14999.json,100000,5. No Combined Points
combined,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,10.0,Scaled Shifted,True,1.0,1.0,vggt,bonsai,,,15000,15000,default,MCMC,VGGT Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,6. No COLMAP Cameras,indoor,18.411571502685547,0.3354458808898926,0.5818861126899719,1000000,0.016074098646640778,0.7136133313179016,,,0.3806066942183982,0.33215969398710377,166763,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_vggtcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_vggtcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_combined_vggtcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000,0.7308,0.098078,100,7.817163,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_vggtcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_vggtcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam,bonsai_2_n100_s42_combined_vggtcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000_val_step14999.json,166763,6. No COLMAP Cameras
combined,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,closer,,10.0,Scaled Shifted,True,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,7. No Pose Opt,indoor,27.584199905395508,0.13251270353794098,0.8638938665390015,1000000,0.0007070667925290763,0.05946106091141701,,,0.8406543917009938,0.16772749526353017,166763,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_depthcloser_dl10.0_confscaleshifted_steps15000,0.0595,0.002889,100,1.016141,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_depthcloser_dl10.0_confscaleshifted_steps15000_val_step14999.json,166763,7. No Pose Opt
combined,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,10.0,Scaled Shifted,True,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,1. All Improvements,indoor,25.274507522583008,0.11493337154388428,0.7651377320289612,1000000,0.0009149109828285873,0.048414696007966995,,,0.7509816245958352,0.2008426200255137,170681,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000,0.1013,0.003655,100,1.017479,,,,/home/ojab2/work/git/vggt/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam/eval_results.json,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000_val_step14999.json,170681,1. All Improvements
combined,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,10.0,Scaled Shifted,True,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,2. No random Sampling,indoor,24.824649810791016,0.11953896284103394,0.7157779335975647,1000000,0.0009522473555989563,0.054081182926893234,,,0.7109425894388367,0.21865211533757692,170681,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000,0.1013,0.003655,100,1.017479,,,,/home/ojab2/work/git/vggt/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam/eval_results.json,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_confidence_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confscaleshifted_steps15000_val_step14999.json,170681,2. No random Sampling
combined,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,10.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,3. No Depth Conf,indoor,25.83009910583496,0.11429981887340546,0.7948817610740662,1000000,0.0009597645839676261,0.05006248503923416,,,0.7790556085466022,0.18993724391795277,170681,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confdisabled_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confdisabled_steps15000,0.1013,0.003655,100,1.017479,,,,/home/ojab2/work/git/vggt/combined_outputs/kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam/eval_results.json,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam,kitchen_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_minfarthestpose_sharedcam_i100_gteval_poseopt_depthcloser_dl10.0_confdisabled_steps15000_val_step14999.json,170681,3. No Depth Conf
