method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,used_cache,cache_load_time,inference_time,processing_time,peak_memory_mb,peak_memory_reserved_mb,processing_peak_memory_mb,processing_peak_memory_reserved_mb,sfm_file_path,input_folder,output_folder,initial_points,plot_series
vggt,87,42,0.0,100000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,closer,,0.1,Standard Shifted,True,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,1. All Features,synthetic,20.117761611938477,0.07962485402822495,0.7709912657737732,1000000,0.0055563850328326225,0.2502404749393463,0.09241532534360886,0.02176317386329174,0.6807048302857887,0.18930197052278547,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,1,1.1644165515899658,0.0,3.884910821914673,0,0,268,268,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000_val_step14999.json,100000,1. All Features
vggt,87,42,0.0,100000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,closer,,0.1,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,3. No Depth Conf,synthetic,20.392465591430664,0.0750473141670227,0.7743420600891113,1000000,0.005995055194944143,0.24959680438041687,0.09126049280166626,0.021491393446922302,0.6905771117461355,0.1864059769149034,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,1,1.1644165515899658,0.0,3.884910821914673,0,0,268,268,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000_val_step14999.json,100000,3. No Depth Conf
vggt,87,42,0.0,100000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,4. No Depth Loss,synthetic,20.383865356445312,0.07510661333799362,0.7740271091461182,1000000,0.0061668939888477325,0.2497081607580185,0.08833866566419601,0.020798230543732643,0.6901970618707627,0.1865422423550437,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,1,1.1644165515899658,0.0,3.884910821914673,0,0,268,268,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_steps15000_val_step14999.json,100000,4. No Depth Loss
vggt,87,42,0.0,100000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,,False,,,closer,,0.1,Standard Shifted,True,1.0,1.0,vggt,lego,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,7. No Pose Opt,synthetic,20.611438751220703,0.10411924123764038,0.7731434106826782,1000000,0.00519891083240509,0.2969527840614319,0.07963325828313828,0.01882629469037056,0.6759855717013918,0.19636687091962104,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_depthcloser_dl0.1_confshifted_steps15000,0.2976,0.018838,87,4.04904,0.0478,0.0135,0.118,1,1.1644165515899658,0.0,3.884910821914673,0,0,268,268,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose,lego_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_depthcloser_dl0.1_confshifted_steps15000_val_step14999.json,100000,7. No Pose Opt
vggt,87,42,0.0,100000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,closer,,0.1,Standard Shifted,True,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,1. All Features,synthetic,22.375354766845703,0.13960587978363037,0.7376068830490112,1000000,0.008428556844592094,0.38547635078430176,0.16238676011562347,0.03178946301341057,0.6659637555586508,0.21921208246985227,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,1,1.3198771476745605,2.384185791015625e-07,3.1124954223632812,0,0,268,268,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000_val_step14999.json,100000,1. All Features
vggt,87,42,0.0,100000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,closer,,0.1,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,3. No Depth Conf,synthetic,22.66091537475586,0.13102900981903076,0.7443076968193054,1000000,0.008357654325664043,0.38026708364486694,0.14119970798492432,0.027352113276720047,0.6804648836841048,0.21403604701278328,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,1,1.3198771476745605,2.384185791015625e-07,3.1124954223632812,0,0,268,268,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000_val_step14999.json,100000,3. No Depth Conf
vggt,87,42,0.0,100000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,4. No Depth Loss,synthetic,22.80087661743164,0.12902647256851196,0.7473028898239136,1000000,0.008351590484380722,0.3802585005760193,0.1420573890209198,0.027226699516177177,0.686044467510226,0.21232112090373248,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,1,1.3198771476745605,2.384185791015625e-07,3.1124954223632812,0,0,268,268,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_steps15000_val_step14999.json,100000,4. No Depth Loss
vggt,87,42,0.0,100000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,,False,,,closer,,0.1,Standard Shifted,True,1.0,1.0,vggt,ship,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,7. No Pose Opt,synthetic,20.886240005493164,0.19303157925605774,0.7018132209777832,1000000,0.008744901046156883,0.486624151468277,0.20209456980228424,0.03877958282828331,0.5844767633159877,0.24908349690980638,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_depthcloser_dl0.1_confshifted_steps15000,0.4869,0.027807,87,4.301907,0.1056,0.0284,0.2389,1,1.3198771476745605,2.384185791015625e-07,3.1124954223632812,0,0,268,268,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose,ship_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_depthcloser_dl0.1_confshifted_steps15000_val_step14999.json,100000,7. No Pose Opt
vggt,87,42,0.0,100000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,closer,,0.1,Standard Shifted,True,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,1. All Features,synthetic,19.46580696105957,0.09576001763343811,0.8384672403335571,1000000,0.0031088762916624546,0.1491164118051529,0.13752146065235138,0.03076625056564808,0.6981312527216588,0.16966009096215162,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,drums_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000,0.173,0.01002,87,3.881439,0.0626,0.0172,0.1433,1,2.1337544918060303,2.384185791015625e-07,2.9871232509613037,0,0,268,268,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n87_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,drums_1_n87_s42_c0.0_p100000_confidence_farthestpose,drums_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000_val_step14999.json,100000,1. All Features
vggt,87,42,0.0,100000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,False,,,closer,,0.1,,False,1.0,1.0,vggt,drums,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,3. No Depth Conf,synthetic,20.68082046508789,0.08637581020593643,0.8643815517425537,1000000,0.003053362714126706,0.11733008176088333,0.09455855190753937,0.021226370707154274,0.7415787915059542,0.15439632111232382,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,drums_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000,0.173,0.01002,87,3.881439,0.0626,0.0172,0.1433,1,2.1337544918060303,2.384185791015625e-07,2.9871232509613037,0,0,268,268,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n87_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,drums_1_n87_s42_c0.0_p100000_confidence_farthestpose,drums_1_n87_s42_c0.0_p100000_confidence_farthestpose_i87_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000_val_step14999.json,100000,3. No Depth Conf
