choice,dataset_collection,series_label_override,eval_rre,eval_rte,psnr,ssim,lpips,quality
COLMAP,indoor,1. All Improvements,0.051011184230446815,0.0006812468006197984,25.877478917439777,0.7931829492251078,0.13554606835047403,0.7658245864305915
COLMAP,outdoor,1. All Improvements,0.05246572755277157,0.0012551623318965237,23.58457628885905,0.6166418592135111,0.25849366188049316,0.5442294468734076
VGGT,synthetic,1. All Improvements,,,,,,
COLMAP,indoor,2. No Confidence Sampling,0.05322294495999813,0.0007469918249019732,25.58128547668457,0.7863456209500631,0.13433887312809625,0.7570862673611926
COLMAP,outdoor,2. No Confidence Sampling,0.05457423130671183,0.0012914440982664626,23.493857701619465,0.6165645321210226,0.2481470356384913,0.5488910588359378
COLMAP,synthetic,2. No Confidence Sampling,10.38590145111084,0.11436904221773148,25.156843185424805,0.8961736559867859,0.06247736141085625,0.8578121038547113
VGGT,synthetic,2. No Confidence Sampling,,,,,,
COLMAP,indoor,3. No Depth Conf,0.059255010137955345,0.0006975519985038167,25.246888478597004,0.7538770238558451,0.1330473522345225,0.7327034817982319
COLMAP,outdoor,3. No Depth Conf,0.05525088682770729,0.0012506789062172174,23.41337776184082,0.6098262071609497,0.249689519405365,0.5425079981950757
COLMAP,synthetic,3. No Depth Conf,10.386171340942383,0.11312059313058853,25.268590927124023,0.9047935605049133,0.05042959377169609,0.872359279918353
COLMAP,indoor,4. No Depth Loss,0.058328346038858093,0.0007023867995788654,25.2000675201416,0.7522128224372864,0.1347610279917717,0.7298053852666734
COLMAP,outdoor,4. No Depth Loss,0.05700813978910446,0.0012492883834056556,23.377458572387695,0.6025947332382202,0.24789618452390036,0.5387208927418728
COLMAP,synthetic,4. No Depth Loss,10.390463829040527,0.11252899467945099,25.01810646057129,0.9016028642654419,0.05088825523853302,0.8655716500900408
COLMAP,indoor,5. No Combined Points,0.061261954406897225,0.0007167848380049691,25.192577362060547,0.7436904112497965,0.14506439367930093,0.7183227101677755
COLMAP,outdoor,5. No Combined Points,0.06447636460264523,0.0013713106357802947,23.042020161946613,0.5890687306722006,0.3178586761156718,0.4814124041004359
COLMAP,synthetic,5. No Combined Points,3.5510158017277718,0.040107661935811244,22.964616139729817,0.8436449964841207,0.09737447649240494,0.7649553633204832
VGGT,indoor,6. No COLMAP Cameras,0.37661202251911163,0.009886835080881914,20.091515223185223,0.5788419246673584,0.23916504283746085,0.46936915228447923
VGGT,outdoor,6. No COLMAP Cameras,0.4671357174714406,0.017784721838931244,18.34314473470052,0.3440665105978648,0.3893701732158661,0.20697714094994826
VGGT,synthetic,6. No COLMAP Cameras,0.24828204264243445,0.005856478276352088,21.37028694152832,0.7969885071118673,0.09677855173746745,0.7085141066170523
VGGT,indoor,7. No Pose Opt,0.4669558306535085,0.01235960858563582,19.734718322753906,0.5660252372423807,0.2983420540889104,0.41873764414045755
VGGT,outdoor,7. No Pose Opt,0.6484001179536184,0.020474913374831278,18.261457443237305,0.3445519109567006,0.47950329383214313,0.15011054441374777
VGGT,synthetic,7. No Pose Opt,0.31865566472212475,0.005636522235969703,20.370315551757812,0.7701835831006368,0.12572584797938666,0.6564520223750834
