method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,rre,rte,num_aligned,file_path,sfm_file_path,folder,input_folder,output_folder,plot_series,num_images_jitter
vggt,25,42,0.0,27500,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,1.0286,0.056651,25,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam,bonsai_2_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,25.0
vggt,50,42,0.0,55000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.7995,0.050372,50,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam,bonsai_2_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,50.0
vggt,75,42,0.0,82500,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.8438,0.055423,75,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam,bonsai_2_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,75.0
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.7144,0.037124,100,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mpinhole_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mpinhole_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n100_s42_mpinhole_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam,bonsai_2_n100_s42_mpinhole_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | pinhole,100.0
vggt,25,42,0.0,27500,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.9769,0.055137,25,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n25_s42_mradial_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n25_s42_mradial_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n25_s42_mradial_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam,bonsai_2_n25_s42_mradial_c0.0_p27500_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | radial,25.0
vggt,50,42,0.0,55000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.7787,0.051156,50,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mradial_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mradial_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n50_s42_mradial_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam,bonsai_2_n50_s42_mradial_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | radial,50.0
vggt,75,42,0.0,82500,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.8417,0.056143,75,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_mradial_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_mradial_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n75_s42_mradial_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam,bonsai_2_n75_s42_mradial_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | radial,75.0
vggt,100,42,0.0,110000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,50,sfm,0.7099,0.037375,100,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam,bonsai_2_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam,,vggt | random | Use BA | 50.0 | Shared Cam | radial,100.0
vggt,25,42,0.0,27500,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,3000,sfm,1.0286,0.056651,25,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam/eval_results.json,bonsai_2_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam,bonsai_2_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam,,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,25.0
vggt,50,42,0.0,55000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,3000,sfm,0.7995,0.050372,50,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam/eval_results.json,bonsai_2_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam,bonsai_2_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam,,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,50.0
vggt,75,42,0.0,82500,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,3000,sfm,0.8438,0.055423,75,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam/eval_results.json,bonsai_2_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam,bonsai_2_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam,,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,75.0
