method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,raw_eval_metrics,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,20,42,,44,,,,,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,9.327774047851562,0.9867873787879944,0.011039652861654758,38969,,,-0.523502769271823,44,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n20_s42_default_farthestpose_sharedcam,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,44,colmap | farthestpose,20.0
colmap,30,42,,729,,,,,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,12.014815330505371,0.7400323152542114,0.19129426777362823,811220,0.006016999948769808,0.5918000340461731,-0.21601274956194427,729,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000,0.5918,0.009894,8,"{'rre': [0.661743895566539, 0.842498397100386, 0.7038147976699384, 0.4653317774802228, 0.4844570310128338, 0.520154280871658, 0.6541760696381135, 0.40202118775839396], 'rte': [0.017989116650981667, 0.005323133152498977, 0.011704079399346333, 0.006412782705355378, 0.004635837632852084, 0.00978576177505028, 0.009169225959407003, 0.014129695773003605]}",/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n30_s42_default_farthestpose_sharedcam,bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,729,colmap | farthestpose,30.0
colmap,40,42,,1994,,,,,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,13.919034004211426,0.6599552631378174,0.229066863656044,1000000,0.005003000609576702,0.3116000294685364,-0.10922992434727821,1994,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,0.3116,0.017061,18,"{'rre': [0.3558551067538499, 0.37902392661508044, 0.4397288284649725, 0.40899032794366785, 0.47631459866144393, 0.5801069273311498, 0.21251695562113088, 0.16625227163114614, 0.2530683715442233, 0.30426068359993524, 0.31307008412288173, 0.38813420144941935, 0.24033698682130888, 0.20328289286970364, 0.1704168929215734, 0.19535760127746396, 0.2533941519888953, 0.2685698244541069], 'rte': [0.004744241736915858, 0.004436414616674682, 0.0025963748395183644, 0.010723193295681563, 0.01503588881732049, 0.024267506176271804, 0.025256663890824982, 0.009296912170086614, 0.03271080983459728, 0.023504383124890203, 0.01591092642741375, 0.008058561273211112, 0.0311149713435621, 0.01757278572906371, 0.007634720416655399, 0.026095562729914378, 0.021106500506956383, 0.027026111084960336]}",/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_default_farthestpose_sharedcam,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,1994,colmap | farthestpose,40.0
vggt,5,42,0.0,5500,random,,,,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n5_s42_c0.0_p5500_random_farthestpose/eval_results.json,,bicycle_4_n5_s42_c0.0_p5500_random_farthestpose,2.1848,0.191017,5,"{'rre': [4.984278128877462, 2.097047948947358, 0.8851308091686128, 0.9567453487702033, 2.0007186455406356], 'rte': [0.1875166258860128, 0.22387090651068506, 0.10385011111770497, 0.11578542933934398, 0.32406372395581423]}",/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n5_s42_c0.0_p5500_random_farthestpose/eval_results.json,bicycle_4_n5_s42_c0.0_p5500_random_farthestpose,,,vggt | farthestpose,5.0
vggt,10,42,0.0,11000,random,,,,farthestpose,10,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.970048904418945,0.5839261412620544,0.17821992933750153,1000000,0.030797002837061882,1.569100022315979,-0.0910886965687201,11000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,bicycle_4_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_steps15000,1.569,0.141985,10,"{'rre': [1.3469711743137718, 1.3965035562084154, 3.2977133013604374, 1.1531002972346014, 1.5521617863723887, 1.1940674350266336, 0.7965568674046163, 1.0641041016975321, 1.4134948433626369, 2.4749286770980663], 'rte': [0.0763617897837866, 0.13747968161577592, 0.2321753029069933, 0.11619414797571401, 0.08361427515027048, 0.12706604307484273, 0.16933542644057953, 0.10247548738218976, 0.09541187858946719, 0.2797399216831536]}",/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_random_farthestpose/eval_results.json,bicycle_4_n10_s42_c0.0_p11000_random_farthestpose,bicycle_4_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_steps15000_val_step14999.json,11000,vggt | farthestpose,10.0
vggt,20,42,0.0,22000,random,,,,farthestpose,20,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,15.423144340515137,0.5040416717529297,0.20975634455680847,1000000,0.025717996060848236,1.3446000814437866,0.0035742271868264655,22000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_steps15000,1.3446,0.119326,20,"{'rre': [0.9499338228295457, 1.0610763087712622, 1.3753892899837368, 1.0213465032174485, 1.498866209891857, 3.293064115595056, 1.7336426624524741, 2.079712933840284, 0.8922022402907983, 1.0718019277024633, 0.8190119371647372, 0.9950499012856764, 0.9849288646932949, 1.0900187105522028, 0.8452922769078608, 1.6010966417335801, 1.385424179401663, 1.4610108454620914, 1.550197854920394, 1.182621673349047], 'rte': [0.0946305546655991, 0.0914734989173396, 0.10855962760905895, 0.057853433817313706, 0.21259978557899076, 0.3283523586076287, 0.2715226846584105, 0.17777597810169912, 0.07161671958854252, 0.08210457586955824, 0.15372775749478035, 0.093484862729443, 0.05968173214426183, 0.06025948337490594, 0.06551262729007401, 0.09382364829956276, 0.04501128893161048, 0.13559487280215243, 0.11279184754880744, 0.07013426629285222]}",/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_random_farthestpose/eval_results.json,bicycle_4_n20_s42_c0.0_p22000_random_farthestpose,bicycle_4_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_steps15000_val_step14999.json,22000,vggt | farthestpose,20.0
vggt,30,42,0.0,33000,random,,,,farthestpose,30,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,15.906743049621582,0.48139938712120056,0.2160162627696991,1000000,0.019523000344634056,0.9797000288963318,0.03016724863015189,33000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_steps15000,0.9795,0.090795,30,"{'rre': [0.7493979140401209, 0.7540261507400523, 0.9377789623468965, 1.1802228987387589, 1.1907888257170924, 1.0552709777652316, 0.553521859078133, 2.120465097066267, 1.9549525376059558, 1.7459428775094066, 0.4426161672055032, 0.7317694128971293, 0.7980813976537152, 0.903262035473434, 0.5032619897534906, 0.2613582297507583, 0.7165166513425364, 0.8731744064879593, 0.8418143456165147, 0.8401290881472104, 0.9210748082482144, 0.7389730092657505, 0.4173898720387427, 1.5421169468738694, 1.037891943624912, 1.138140652202028, 1.228698003003365, 1.403355504633302, 1.2277337318855475, 0.5765801456237066], 'rte': [0.07942764891731591, 0.10944937041349366, 0.08443394196334808, 0.08512839033516675, 0.03260357523173328, 0.06112678801152311, 0.25543877152729877, 0.17148296283329886, 0.1551288214189933, 0.16141609848290825, 0.08465229369261566, 0.07171100714754775, 0.020941447624328254, 0.0631950714646292, 0.1296002736410519, 0.11870773374166542, 0.10262371394938263, 0.07576324320930726, 0.10459918476600118, 0.07419262935496547, 0.07035849118254993, 0.05628540477868092, 0.05981387375677475, 0.09902579680280268, 0.043391304345419573, 0.05743178566255586, 0.08766784869134873, 0.07863383403141987, 0.0915482456595611, 0.03807450331142581]}",/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_random_farthestpose/eval_results.json,bicycle_4_n30_s42_c0.0_p33000_random_farthestpose,bicycle_4_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_steps15000_val_step14999.json,33000,vggt | farthestpose,30.0
vggt,40,42,0.0,44000,random,,,,farthestpose,40,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.226905822753906,0.4758610725402832,0.2251657098531723,1000000,0.0186419989913702,0.8855998516082764,0.044865455427597414,44000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_steps15000,0.8856,0.086546,40,"{'rre': [0.6971310827869895, 0.7054861637504545, 0.8895296761688186, 0.7575500606489078, 1.2173916625291046, 1.1910864956599703, 1.199704861542796, 0.48152171078773276, 0.3123059077618596, 0.8635131336848333, 2.0108243251180533, 1.9278037830641763, 1.823455534390536, 0.9106774323426782, 0.9591174191522958, 0.4624928734324194, 0.7075473624593017, 0.6771634489452024, 0.8998338587332091, 0.47396645383085695, 0.36335383985203557, 0.7430310428312255, 0.822161447913615, 1.088303050821687, 0.5004703937514277, 0.6911490660480855, 0.8322939043190426, 0.6280377490800122, 0.4128118621258433, 0.48827545234534026, 1.3038018964112, 0.8491852325831792, 1.098485866262285, 0.8615097530991496, 0.8903958324164882, 1.0550802200891136, 0.9950906981184652, 0.8590928710233685, 1.3908110097251916, 0.3808229431255739], 'rte': [0.07223742630396568, 0.09490583418443134, 0.08804417403105913, 0.12242287351888288, 0.08936845401015922, 0.05909286288058137, 0.05647027070460949, 0.052387391093469814, 0.09652503506052361, 0.2081318891408274, 0.1688531929307191, 0.1256561009440965, 0.1787652375734576, 0.046221948024363, 0.06139438883950152, 0.09249898108294544, 0.06495565486359374, 0.029696616721813104, 0.06810438255390065, 0.13399352395236022, 0.09665938594150655, 0.09974109702252557, 0.06961231596832192, 0.12919318586879833, 0.136730951033153, 0.07086894193530249, 0.06481382295323694, 0.05235594309975254, 0.07711605402484958, 0.050375675379717724, 0.10203840344897729, 0.04538749370420807, 0.05008140925420637, 0.05390121329789824, 0.055447321048453964, 0.10302744943512118, 0.06062609557025486, 0.12128743024041672, 0.08590268118949919, 0.02694242959305895]}",/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_random_farthestpose/eval_results.json,bicycle_4_n40_s42_c0.0_p44000_random_farthestpose,bicycle_4_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_steps15000_val_step14999.json,44000,vggt | farthestpose,40.0
colmap,5,42,,,,,,,nearestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,,,,,Shared Cam,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n5_s42_default_nearestpose_sharedcam/eval_results.json,,bicycle_4_n5_s42_default_nearestpose_sharedcam,0.6041,0.003331,5,"{'rre': [0.5803201120202212, 0.6039662400559128, 0.6503900486949863, 0.5591108529214821, 0.6269066184506087], 'rte': [0.0026926350512472812, 0.004332460672524394, 0.0026364110827627493, 0.003736263362547652, 0.0032568676958263966]}",/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n5_s42_default_nearestpose_sharedcam/eval_results.json,bicycle_4_n5_s42_default_nearestpose_sharedcam,,,colmap | nearestpose,5.0
vggt,5,42,0.0,5500,random,,,,nearestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n5_s42_c0.0_p5500_random_nearestpose/eval_results.json,,bicycle_4_n5_s42_c0.0_p5500_random_nearestpose,1.3836,0.014984,5,"{'rre': [1.5934799814149443, 1.4441697986536564, 1.4785019611561212, 1.35160795657503, 1.050188968773772], 'rte': [0.008421406416508275, 0.02356406521532158, 0.020558883779874765, 0.004870944193099573, 0.017502925988852888]}",/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n5_s42_c0.0_p5500_random_nearestpose/eval_results.json,bicycle_4_n5_s42_c0.0_p5500_random_nearestpose,,,vggt | nearestpose,5.0
