choice,val_step,pose_opt_module,pose_opt,eval_rre,eval_rte,quality
VGGT,1,,,0.7897225022315979,0.02463376708328724,-0.33926320668549553
VGGT,1,,Pose Opt,0.7896352410316467,0.02463294006884098,-0.3395227412653866
VGGT,3000,,,0.7897225022315979,0.02463376708328724,0.2377575626614963
VGGT,3000,,Pose Opt,0.780983567237854,0.023905662819743156,0.24297890320778515
VGGT,7000,,,0.7897225022315979,0.02463376708328724,0.2813667118975371
VGGT,7000,,Pose Opt,0.7870663404464722,0.022970274090766907,0.2942883556659071
VGGT,10000,,,0.7897225022315979,0.02463376708328724,0.29351885152994
VGGT,10000,,Pose Opt,0.7879142761230469,0.022715305909514427,0.3030704147944286
VGGT,15000,,,0.7897225022315979,0.02463376708328724,0.298173693537015
VGGT,15000,,Pose Opt,0.7863857746124268,0.022537514567375183,0.30645595524820746
