method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,gsplat_file_path,folder,input_folder,output_folder,plot_series,val_step_jitter
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,,,,,,0.0,,vggt,,,1,7000,,MCMC,,,,,,,,,,gsplat,12.549102783203125,0.43375322222709656,0.5992316603660583,31473,0.03255000337958336,2.2345004081726074,0.2215025097693306,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000/stats/val_step0000.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000/stats/val_step0000.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000_val_step0000.json,vggt |  | ,1.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,,,,,,0.0,,vggt,,,3000,7000,,MCMC,,,,,,,,,,gsplat,14.343095779418945,0.3325437903404236,0.6407241821289062,101480,0.03255000337958336,2.2345004081726074,0.3414641928564348,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000/stats/val_step2999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000/stats/val_step2999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000_val_step2999.json,vggt |  | ,3000.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,,,,,,0.0,,vggt,,,7000,7000,,MCMC,,,,,,,,,,gsplat,14.193024635314941,0.3260364532470703,0.6268765330314636,714363,0.03255000337958336,2.2345004081726074,0.3346039319363719,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000/stats/val_step6999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps7000_val_step6999.json,vggt |  | ,7000.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,1,7000,,MCMC,,,,,,,,,,gsplat,12.54666805267334,0.434236615896225,0.5994974374771118,31473,0.03255099803209305,2.2341997623443604,0.22131445622428664,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000/stats/val_step0000.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000/stats/val_step0000.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000_val_step0000.json,vggt |  | Pose Opt,1.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,3000,7000,,MCMC,,,,,,,,,,gsplat,14.249573707580566,0.3266478478908539,0.6441198587417603,101480,0.030727000907063484,2.135699987411499,0.3453575490820787,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000/stats/val_step2999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000/stats/val_step2999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000_val_step2999.json,vggt |  | Pose Opt,3000.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,7000,7000,,MCMC,,,,,,,,,,gsplat,14.125296592712402,0.31760814785957336,0.6352150440216064,714363,0.03027299791574478,2.1084001064300537,0.34342868878827454,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000/stats/val_step6999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps7000_val_step6999.json,vggt |  | Pose Opt,7000.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,Pose Opt,3rgs,,,,0.0,,vggt,,,1,7000,,MCMC,,,,,,,,,,gsplat,12.54673957824707,0.43420684337615967,0.5996670126914978,31473,0.03256100043654442,2.2318997383117676,0.22143332566279264,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000/stats/val_step0000.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000/stats/val_step0000.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000_val_step0000.json,vggt | 3rgs | Pose Opt,1.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,Pose Opt,3rgs,,,,0.0,,vggt,,,3000,7000,,MCMC,,,,,,,,,,gsplat,14.295828819274902,0.3283660411834717,0.6422380805015564,101480,0.03237700089812279,2.163299798965454,0.3440530569697449,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000/stats/val_step2999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000/stats/val_step2999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000_val_step2999.json,vggt | 3rgs | Pose Opt,3000.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,Pose Opt,3rgs,,,,0.0,,vggt,,,7000,7000,,MCMC,,,,,,,,,,gsplat,14.165851593017578,0.320745050907135,0.632969856262207,714363,0.03232400864362717,2.160900115966797,0.3409303721086479,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000/stats/val_step6999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000/stats/val_step6999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomod3rgs_steps7000_val_step6999.json,vggt | 3rgs | Pose Opt,7000.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,Pose Opt,mcmc,,,,0.0,,vggt,,,1,7000,,MCMC,,,,,,,,,,gsplat,12.549102783203125,0.43375399708747864,0.5992316007614136,31473,0.03255000337958336,2.2345004081726074,0.22150199660393538,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomodmcmc_steps7000/stats/val_step0000.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomodmcmc_steps7000/stats/val_step0000.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomodmcmc_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomodmcmc_steps7000_val_step0000.json,vggt | mcmc | Pose Opt,1.0
vggt,30,42,0.0,33000,voxels,farthestpose,30,GT Eval,,,,Pose Opt,mcmc,,,,0.0,,vggt,,,3000,7000,,MCMC,,,,,,,,,,gsplat,14.797094345092773,0.4079790413379669,0.6744177937507629,101480,0.03255000337958336,2.2345004081726074,0.3230104703962067,31473,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomodmcmc_steps7000/stats/val_step2999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomodmcmc_steps7000/stats/val_step2999.json,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomodmcmc_steps7000,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose,lego_1_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_pomodmcmc_steps7000_val_step2999.json,vggt | mcmc | Pose Opt,3000.0
