choice,val_step,pose_opt_module,pose_opt,eval_rre,eval_rte,quality
VGGT,1,,,0.33023202419281006,0.005195914302021265,0.3736229020330021
VGGT,1,,Pose Opt,0.3301256000995636,0.005197335034608841,0.373445477556919
VGGT,1,3rgs,Pose Opt,0.3386792838573456,0.005194098223000765,0.372357102475281
VGGT,1,mcmc,Pose Opt,0.3302643895149231,0.00519591523334384,0.37359738105918927
VGGT,1,sgld,Pose Opt,0.3301256000995636,0.005197335034608841,0.3734454039709377
VGGT,3000,,,0.33023202419281006,0.005195914302021265,0.6655271361213446
VGGT,3000,,Pose Opt,0.28791964054107666,0.006304915063083172,0.6807880459124581
VGGT,3000,3rgs,Pose Opt,0.33398157358169556,0.0052927518263459206,0.6717959357070953
VGGT,3000,mcmc,Pose Opt,0.3182092308998108,0.006050353869795799,0.672137177817383
VGGT,3000,sgld,Pose Opt,0.37219467759132385,0.007931528612971306,0.6633240995932275
VGGT,7000,,,0.33023202419281006,0.005195914302021265,0.6682528070209861
VGGT,7000,,Pose Opt,0.26608744263648987,0.006192144937813282,0.6913351111302832
VGGT,7000,3rgs,Pose Opt,0.3245822787284851,0.005338986404240131,0.6808865454636123
VGGT,7000,mcmc,Pose Opt,0.29448020458221436,0.006317538674920797,0.681311449063839
VGGT,7000,sgld,Pose Opt,0.38281965255737305,0.007612592075020075,0.6773907077184662
VGGT,10000,,,0.33023202419281006,0.005195914302021265,0.6691528000833152
VGGT,10000,,Pose Opt,0.2585105299949646,0.006138203665614128,0.6980185711089475
VGGT,10000,3rgs,Pose Opt,0.32270944118499756,0.005382820963859558,0.6829825385949919
VGGT,10000,mcmc,Pose Opt,0.28739145398139954,0.006294147111475468,0.6859871261765851
VGGT,10000,sgld,Pose Opt,0.36819905042648315,0.0074693066999316216,0.6818523800764245
VGGT,15000,,,0.33023202419281006,0.005195914302021265,0.6694650971285316
VGGT,15000,,Pose Opt,0.2523270547389984,0.006085794419050217,0.7007669033827605
VGGT,15000,3rgs,Pose Opt,0.3215000033378601,0.005429090466350317,0.6834133385624336
VGGT,15000,mcmc,Pose Opt,0.2855464816093445,0.006299363449215889,0.6879849356052703
VGGT,15000,sgld,Pose Opt,0.35258737206459045,0.007251258008182049,0.6857015827090961
