method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
colmap,20,42,,42.0,,farthestpose,20.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999.0,15000.0,default,MCMC,gsplat,9.281769752502441,0.8951457142829895,0.1444433331489563,37114.0,,,42.0,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,,,colmap | ,20.0
colmap,20,43,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n20_s43_default_farthestpose/eval_results.json,133.926,0.379972,colmap | ,20.0
colmap,20,44,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n20_s44_default_farthestpose/eval_results.json,136.284,0.449229,colmap | ,20.0
colmap,30,42,,721.0,,farthestpose,30.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999.0,15000.0,default,MCMC,gsplat,12.421894073486328,0.7531695365905762,0.19865600764751434,799971.0,0.01412699930369854,1.9728000164031982,721.0,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,1.9728,0.022973,colmap | ,30.0
colmap,30,43,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n30_s43_default_farthestpose/eval_results.json,1.9495,0.022617,colmap | ,30.0
colmap,30,44,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n30_s44_default_farthestpose/eval_results.json,1.7929,0.021531,colmap | ,30.0
colmap,40,42,,2130.0,,farthestpose,40.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999.0,15000.0,default,MCMC,gsplat,13.766525268554688,0.6604799032211304,0.20866277813911438,1000000.0,0.012595999985933304,0.620400071144104,2130.0,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,0.6204,0.04371,colmap | ,40.0
colmap,40,43,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s43_default_farthestpose/eval_results.json,0.7186,0.037769,colmap | ,40.0
colmap,40,44,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s44_default_farthestpose/eval_results.json,0.7028,0.031865,colmap | ,40.0
colmap,50,42,,3105.0,,farthestpose,50.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999.0,15000.0,default,MCMC,gsplat,15.879034996032715,0.6041828989982605,0.26500794291496277,1000000.0,0.007553999312222004,0.382999986410141,3105.0,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,0.383,0.024467,colmap | ,50.0
colmap,50,44,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n50_s44_default_farthestpose/eval_results.json,0.4373,0.025516,colmap | ,50.0
